time,value
1506084918368,499
1506084918377,497
1506084918385,495
1506084918393,496
1506084918401,492
1506084918409,491
1506084918417,490
1506084918426,487
1506084918433,488
1506084918442,488
1506084918450,489
1506084918459,492
1506084918463,495
1506084918471,501
1506084918479,506
1506084918487,514
1506084918496,524
1506084918503,531
1506084918512,541
1506084918520,546
1506084918528,550
1506084918536,554
1506084918544,554
1506084918552,553
1506084918561,549
1506084918569,544
1506084918577,539
1506084918585,532
1506084918593,526
1506084918601,520
1506084918610,512
1506084918618,506
1506084918622,495
1506084918631,487
1506084918639,479
1506084918647,471
1506084918656,466
1506084918663,461
1506084918671,457
1506084918680,453
1506084918688,450
1506084918696,445
1506084918704,438
1506084918712,434
1506084918720,430
1506084918728,428
1506084918738,429
1506084918746,429
1506084918754,432
1506084918762,437
1506084918770,443
1506084918778,451
1506084918783,457
1506084918791,466
1506084918799,473
1506084918807,479
1506084918815,485
1506084918824,488
1506084918832,490
1506084918840,492
1506084918848,492
1506084918856,494
1506084918864,494
1506084918872,496
1506084918880,496
1506084918889,497
1506084918897,498
1506084918905,497
1506084918913,497
1506084918921,495
1506084918930,493
1506084918938,494
1506084918946,493
1506084918950,494
1506084918959,495
1506084918966,495
1506084918975,496
1506084918983,496
1506084918991,497
1506084918999,497
1506084919008,498
1506084919016,501
1506084919024,502
1506084919032,506
1506084919040,511
1506084919048,515
1506084919057,522
1506084919064,530
1506084919073,539
1506084919081,548
1506084919089,555
1506084919097,564
1506084919105,568
1506084919110,575
1506084919118,577
1506084919126,577
1506084919134,579
1506084919142,577
1506084919150,580
1506084919159,578
1506084919167,574
1506084919175,568
1506084919183,560
1506084919191,557
1506084919200,546
1506084919208,540
1506084919216,535
1506084919224,525
1506084919232,517
1506084919240,513
1506084919249,509
1506084919257,507
1506084919265,502
1506084919269,500
1506084919277,497
1506084919286,495
1506084919294,490
1506084919302,484
1506084919310,483
1506084919319,483
1506084919327,483
1506084919335,487
1506084919343,488
1506084919351,492
1506084919359,497
1506084919367,501
1506084919376,506
1506084919384,508
1506084919392,512
1506084919400,515
1506084919408,516
1506084919417,520
1506084919425,519
1506084919429,519
1506084919437,518
1506084919445,518
1506084919454,517
1506084919462,513
1506084919470,511
1506084919478,507
1506084919487,504
1506084919494,502
1506084919502,500
1506084919511,503
1506084919519,505
1506084919527,505
1506084919536,504
1506084919543,503
1506084919552,505
1506084919560,507
1506084919568,509
1506084919576,511
1506084919585,508
1506084919589,506
1506084919597,501
1506084919606,497
1506084919614,497
1506084919622,501
1506084919630,508
1506084919638,516
1506084919646,523
1506084919655,534
1506084919663,544
1506084919671,554
1506084919679,563
1506084919687,573
1506084919696,581
1506084919703,584
1506084919712,587
1506084919720,584
1506084919728,579
1506084919736,575
1506084919744,568
1506084919748,562
1506084919757,556
1506084919765,546
1506084919773,538
1506084919781,532
1506084919789,525
1506084919797,522
1506084919806,517
1506084919815,513
1506084919823,504
1506084919830,503
1506084919839,505
1506084919847,507
1506084919855,510
1506084919863,510
1506084919871,516
1506084919879,519
1506084919888,521
1506084919897,527
1506084919904,531
1506084919909,538
1506084919917,545
1506084919925,549
1506084919933,553
1506084919941,552
1506084919949,553
1506084919958,549
1506084919966,542
1506084919974,536
1506084919982,528
1506084919990,522
1506084919999,514
1506084920007,505
1506084920015,505
1506084920023,498
1506084920031,494
1506084920039,493
1506084920047,485
1506084920056,483
1506084920063,484
1506084920068,486
1506084920076,490
1506084920084,489
1506084920093,487
1506084920101,486
1506084920110,483
1506084920118,480
1506084920126,478
1506084920134,478
1506084920142,476
1506084920150,476
1506084920158,476
1506084920166,477
1506084920175,483
1506084920183,486
1506084920191,492
1506084920199,497
1506084920207,501
1506084920216,508
1506084920223,516
1506084920228,526
1506084920237,534
1506084920245,541
1506084920253,548
1506084920261,553
1506084920269,557
1506084920278,557
1506084920286,555
1506084920294,553
1506084920302,546
1506084920310,540
1506084920318,533
1506084920327,523
1506084920334,515
1506084920342,506
1506084920351,498
1506084920360,489
1506084920368,479
1506084920376,473
1506084920383,466
1506084920392,463
1506084920396,462
1506084920404,459
1506084920412,461
1506084920421,460
1506084920429,463
1506084920437,466
1506084920445,470
1506084920454,478
1506084920462,482
1506084920470,489
1506084920478,496
1506084920486,501
1506084920494,507
1506084920503,511
1506084920511,513
1506084920519,517
1506084920527,518
1506084920535,522
1506084920544,522
1506084920552,524
1506084920556,526
1506084920564,523
1506084920572,524
1506084920580,522
1506084920588,521
1506084920597,519
1506084920605,517
1506084920613,515
1506084920621,513
1506084920629,510
1506084920638,507
1506084920646,506
1506084920654,504
1506084920662,500
1506084920670,498
1506084920680,496
1506084920687,492
1506084920695,493
1506084920703,491
1506084920711,489
1506084920716,490
1506084920724,488
1506084920732,490
1506084920740,490
1506084920748,494
1506084920756,497
1506084920765,500
1506084920773,507
1506084920781,512
1506084920789,520
1506084920797,528
1506084920805,536
1506084920813,543
1506084920821,548
1506084920830,554
1506084920838,556
1506084920846,556
1506084920854,556
1506084920862,550
1506084920870,545
1506084920874,539
1506084920883,529
1506084920891,522
1506084920899,513
1506084920907,506
1506084920916,499
1506084920924,492
1506084920932,486
1506084920940,480
1506084920948,477
1506084920957,474
1506084920965,471
1506084920973,471
1506084920981,470
1506084920989,471
1506084920998,474
1506084921006,474
1506084921014,478
1506084921022,481
1506084921031,484
1506084921035,488
1506084921043,491
1506084921051,497
1506084921060,500
1506084921068,502
1506084921076,505
1506084921084,505
1506084921092,508
1506084921100,509
1506084921109,509
1506084921117,511
1506084921125,510
1506084921133,510
1506084921141,508
1506084921149,508
1506084921158,507
1506084921166,505
1506084921174,505
1506084921182,502
1506084921190,500
1506084921194,499
1506084921202,496
1506084921211,496
1506084921219,493
1506084921228,492
1506084921236,490
1506084921244,488
1506084921252,489
1506084921260,487
1506084921268,488
1506084921276,487
1506084921284,485
1506084921292,488
1506084921301,489
1506084921309,491
1506084921317,497
1506084921325,502
1506084921333,510
1506084921341,516
1506084921349,524
1506084921354,533
1506084921362,540
1506084921370,547
1506084921378,550
1506084921387,553
1506084921395,554
1506084921403,551
1506084921411,549
1506084921419,544
1506084921428,539
1506084921436,533
1506084921444,523
1506084921452,517
1506084921460,509
1506084921469,503
1506084921477,496
1506084921485,488
1506084921493,484
1506084921501,479
1506084921509,474
1506084921513,472
1506084921522,469
1506084921530,469
1506084921538,467
1506084921547,469
1506084921555,471
1506084921564,472
1506084921572,477
1506084921580,478
1506084921588,481
1506084921597,485
1506084921605,488
1506084921613,492
1506084921621,495
1506084921629,498
1506084921638,500
1506084921646,501
1506084921654,504
1506084921662,503
1506084921670,505
1506084921674,506
1506084921682,503
1506084921690,504
1506084921699,502
1506084921707,500
1506084921715,499
1506084921723,495
1506084921731,494
1506084921739,492
1506084921748,489
1506084921756,488
1506084921764,486
1506084921772,487
1506084921781,484
1506084921789,483
1506084921797,483
1506084921805,482
1506084921813,483
1506084921821,484
1506084921829,485
1506084921834,489
1506084921842,492
1506084921850,499
1506084921858,504
1506084921866,511
1506084921875,520
1506084921883,526
1506084921891,535
1506084921899,541
1506084921907,546
1506084921915,550
1506084921923,551
1506084921932,551
1506084921940,548
1506084921948,544
1506084921956,539
1506084921965,531
1506084921973,527
1506084921981,519
1506084921989,512
1506084921993,507
1506084922002,499
1506084922011,495
1506084922018,489
1506084922026,483
1506084922035,480
1506084922043,475
1506084922051,473
1506084922059,471
1506084922067,470
1506084922076,473
1506084922083,474
1506084922091,476
1506084922100,477
1506084922108,479
1506084922116,482
1506084922124,484
1506084922133,488
1506084922141,491
1506084922149,494
1506084922154,498
1506084922162,499
1506084922170,501
1506084922178,503
1506084922186,502
1506084922194,503
1506084922202,500
1506084922210,500
1506084922219,498
1506084922226,495
1506084922234,494
1506084922242,491
1506084922251,490
1506084922259,488
1506084922267,486
1506084922276,485
1506084922284,483
1506084922293,483
1506084922301,482
1506084922309,481
1506084922317,482
1506084922321,480
1506084922329,481
1506084922338,480
1506084922346,480
1506084922355,484
1506084922362,484
1506084922370,488
1506084922378,493
1506084922386,499
1506084922395,508
1506084922402,515
1506084922411,524
1506084922419,533
1506084922427,539
1506084922436,545
1506084922444,549
1506084922452,553
1506084922460,554
1506084922468,554
1506084922476,553
1506084922480,549
1506084922488,546
1506084922498,541
1506084922506,535
1506084922514,529
1506084922523,521
1506084922531,515
1506084922538,508
1506084922547,501
1506084922555,495
1506084922563,487
1506084922571,483
1506084922579,478
1506084922587,474
1506084922596,474
1506084922603,471
1506084922612,471
1506084922620,472
1506084922628,473
1506084922636,476
1506084922640,477
1506084922648,481
1506084922656,484
1506084922665,488
1506084922673,492
1506084922682,494
1506084922690,498
1506084922698,500
1506084922707,501
1506084922715,504
1506084922722,503
1506084922731,504
1506084922739,503
1506084922747,502
1506084922756,501
1506084922764,499
1506084922772,499
1506084922780,497
1506084922788,493
1506084922796,494
1506084922800,491
1506084922808,490
1506084922817,488
1506084922825,486
1506084922833,486
1506084922841,484
1506084922849,484
1506084922858,482
1506084922866,480
1506084922874,481
1506084922883,480
1506084922891,481
1506084922899,483
1506084922907,485
1506084922915,491
1506084922923,497
1506084922931,505
1506084922939,513
1506084922947,522
1506084922955,531
1506084922959,539
1506084922968,546
1506084922976,550
1506084922984,553
1506084922992,556
1506084923001,554
1506084923008,552
1506084923017,548
1506084923025,542
1506084923033,536
1506084923041,529
1506084923049,522
1506084923058,515
1506084923066,508
1506084923076,502
1506084923083,495
1506084923091,491
1506084923099,485
1506084923107,480
1506084923116,479
1506084923120,475
1506084923128,474
1506084923136,474
1506084923144,473
1506084923153,475
1506084923161,476
1506084923169,479
1506084923177,482
1506084923185,484
1506084923193,489
1506084923201,491
1506084923210,494
1506084923218,497
1506084923226,498
1506084923235,499
1506084923243,500
1506084923252,501
1506084923260,502
1506084923268,501
1506084923276,503
1506084923280,502
1506084923288,501
1506084923296,499
1506084923304,497
1506084923312,497
1506084923320,495
1506084923328,495
1506084923337,494
1506084923345,492
1506084923353,492
1506084923361,490
1506084923369,491
1506084923378,490
1506084923386,489
1506084923394,490
1506084923402,488
1506084923410,488
1506084923419,488
1506084923427,488
1506084923435,490
1506084923439,491
1506084923447,495
