time,value
1506084047525,1535
1506084047533,1460
1506084047541,1388
1506084047550,1324
1506084047557,1275
1506084047566,1245
1506084047574,1235
1506084047581,1247
1506084047589,1279
1506084047598,1328
1506084047605,1391
1506084047613,1464
1506084047621,1547
1506084047629,1628
1506084047637,1709
1506084047646,1784
1506084047653,1853
1506084047661,1917
1506084047669,1974
1506084047677,2027
1506084047685,2076
1506084047693,2120
1506084047701,2159
1506084047709,2190
1506084047717,2213
1506084047725,2228
1506084047733,2235
1506084047741,2236
1506084047749,2231
1506084047758,2225
1506084047766,2216
1506084047774,2210
1506084047782,2207
1506084047790,2212
1506084047797,2227
1506084047806,2256
1506084047814,2291
1506084047822,2331
1506084047830,2364
1506084047837,2386
1506084047845,2385
1506084047853,2355
1506084047862,2299
1506084047869,2222
1506084047877,2135
1506084047886,2050
1506084047893,1977
1506084047901,1924
1506084047910,1893
1506084047917,1892
1506084047925,1917
1506084047933,1972
1506084047941,2056
1506084047950,2167
1506084047957,2302
1506084047965,2458
1506084047974,2629
1506084047981,2794
1506084047990,2948
1506084047997,3083
1506084048006,3200
1506084048014,3302
1506084048021,3392
1506084048030,3469
1506084048037,3537
1506084048046,3581
1506084048054,3591
1506084048061,3561
1506084048069,3494
1506084048077,3395
1506084048086,3272
1506084048093,3134
1506084048101,2989
1506084048109,2841
1506084048117,2700
1506084048125,2567
1506084048133,2450
1506084048141,2356
1506084048149,2288
1506084048157,2249
1506084048165,2239
1506084048173,2258
1506084048181,2303
1506084048189,2371
1506084048197,2457
1506084048205,2557
1506084048213,2666
1506084048221,2778
1506084048229,2886
1506084048237,2982
1506084048246,3061
1506084048253,3116
1506084048262,3143
1506084048270,3137
1506084048278,3100
1506084048286,3028
1506084048294,2928
1506084048302,2803
1506084048310,2662
1506084048318,2514
1506084048326,2367
1506084048334,2224
1506084048342,2091
1506084048350,1968
1506084048358,1859
1506084048366,1765
1506084048375,1688
1506084048383,1631
1506084048390,1594
1506084048399,1577
1506084048407,1578
1506084048415,1594
1506084048422,1624
1506084048430,1660
1506084048438,1700
1506084048446,1741
1506084048454,1777
1506084048462,1806
1506084048470,1824
1506084048478,1831
1506084048486,1824
1506084048495,1804
1506084048502,1768
1506084048510,1716
1506084048518,1648
1506084048526,1568
1506084048534,1476
1506084048543,1381
1506084048550,1286
1506084048558,1197
1506084048567,1119
1506084048575,1053
1506084048583,1002
1506084048591,967
1506084048599,947
1506084048607,942
1506084048615,950
1506084048622,970
1506084048631,997
