time,value
1506084169999,1578
1506084170007,1583
1506084170015,1568
1506084170023,1534
1506084170031,1486
1506084170039,1432
1506084170047,1384
1506084170055,1350
1506084170063,1332
1506084170071,1336
1506084170079,1360
1506084170087,1408
1506084170095,1477
1506084170103,1567
1506084170111,1672
1506084170120,1788
1506084170127,1909
1506084170135,2029
1506084170143,2150
1506084170151,2271
1506084170159,2389
1506084170167,2503
1506084170176,2610
1506084170184,2705
1506084170191,2780
1506084170200,2832
1506084170207,2858
1506084170215,2856
1506084170224,2828
1506084170231,2767
1506084170239,2683
1506084170247,2577
1506084170256,2453
1506084170264,2318
1506084170272,2179
1506084170280,2042
1506084170288,1914
1506084170296,1799
1506084170304,1702
1506084170311,1623
1506084170319,1566
1506084170327,1531
1506084170336,1520
1506084170344,1531
1506084170351,1565
1506084170360,1619
1506084170368,1692
1506084170376,1780
1506084170384,1879
1506084170391,1986
1506084170399,2096
1506084170407,2202
1506084170415,2301
1506084170424,2385
1506084170432,2452
1506084170440,2499
1506084170448,2525
1506084170456,2529
1506084170464,2513
1506084170472,2482
1506084170480,2439
1506084170488,2385
1506084170496,2325
1506084170504,2262
1506084170512,2201
1506084170520,2144
1506084170528,2094
1506084170536,2051
1506084170544,2019
1506084170552,2000
1506084170560,1995
1506084170568,2001
1506084170576,2019
1506084170584,2047
1506084170592,2082
1506084170600,2117
1506084170608,2152
1506084170616,2183
1506084170624,2204
1506084170632,2216
1506084170640,2220
1506084170648,2215
1506084170656,2203
1506084170664,2186
1506084170672,2167
1506084170680,2147
1506084170688,2128
1506084170696,2110
1506084170704,2094
1506084170712,2082
1506084170720,2073
1506084170728,2064
1506084170736,2057
1506084170744,2049
1506084170752,2041
1506084170760,2032
1506084170768,2023
1506084170776,2016
1506084170784,2010
1506084170792,2007
1506084170800,2005
1506084170808,2008
1506084170816,2017
1506084170824,2033
1506084170832,2056
1506084170840,2084
1506084170848,2118
1506084170856,2150
1506084170864,2186
1506084170872,2220
1506084170880,2244
1506084170888,2256
1506084170896,2246
1506084170904,2212
1506084170912,2155
1506084170920,2088
1506084170928,2019
1506084170936,1961
1506084170944,1921
1506084170952,1905
1506084170960,1918
1506084170969,1960
1506084170977,2031
1506084170985,2130
1506084170993,2253
1506084171001,2395
1506084171008,2552
1506084171017,2713
1506084171025,2869
1506084171032,3012
1506084171040,3140
1506084171048,3249
1506084171056,3338
1506084171065,3406
1506084171073,3447
1506084171081,3461
1506084171089,3445
1506084171097,3399
1506084171105,3325
1506084171112,3226
1506084171121,3100
1506084171128,2960
1506084171136,2810
1506084171144,2660
1506084171152,2518
1506084171160,2391
1506084171168,2283
1506084171176,2195
1506084171184,2127
1506084171193,2080
1506084171201,2051
1506084171209,2043
1506084171217,2053
1506084171225,2085
1506084171233,2133
1506084171241,2196
1506084171248,2265
1506084171257,2340
1506084171264,2415
1506084171273,2487
1506084171281,2551
1506084171289,2607
1506084171297,2652
1506084171305,2686
1506084171313,2705
1506084171321,2705
1506084171329,2690
1506084171337,2659
1506084171345,2614
1506084171353,2559
1506084171361,2497
1506084171369,2430
1506084171377,2357
1506084171385,2283
1506084171392,2208
1506084171401,2133
1506084171408,2064
1506084171416,1997
1506084171424,1940
1506084171432,1890
1506084171441,1852
1506084171448,1826
1506084171457,1814
1506084171465,1815
1506084171473,1829
1506084171481,1857
1506084171489,1899
1506084171497,1952
1506084171505,2013
1506084171513,2079
1506084171521,2147
1506084171529,2212
1506084171537,2272
1506084171545,2323
1506084171553,2363
1506084171562,2389
1506084171569,2400
1506084171577,2398
1506084171585,2383
1506084171593,2357
1506084171601,2323
1506084171609,2282
1506084171617,2236
1506084171626,2189
1506084171633,2145
1506084171641,2107
1506084171649,2080
1506084171658,2066
1506084171666,2065
1506084171673,2078
1506084171682,2104
1506084171689,2144
1506084171697,2187
1506084171706,2226
1506084171714,2253
1506084171722,2258
1506084171730,2247
1506084171738,2222
1506084171746,2191
1506084171753,2164
1506084171761,2152
1506084171769,2156
1506084171777,2184
1506084171786,2234
1506084171793,2304
1506084171802,2389
1506084171809,2486
1506084171817,2588
1506084171826,2689
1506084171834,2786
1506084171841,2877
1506084171850,2962
1506084171857,3038
1506084171865,3108
1506084171873,3165
1506084171881,3211
1506084171889,3238
1506084171897,3245
1506084171906,3226
1506084171913,3178
1506084171922,3107
1506084171929,3012
1506084171937,2895
1506084171945,2764
1506084171953,2628
1506084171962,2495
1506084171970,2375
1506084171978,2272
1506084171986,2191
1506084171994,2133
1506084172001,2099
1506084172010,2084
1506084172017,2091
1506084172026,2109
1506084172034,2142
1506084172041,2187
1506084172050,2238
1506084172058,2293
1506084172066,2347
1506084172074,2397
1506084172082,2441
1506084172090,2474
1506084172098,2491
1506084172106,2491
1506084172114,2470
1506084172122,2428
1506084172130,2367
1506084172138,2287
1506084172146,2191
1506084172154,2082
1506084172162,1965
1506084172170,1848
