time,value
1506084169999,488
1506084169999,490
1506084170000,490
1506084170000,491
1506084170001,493
1506084170001,492
1506084170002,494
1506084170002,494
1506084170002,495
1506084170003,496
1506084170003,496
1506084170004,497
1506084170004,497
1506084170005,498
1506084170005,498
1506084170006,498
1506084170006,498
1506084170006,498
1506084170007,498
1506084170008,498
1506084170008,498
1506084170008,498
1506084170009,9
1506084170009,488
1506084170009,488
1506084170010,489
1506084170010,488
1506084170010,490
1506084170011,490
1506084170011,491
1506084170011,493
1506084170012,492
1506084170012,494
1506084170013,494
1506084170013,495
1506084170013,496
1506084170014,496
1506084170014,497
1506084170014,497
1506084170015,498
1506084170015,498
1506084170015,498
1506084170016,498
1506084170016,498
1506084170017,498
1506084170017,498
1506084170017,498
1506084170017,498
1506084171567,498
1506084171575,465
1506084171583,448
1506084171591,442
1506084171599,440
1506084171607,439
1506084171615,442
1506084171625,444
1506084171633,449
1506084171640,454
1506084171645,459
1506084171653,465
1506084171661,470
1506084171669,476
1506084171677,480
1506084171686,485
1506084171694,489
1506084171702,492
1506084171710,495
1506084171718,498
1506084171726,498
1506084171735,500
1506084171743,499
1506084171751,500
1506084171759,499
1506084171767,498
1506084171776,497
1506084171784,495
1506084171792,494
1506084171800,494
1506084171805,492
1506084171813,493
1506084171821,493
1506084171829,495
1506084171837,499
1506084171845,505
1506084171854,513
1506084171862,521
1506084171870,532
1506084171878,543
1506084171886,553
1506084171894,565
1506084171902,574
1506084171911,583
1506084171919,590
1506084171927,594
1506084171935,598
1506084171943,597
1506084171952,595
1506084171960,591
1506084171964,583
1506084171972,575
1506084171980,566
1506084171989,556
1506084171997,546
1506084172005,534
1506084172013,525
1506084172021,514
1506084172029,505
1506084172038,498
1506084172046,492
1506084172054,488
1506084172062,483
1506084172070,481
1506084172078,480
1506084172087,478
1506084172095,477
1506084172103,477
1506084172111,477
1506084172119,477
1506084172124,478
1506084172132,480
1506084172140,482
1506084172148,485
1506084172156,486
1506084172165,488
1506084172173,492
1506084172181,493
1506084172189,496
1506084172197,499
1506084172206,501
1506084172214,504
1506084172222,505
1506084172230,506
1506084172238,508
1506084172246,508
1506084172254,508
1506084172263,506
1506084172271,506
1506084172279,504
1506084172283,502
1506084172291,501
1506084172299,499
1506084172308,497
1506084172316,495
1506084172324,491
1506084172332,491
1506084172341,488
1506084172349,487
1506084172357,486
1506084172365,485
1506084172373,485
1506084172381,484
1506084172389,484
1506084172397,485
1506084172406,484
1506084172414,485
1506084172422,485
1506084172430,487
1506084172438,490
1506084172443,494
1506084172451,496
1506084172459,494
1506084172467,496
1506084172475,498
1506084172483,498
1506084172492,501
1506084172500,500
1506084172508,500
1506084172516,501
1506084172525,497
1506084172533,494
1506084172541,492
1506084172550,491
1506084172558,491
1506084172566,491
1506084172574,491
1506084172582,490
1506084172590,492
1506084172598,492
1506084172607,489
1506084172611,489
1506084172619,488
1506084172627,489
1506084172635,492
1506084172644,495
1506084172652,501
1506084172660,508
1506084172668,517
1506084172676,529
1506084172685,543
1506084172693,557
1506084172701,567
1506084172709,578
