time,value
1506085461802,1873
1506085461810,1877
1506085461819,1878
1506085461826,1878
1506085461835,1876
1506085461842,1875
1506085461850,1875
1506085461858,1878
1506085461867,1885
1506085461874,1900
1506085461882,1925
1506085461890,1967
1506085461898,2030
1506085461906,2114
1506085461914,2217
1506085461922,2335
1506085461930,2461
1506085461938,2586
1506085461946,2703
1506085461954,2805
1506085461962,2885
1506085461970,2941
1506085461979,2972
1506085461987,2977
1506085461994,2959
1506085462002,2925
1506085462010,2876
1506085462018,2818
1506085462026,2752
1506085462035,2680
1506085462042,2609
1506085462051,2538
1506085462059,2476
1506085462067,2425
1506085462075,2385
1506085462082,2359
1506085462091,2342
1506085462098,2331
1506085462107,2325
1506085462115,2320
1506085462123,2314
1506085462130,2304
1506085462138,2295
1506085462147,2285
1506085462155,2271
1506085462163,2252
1506085462171,2232
1506085462179,2210
1506085462186,2191
1506085462195,2171
1506085462203,2157
1506085462211,2145
1506085462219,2138
1506085462227,2133
1506085462235,2132
1506085462243,2133
1506085462251,2133
1506085462259,2134
1506085462267,2136
1506085462275,2134
1506085462282,2132
1506085462291,2130
1506085462299,2130
1506085462307,2134
1506085462315,2142
1506085462323,2154
1506085462331,2169
1506085462339,2185
1506085462347,2200
1506085462355,2212
1506085462363,2223
1506085462371,2229
1506085462379,2233
1506085462388,2235
1506085462395,2230
1506085462403,2222
1506085462411,2208
1506085462419,2195
1506085462427,2181
1506085462435,2168
1506085462443,2156
1506085462450,2139
1506085462458,2118
1506085462466,2091
1506085462475,2060
1506085462483,2030
1506085462491,2005
1506085462499,1989
1506085462507,1989
1506085462515,2005
1506085462523,2041
1506085462531,2092
1506085462539,2156
1506085462547,2230
1506085462555,2307
1506085462563,2384
1506085462571,2451
1506085462578,2509
1506085462587,2552
1506085462595,2580
1506085462603,2592
1506085462611,2583
1506085462620,2557
1506085462627,2515
1506085462635,2461
1506085462643,2399
1506085462651,2327
1506085462659,2252
1506085462667,2175
1506085462675,2098
1506085462683,2028
1506085462691,1961
1506085462699,1904
1506085462707,1852
1506085462715,1805
1506085462723,1764
1506085462731,1724
1506085462739,1690
1506085462747,1657
1506085462755,1625
1506085462764,1593
1506085462771,1559
1506085462780,1526
1506085462788,1491
1506085462795,1458
1506085462803,1427
1506085462812,1399
1506085462820,1376
1506085462828,1358
1506085462836,1346
1506085462843,1341
1506085462852,1340
1506085462859,1348
1506085462867,1363
1506085462875,1387
1506085462884,1418
1506085462891,1452
1506085462899,1488
1506085462907,1526
1506085462916,1561
1506085462923,1592
1506085462932,1619
1506085462940,1646
1506085462948,1674
1506085462956,1702
1506085462964,1737
1506085462972,1772
1506085462980,1814
1506085462988,1853
1506085462996,1893
1506085463003,1925
1506085463012,1946
1506085463020,1959
1506085463028,1965
1506085463036,1964
1506085463043,1958
1506085463051,1947
1506085463060,1937
1506085463068,1928
1506085463076,1925
1506085463084,1928
1506085463091,1935
1506085463100,1949
1506085463108,1964
1506085463116,1980
1506085463124,1994
1506085463132,2005
1506085463140,2018
1506085463147,2032
1506085463155,2055
1506085463163,2089
1506085463171,2133
1506085463179,2191
1506085463187,2260
1506085463195,2338
1506085463203,2424
1506085463211,2513
1506085463219,2606
1506085463227,2696
1506085463235,2781
1506085463243,2859
1506085463251,2924
1506085463259,2979
1506085463267,3018
1506085463275,3042
1506085463283,3047
1506085463291,3034
1506085463299,3006
1506085463308,2966
1506085463316,2913
1506085463324,2855
1506085463332,2788
1506085463340,2722
1506085463348,2656
1506085463356,2594
1506085463364,2537
1506085463372,2484
1506085463380,2434
1506085463388,2383
1506085463396,2330
1506085463404,2272
1506085463412,2205
1506085463420,2132
1506085463428,2050
1506085463436,1967
1506085463444,1885
1506085463452,1807
1506085463460,1738
1506085463468,1680
1506085463476,1634
1506085463484,1599
1506085463492,1570
1506085463500,1552
1506085463508,1537
1506085463517,1529
1506085463524,1525
