time,value
1506085461800,492
1506085461809,492
1506085461817,491
1506085461825,492
1506085461834,492
1506085461841,492
1506085461849,493
1506085461858,492
1506085461866,493
1506085461874,493
1506085461882,493
1506085461890,494
1506085461898,494
1506085461906,496
1506085461910,497
1506085461919,501
1506085461927,505
1506085461935,510
1506085461943,519
1506085461951,527
1506085461959,534
1506085461967,543
1506085461976,550
1506085461985,557
1506085461993,561
1506085462001,564
1506085462009,566
1506085462017,565
1506085462027,566
1506085462034,563
1506085462042,559
1506085462050,555
1506085462058,549
1506085462066,545
1506085462070,539
1506085462078,533
1506085462087,529
1506085462095,523
1506085462103,518
1506085462111,512
1506085462120,508
1506085462128,504
1506085462136,500
1506085462144,497
1506085462152,492
1506085462161,490
1506085462168,488
1506085462177,484
1506085462185,483
1506085462193,482
1506085462202,481
1506085462211,480
1506085462218,479
1506085462227,480
1506085462230,480
1506085462239,480
1506085462246,482
1506085462255,482
1506085462263,485
1506085462271,485
1506085462279,486
1506085462287,489
1506085462296,490
1506085462304,492
1506085462312,492
1506085462320,491
1506085462328,492
1506085462336,490
1506085462345,491
1506085462354,489
1506085462361,489
1506085462369,490
1506085462377,487
1506085462385,488
1506085462390,487
1506085462398,486
1506085462406,487
1506085462414,486
1506085462422,487
1506085462431,486
1506085462439,487
1506085462447,496
1506085462455,498
1506085462463,499
1506085462471,498
1506085462480,497
1506085462488,498
1506085462497,500
1506085462505,498
1506085462513,500
1506085462521,500
1506085462529,500
1506085462537,497
1506085462545,500
1506085462549,502
1506085462557,508
1506085462566,515
1506085462574,520
1506085462582,529
1506085462590,536
1506085462599,543
1506085462607,550
1506085462615,554
1506085462624,557
1506085462632,560
1506085462640,560
1506085462648,560
1506085462656,556
1506085462664,554
1506085462673,549
1506085462680,543
1506085462689,541
1506085462697,534
1506085462705,529
1506085462713,526
1506085462717,520
1506085462725,514
1506085462734,507
1506085462742,503
1506085462750,496
1506085462759,493
1506085462767,489
1506085462775,484
1506085462783,482
1506085462791,479
1506085462799,477
1506085462808,478
1506085462816,476
1506085462824,477
1506085462832,477
1506085462840,477
1506085462849,477
1506085462857,479
1506085462865,481
1506085462873,481
1506085462877,480
1506085462885,482
1506085462894,482
1506085462901,484
1506085462910,484
1506085462918,484
1506085462926,486
1506085462935,487
1506085462943,488
1506085462951,490
1506085462960,489
1506085462968,490
1506085462976,487
1506085462984,487
1506085462992,487
1506085463000,486
1506085463008,487
1506085463017,485
1506085463024,486
1506085463032,485
1506085463037,486
1506085463045,487
1506085463053,486
1506085463061,488
1506085463069,488
1506085463078,488
1506085463086,490
1506085463094,489
1506085463102,490
1506085463110,491
1506085463119,491
1506085463127,492
1506085463135,490
1506085463143,491
1506085463151,490
1506085463159,490
1506085463168,492
1506085463176,491
1506085463184,493
1506085463192,496
1506085463196,499
1506085463204,505
1506085463212,510
1506085463221,517
1506085463229,523
1506085463237,531
1506085463245,539
1506085463254,544
1506085463262,551
1506085463270,555
1506085463278,558
1506085463286,561
1506085463295,560
1506085463302,560
1506085463311,559
1506085463320,557
1506085463328,555
1506085463336,549
1506085463344,546
1506085463352,539
1506085463356,533
1506085463364,529
1506085463373,522
1506085463381,518
1506085463389,515
1506085463397,509
1506085463406,504
1506085463414,501
1506085463422,497
1506085463430,493
1506085463439,489
1506085463447,486
1506085463455,482
1506085463463,484
1506085463471,483
1506085463479,480
1506085463488,481
1506085463496,479
1506085463504,480
1506085463512,480
1506085463516,479
1506085463525,481
1506085463532,481
1506085463541,483
1506085463549,483
1506085463557,483
1506085463565,485
1506085463574,487
1506085463581,489
1506085463590,489
1506085463598,488
1506085463606,488
1506085463615,486
1506085463623,486
1506085463631,486
1506085463639,485
1506085463648,486
1506085463656,484
1506085463664,486
1506085463672,486
1506085463676,485
1506085463684,487
1506085463692,486
1506085463700,487
1506085463709,488
1506085463717,487
1506085463725,490
1506085463734,490
1506085463742,492
1506085463750,491
1506085463758,491
1506085463766,492
1506085463774,492
1506085463783,492
1506085463791,495
1506085463799,493
1506085463807,493
1506085463815,491
1506085463823,490
1506085463832,492
1506085463837,491
1506085463845,491
1506085463852,488
1506085463861,489
1506085463869,490
1506085463877,488
1506085463885,490
1506085463893,491
1506085463901,495
1506085463909,499
1506085463917,505
1506085463925,518
1506085463934,523
1506085463943,529
1506085463951,540
1506085463959,543
1506085463967,545
1506085463975,547
1506085463983,549
1506085463991,550
1506085463996,549
1506085464005,548
1506085464013,546
1506085464020,543
1506085464029,540
1506085464037,536
1506085464045,534
1506085464053,529
1506085464061,525
1506085464069,523
1506085464078,518
1506085464085,516
1506085464094,512
1506085464102,509
1506085464110,507
1506085464118,505
1506085464126,504
1506085464134,502
1506085464143,501
1506085464150,500
1506085464155,498
1506085464163,498
1506085464171,496
1506085464180,494
1506085464188,494
1506085464196,492
1506085464205,492
1506085464213,491
1506085464220,491
1506085464229,492
1506085464237,491
1506085464246,494
1506085464254,492
1506085464262,492
1506085464270,493
1506085464278,491
1506085464286,493
1506085464295,492
1506085464303,491
1506085464311,492
1506085464316,492
1506085464323,493
1506085464331,493
1506085464340,493
1506085464348,494
1506085464356,493
1506085464364,496
1506085464373,495
1506085464380,495
1506085464389,497
1506085464397,495
1506085464405,496
1506085464413,497
1506085464421,497
1506085464429,498
1506085464437,498
1506085464446,500
1506085464454,499
1506085464462,500
1506085464470,507
1506085464478,506
1506085464482,505
1506085464491,504
1506085464499,507
1506085464507,505
1506085464516,500
1506085464524,498
1506085464532,496
1506085464540,494
1506085464549,493
1506085464557,491
1506085464565,492
1506085464574,492
1506085464581,493
1506085464589,502
1506085464597,504
1506085464606,506
1506085464614,510
1506085464622,511
1506085464630,515
1506085464638,519
1506085464642,527
1506085464650,532
1506085464659,537
1506085464667,544
1506085464676,548
1506085464684,552
1506085464692,555
1506085464700,557
1506085464708,558
1506085464717,556
1506085464724,555
1506085464732,551
1506085464740,547
1506085464749,544
1506085464757,539
1506085464766,535
1506085464775,530
1506085464782,525
1506085464790,523
1506085464798,518
1506085464802,515
1506085464811,512
1506085464819,508
1506085464827,506
1506085464835,502
1506085464843,501
1506085464851,499
1506085464860,497
1506085464868,497
1506085464876,495
1506085464885,496
1506085464892,496
1506085464901,495
1506085464909,496
1506085464918,496
1506085464926,498
1506085464934,499
1506085464942,500
1506085464949,503
1506085464957,501
1506085464962,504
1506085464971,504
1506085464978,504
1506085464987,506
1506085464995,504
1506085465003,505
1506085465011,506
1506085465019,506
1506085465028,507
1506085465036,505
1506085465044,506
1506085465052,505
1506085465060,503
1506085465068,505
1506085465077,502
1506085465085,503
