time,value
1506577198281,2286
1506577198289,2284
1506577198297,2313
1506577198305,2366
1506577198313,2434
1506577198321,2504
1506577198329,2559
1506577198337,2584
1506577198345,2575
1506577198353,2523
1506577198360,2435
1506577198369,2316
1506577198377,2180
1506577198385,2034
1506577198393,1889
1506577198401,1751
1506577198409,1625
1506577198417,1516
1506577198425,1419
1506577198433,1330
1506577198441,1249
1506577198449,1175
1506577198457,1109
1506577198465,1047
1506577198473,990
1506577198481,935
1506577198489,878
1506577198497,817
1506577198505,746
1506577198513,664
1506577198521,583
1506577198529,512
1506577198537,449
1506577198545,395
1506577198553,348
1506577198561,306
1506577198569,270
1506577198577,238
1506577198585,210
1506577198593,186
1506577198601,165
1506577198609,146
1506577198617,130
1506577198625,116
1506577198633,104
1506577198641,93
1506577198650,84
1506577198658,75
1506577198666,68
1506577198674,62
1506577198682,56
1506577198690,51
1506577198698,46
1506577198706,43
1506577198714,43
1506577198722,52
1506577198730,80
1506577198738,138
1506577198746,219
1506577198754,316
1506577198761,426
1506577198769,543
1506577198777,665
1506577198785,788
1506577198793,909
1506577198801,1020
1506577198809,1119
1506577198817,1204
1506577198825,1279
1506577198833,1348
1506577198841,1413
1506577198850,1472
1506577198858,1519
1506577198866,1545
1506577198874,1539
1506577198882,1490
1506577198890,1388
1506577198898,1242
1506577198906,1088
1506577198914,951
1506577198922,832
1506577198930,726
1506577198938,636
1506577198946,556
1506577198954,487
1506577198962,427
1506577198970,375
1506577198978,329
1506577198986,290
1506577198994,255
1506577199002,225
1506577199010,198
1506577199018,175
1506577199026,155
1506577199034,137
1506577199042,122
1506577199050,109
1506577199058,97
1506577199066,87
1506577199074,77
1506577199082,70
1506577199090,63
1506577199098,59
1506577199106,57
1506577199114,56
1506577199122,57
1506577199130,56
1506577199138,60
1506577199146,65
1506577199154,77
1506577199162,90
1506577199170,99
1506577199178,99
1506577199186,97
1506577199194,88
1506577199202,79
1506577199210,70
1506577199218,63
1506577199226,56
1506577199234,54
1506577199242,54
1506577199250,65
1506577199258,95
1506577199266,144
1506577199274,214
1506577199282,302
1506577199290,406
1506577199298,523
1506577199306,646
1506577199314,773
1506577199322,896
1506577199330,1007
1506577199338,1103
1506577199346,1179
1506577199354,1233
1506577199362,1263
1506577199370,1274
1506577199378,1270
1506577199386,1253
1506577199395,1229
1506577199402,1201
1506577199410,1173
1506577199418,1153
1506577199426,1141
1506577199435,1140
1506577199442,1155
1506577199450,1181
1506577199458,1220
1506577199466,1270
1506577199475,1332
1506577199482,1400
1506577199490,1469
1506577199498,1535
1506577199507,1592
1506577199515,1646
1506577199522,1698
1506577199531,1745
1506577199539,1788
1506577199547,1826
1506577199555,1861
1506577199563,1902
1506577199571,1956
1506577199579,2028
1506577199587,2117
1506577199595,2227
1506577199603,2346
1506577199611,2465
1506577199619,2575
1506577199627,2663
1506577199635,2724
1506577199643,2755
1506577199651,2755
1506577199659,2730
1506577199667,2683
1506577199675,2617
1506577199683,2538
1506577199691,2452
1506577199699,2364
1506577199707,2278
1506577199715,2199
1506577199723,2128
1506577199731,2067
1506577199739,2021
1506577199747,1981
1506577199755,1946
1506577199763,1908
1506577199771,1867
1506577199779,1818
1506577199787,1756
1506577199795,1680
1506577199803,1591
1506577199811,1489
1506577199819,1380
1506577199827,1269
1506577199835,1166
1506577199843,1076
1506577199851,1005
1506577199859,958
1506577199867,934
1506577199875,938
1506577199883,966
1506577199891,1016
1506577199899,1088
1506577199907,1176
1506577199915,1279
1506577199923,1396
1506577199931,1521
1506577199939,1656
1506577199947,1796
1506577199955,1940
1506577199963,2084
1506577199971,2226
1506577199979,2365
1506577199987,2497
1506577199995,2624
1506577200003,2746
1506577200011,2861
1506577200019,2967
1506577200027,3064
1506577200035,3151
1506577200043,3227
1506577200051,3293
1506577200059,3349
1506577200067,3393
1506577200075,3425
1506577200083,3444
1506577200091,3451
1506577200099,3448
1506577200107,3432
1506577200115,3406
1506577200123,3372
1506577200131,3329
1506577200139,3279
1506577200147,3218
1506577200155,3146
1506577200163,3060
1506577200171,2965
1506577200179,2864
1506577200187,2757
1506577200195,2647
1506577200203,2538
1506577200211,2433
1506577200219,2336
1506577200227,2244
1506577200235,2159
1506577200243,2076
1506577200251,2000
1506577200259,1929
1506577200268,1861
1506577200276,1797
1506577200284,1737
1506577200292,1680
1506577200300,1628
1506577200308,1585
1506577200316,1560
1506577200324,1557
1506577200332,1581
1506577200340,1632
1506577200348,1700
1506577200356,1773
1506577200364,1839
