time,value
1506577198276,626
1506577198284,601
1506577198293,579
1506577198301,556
1506577198309,531
1506577198317,512
1506577198325,492
1506577198334,474
1506577198342,459
1506577198350,445
1506577198358,435
1506577198367,426
1506577198375,420
1506577198383,416
1506577198387,411
1506577198396,414
1506577198404,413
1506577198412,416
1506577198420,422
1506577198428,427
1506577198437,437
1506577198444,445
1506577198453,454
1506577198461,465
1506577198469,473
1506577198477,485
1506577198485,492
1506577198493,501
1506577198502,509
1506577198510,512
1506577198518,519
1506577198526,521
1506577198534,523
1506577198543,525
1506577198547,523
1506577198555,523
1506577198563,518
1506577198571,515
1506577198579,512
1506577198587,506
1506577198596,504
1506577198604,496
1506577198612,493
1506577198620,489
1506577198628,482
1506577198637,481
1506577198645,476
1506577198653,473
1506577198662,472
1506577198670,469
1506577198678,469
1506577198686,466
1506577198695,465
1506577198702,465
1506577198707,462
1506577198715,464
1506577198723,462
1506577198731,462
1506577198739,463
1506577198748,461
1506577198756,463
1506577198763,463
1506577198771,465
1506577198780,468
1506577198788,468
1506577198796,472
1506577198804,473
1506577198812,475
1506577198821,478
1506577198829,478
1506577198837,483
1506577198846,486
1506577198854,493
1506577198862,503
1506577198866,515
1506577198874,535
1506577198883,554
1506577198891,578
1506577198899,603
1506577198907,625
1506577198915,650
1506577198923,669
1506577198932,686
1506577198940,700
1506577198948,706
1506577198956,710
1506577198964,706
1506577198972,699
1506577198981,688
1506577198989,671
1506577198997,654
1506577199005,630
1506577199013,607
1506577199021,586
1506577199026,560
1506577199034,538
1506577199043,516
1506577199051,495
1506577199058,478
1506577199067,460
1506577199075,448
1506577199083,436
1506577199091,427
1506577199099,420
1506577199108,414
1506577199116,413
1506577199124,413
1506577199132,414
1506577199141,419
1506577199149,424
1506577199157,432
1506577199165,440
1506577199173,447
1506577199181,458
1506577199185,466
1506577199194,477
1506577199202,486
1506577199210,496
1506577199218,506
1506577199226,512
1506577199235,520
1506577199243,526
1506577199251,529
1506577199259,532
1506577199267,532
1506577199275,532
1506577199284,529
1506577199292,525
1506577199300,521
1506577199308,515
1506577199316,511
1506577199325,504
1506577199333,498
1506577199341,494
1506577199349,487
1506577199354,483
1506577199362,478
1506577199370,474
1506577199378,471
1506577199387,467
1506577199395,467
1506577199403,465
1506577199411,465
1506577199419,466
1506577199427,464
1506577199436,465
1506577199444,467
1506577199452,468
1506577199460,469
1506577199468,469
1506577199476,470
1506577199485,470
1506577199493,470
1506577199501,473
1506577199509,472
1506577199513,474
1506577199521,476
1506577199530,478
1506577199538,480
1506577199546,481
1506577199554,484
1506577199563,487
1506577199571,491
1506577199579,497
1506577199587,504
1506577199595,515
1506577199603,528
1506577199611,544
1506577199620,563
1506577199628,581
1506577199636,603
1506577199644,624
1506577199652,644
1506577199661,664
1506577199669,678
1506577199673,691
1506577199681,698
1506577199689,699
1506577199698,697
1506577199706,688
1506577199714,676
1506577199722,660
1506577199730,640
1506577199738,620
1506577199747,595
1506577199755,572
1506577199763,548
1506577199771,525
1506577199780,504
1506577199788,482
1506577199796,465
1506577199804,450
1506577199812,438
1506577199820,429
1506577199828,421
1506577199832,417
1506577199841,415
1506577199849,414
1506577199857,418
1506577199865,421
1506577199873,426
1506577199882,433
1506577199890,439
1506577199898,449
1506577199906,457
1506577199915,467
1506577199922,476
1506577199931,485
1506577199939,494
1506577199947,502
1506577199955,510
1506577199963,515
1506577199972,520
1506577199980,526
1506577199988,526
1506577199992,527
1506577200001,529
1506577200009,527
1506577200017,524
1506577200025,519
1506577200033,514
1506577200042,509
1506577200050,502
1506577200058,496
1506577200066,489
1506577200075,485
1506577200083,481
1506577200091,475
1506577200099,473
1506577200107,469
1506577200116,465
1506577200123,463
1506577200132,461
1506577200140,461
1506577200148,459
1506577200152,461
1506577200160,460
1506577200169,461
1506577200177,464
1506577200185,464
1506577200193,466
1506577200201,469
1506577200210,471
1506577200218,473
1506577200226,474
1506577200235,476
1506577200242,476
1506577200251,479
1506577200259,480
1506577200267,481
1506577200276,483
1506577200284,484
1506577200292,484
1506577200300,487
1506577200308,487
1506577200312,491
1506577200320,495
1506577200329,502
1506577200337,512
1506577200345,524
1506577200353,541
1506577200361,559
1506577200370,579
1506577200378,603
1506577200386,623
1506577200394,644
1506577200402,664
1506577200411,679
1506577200419,692
1506577200427,699
1506577200436,701
1506577200444,698
1506577200451,691
1506577200460,681
1506577200468,664
1506577200472,646
1506577200480,625
1506577200488,601
1506577200497,578
1506577200505,554
1506577200513,532
1506577200521,510
1506577200529,491
1506577200537,473
1506577200546,456
1506577200554,445
1506577200562,435
1506577200570,427
1506577200578,423
1506577200586,419
1506577200595,419
1506577200603,422
1506577200611,424
1506577200619,430
1506577200627,435
1506577200632,443
1506577200640,452
1506577200648,461
1506577200656,474
1506577200664,483
1506577200672,493
1506577200681,503
1506577200689,511
1506577200697,521
1506577200705,528
1506577200713,535
1506577200721,541
1506577200730,542
1506577200738,545
1506577200746,543
1506577200754,542
1506577200762,538
1506577200771,532
1506577200779,526
1506577200787,518
1506577200791,511
1506577200799,503
1506577200807,494
1506577200816,488
1506577200824,480
1506577200832,476
1506577200840,469
1506577200848,462
1506577200857,460
1506577200865,455
1506577200873,455
1506577200881,453
1506577200889,452
1506577200898,454
1506577200906,452
1506577200914,454
1506577200922,456
1506577200930,458
1506577200938,461
1506577200947,461
1506577200951,463
1506577200959,465
1506577200968,467
1506577200976,471
1506577200984,472
1506577200992,474
