time,value
1506578856570,871
1506578856578,986
1506578856586,1148
1506578856594,1345
1506578856602,1564
1506578856610,1791
1506578856618,2014
1506578856626,2219
1506578856634,2399
1506578856642,2549
1506578856650,2665
1506578856658,2741
1506578856666,2774
1506578856674,2763
1506578856682,2713
1506578856690,2624
1506578856698,2506
1506578856706,2372
1506578856714,2231
1506578856722,2089
1506578856730,1948
1506578856738,1813
1506578856746,1687
1506578856754,1575
1506578856762,1478
1506578856770,1391
1506578856778,1315
1506578856786,1248
1506578856794,1194
1506578856802,1153
1506578856810,1123
1506578856818,1107
1506578856826,1101
1506578856834,1102
1506578856842,1109
1506578856850,1120
1506578856858,1133
1506578856866,1147
1506578856874,1160
1506578856882,1174
1506578856890,1188
1506578856898,1207
1506578856906,1229
1506578856914,1260
1506578856922,1297
1506578856930,1337
1506578856938,1383
1506578856946,1429
1506578856954,1476
1506578856962,1523
1506578856970,1570
1506578856978,1619
1506578856986,1668
1506578856994,1715
1506578857002,1756
1506578857010,1787
1506578857018,1806
1506578857026,1812
1506578857034,1808
1506578857042,1799
1506578857050,1789
1506578857058,1787
1506578857066,1793
1506578857074,1810
1506578857082,1836
1506578857090,1862
1506578857098,1883
1506578857106,1893
1506578857114,1892
1506578857122,1881
1506578857130,1862
1506578857138,1837
1506578857146,1804
1506578857154,1760
1506578857163,1705
1506578857170,1630
1506578857178,1531
1506578857186,1407
1506578857194,1267
1506578857202,1124
1506578857210,996
1506578857218,898
1506578857226,839
1506578857234,826
1506578857242,867
1506578857250,966
1506578857258,1122
1506578857267,1330
1506578857275,1579
1506578857282,1852
1506578857290,2121
1506578857298,2361
1506578857306,2573
1506578857314,2757
1506578857322,2906
1506578857330,3005
1506578857338,3048
1506578857346,3033
1506578857354,2958
1506578857363,2840
1506578857371,2690
1506578857378,2523
1506578857386,2346
1506578857394,2162
1506578857402,1972
1506578857410,1785
1506578857418,1613
1506578857426,1461
1506578857434,1335
1506578857442,1232
1506578857450,1146
1506578857458,1076
1506578857467,1019
1506578857475,977
1506578857483,948
1506578857491,935
1506578857499,934
1506578857507,944
1506578857515,966
1506578857523,999
1506578857531,1039
1506578857539,1081
1506578857547,1120
1506578857555,1157
1506578857563,1192
1506578857571,1229
1506578857579,1270
1506578857587,1316
1506578857595,1369
1506578857603,1427
1506578857611,1490
1506578857619,1557
1506578857627,1619
1506578857635,1676
1506578857643,1725
1506578857651,1765
1506578857659,1796
1506578857667,1818
1506578857675,1829
1506578857683,1834
1506578857691,1830
1506578857699,1821
1506578857707,1803
1506578857715,1779
1506578857723,1751
1506578857731,1721
1506578857739,1692
1506578857747,1660
1506578857755,1625
1506578857763,1588
1506578857771,1548
1506578857779,1509
1506578857787,1471
1506578857795,1439
1506578857803,1415
1506578857811,1401
1506578857819,1396
1506578857827,1396
1506578857835,1391
1506578857843,1365
1506578857851,1306
1506578857859,1215
1506578857867,1106
1506578857875,1004
1506578857883,932
1506578857891,903
1506578857899,918
1506578857908,978
1506578857916,1081
1506578857924,1227
1506578857932,1419
1506578857940,1652
1506578857948,1913
1506578857956,2169
1506578857964,2403
1506578857972,2609
1506578857980,2789
1506578857988,2930
1506578857996,3025
1506578858004,3061
1506578858012,3039
1506578858020,2967
1506578858028,2855
1506578858036,2717
1506578858044,2566
1506578858052,2411
1506578858060,2255
1506578858068,2095
1506578858076,1939
1506578858084,1791
1506578858092,1660
1506578858100,1552
1506578858108,1466
1506578858116,1397
1506578858124,1340
1506578858132,1290
1506578858140,1248
1506578858148,1218
1506578858156,1205
1506578858164,1213
1506578858172,1240
1506578858180,1285
1506578858188,1342
1506578858196,1410
1506578858204,1487
1506578858212,1572
1506578858220,1670
1506578858228,1772
1506578858236,1880
1506578858244,1985
1506578858252,2089
1506578858260,2189
1506578858268,2281
1506578858276,2363
1506578858284,2436
1506578858292,2500
1506578858300,2556
1506578858308,2602
1506578858316,2638
1506578858324,2665
1506578858332,2682
1506578858340,2691
1506578858348,2690
1506578858356,2680
1506578858364,2660
1506578858372,2631
1506578858380,2590
1506578858388,2547
1506578858396,2500
1506578858404,2458
1506578858412,2420
1506578858420,2388
1506578858428,2359
1506578858436,2335
1506578858444,2318
1506578858452,2308
1506578858460,2304
1506578858468,2308
1506578858476,2325
1506578858484,2348
1506578858492,2368
1506578858500,2375
1506578858508,2353
1506578858516,2296
1506578858524,2207
1506578858532,2100
1506578858540,2004
1506578858548,1937
1506578858556,1909
1506578858564,1919
1506578858572,1965
1506578858580,2049
1506578858588,2170
1506578858596,2328
1506578858604,2514
1506578858612,2702
1506578858620,2871
1506578858629,3018
1506578858636,3145
1506578858645,3256
1506578858653,3352
1506578858661,3435
1506578858669,3490
1506578858677,3500
1506578858685,3449
1506578858693,3347
1506578858701,3210
1506578858709,3051
1506578858717,2883
1506578858725,2711
1506578858733,2539
1506578858741,2374
1506578858749,2222
1506578858757,2088
1506578858765,1980
1506578858773,1902
1506578858781,1850
1506578858789,1819
1506578858797,1800
1506578858805,1789
1506578858813,1786
1506578858821,1793
1506578858829,1807
1506578858837,1828
1506578858845,1853
1506578858853,1879
1506578858861,1907
1506578858869,1934
1506578858877,1959
1506578858885,1979
1506578858893,1994
1506578858901,2006
1506578858909,2016
1506578858917,2028
1506578858925,2043
1506578858933,2063
1506578858941,2091
1506578858949,2127
1506578858957,2175
1506578858965,2232
1506578858973,2299
1506578858981,2369
1506578858989,2438
1506578858997,2500
1506578859005,2550
1506578859013,2585
1506578859021,2601
1506578859029,2598
1506578859037,2577
1506578859045,2541
1506578859053,2491
1506578859061,2429
1506578859069,2360
1506578859077,2286
1506578859085,2209
1506578859093,2132
1506578859101,2061
1506578859109,1997
1506578859117,1940
1506578859125,1886
1506578859133,1830
1506578859141,1773
1506578859149,1717
1506578859157,1669
1506578859165,1632
1506578859173,1607
1506578859181,1593
1506578859189,1583
1506578859197,1566
1506578859205,1528
1506578859213,1457
1506578859221,1352
1506578859229,1223
