time,value
1506578856565,423
1506578856573,430
1506578856581,437
1506578856590,453
1506578856598,479
1506578856606,508
1506578856614,552
1506578856622,601
1506578856631,653
1506578856639,709
1506578856647,756
1506578856655,803
1506578856663,836
1506578856671,858
1506578856680,871
1506578856688,865
1506578856696,854
1506578856700,829
1506578856708,795
1506578856716,759
1506578856725,715
1506578856733,673
1506578856741,629
1506578856749,586
1506578856757,551
1506578856766,515
1506578856774,488
1506578856782,462
1506578856790,441
1506578856798,428
1506578856806,413
1506578856815,407
1506578856823,401
1506578856831,399
1506578856839,402
1506578856848,402
1506578856855,412
1506578856860,418
1506578856868,427
1506578856876,440
1506578856884,448
1506578856893,460
1506578856901,469
1506578856909,477
1506578856917,484
1506578856925,485
1506578856933,489
1506578856942,488
1506578856950,484
1506578856958,483
1506578856966,475
1506578856974,469
1506578856983,462
1506578856991,451
1506578856999,446
1506578857007,433
1506578857015,428
1506578857019,420
1506578857028,412
1506578857036,410
1506578857044,402
1506578857052,400
1506578857060,397
1506578857069,393
1506578857077,395
1506578857085,393
1506578857093,395
1506578857101,396
1506578857109,396
1506578857118,399
1506578857126,399
1506578857134,404
1506578857142,407
1506578857150,408
1506578857159,413
1506578857167,412
1506578857175,415
1506578857179,417
1506578857187,417
1506578857195,419
1506578857204,417
1506578857212,419
1506578857220,418
1506578857228,416
1506578857236,420
1506578857244,420
1506578857253,430
1506578857261,444
1506578857270,463
1506578857277,497
1506578857285,532
1506578857293,580
1506578857302,631
1506578857310,681
1506578857318,732
1506578857326,773
1506578857334,810
1506578857339,833
1506578857347,842
1506578857355,846
1506578857364,830
1506578857372,808
1506578857379,777
1506578857388,738
1506578857396,699
1506578857404,653
1506578857412,611
1506578857420,570
1506578857429,529
1506578857437,498
1506578857445,465
1506578857453,441
1506578857462,422
1506578857470,403
1506578857478,395
1506578857486,385
1506578857495,383
1506578857499,385
1506578857507,387
1506578857515,398
1506578857523,404
1506578857531,417
1506578857540,431
1506578857548,443
1506578857556,459
1506578857564,467
1506578857572,478
1506578857581,487
1506578857589,491
1506578857597,497
1506578857605,495
1506578857613,496
1506578857621,493
1506578857630,485
1506578857638,483
1506578857646,472
1506578857654,466
1506578857659,460
1506578857667,448
1506578857675,441
1506578857683,430
1506578857691,421
1506578857699,415
1506578857708,408
1506578857716,405
1506578857724,399
1506578857732,398
1506578857740,397
1506578857748,393
1506578857757,398
1506578857765,396
1506578857773,398
1506578857781,400
1506578857789,400
1506578857797,406
1506578857806,406
1506578857814,411
1506578857822,413
1506578857826,414
1506578857834,419
1506578857843,419
1506578857851,423
1506578857859,425
1506578857867,424
1506578857875,427
1506578857883,425
1506578857892,427
1506578857900,427
1506578857908,425
1506578857917,429
1506578857925,431
1506578857933,442
1506578857941,457
1506578857950,478
1506578857958,513
1506578857966,551
1506578857974,598
1506578857982,649
1506578857986,696
1506578857994,745
1506578858003,783
1506578858011,813
1506578858019,832
1506578858027,836
1506578858036,835
1506578858044,815
1506578858052,790
1506578858060,757
1506578858068,715
1506578858076,675
1506578858084,628
1506578858093,585
1506578858101,544
1506578858109,504
1506578858117,472
1506578858125,440
1506578858134,418
1506578858142,400
1506578858146,384
1506578858154,379
1506578858162,373
1506578858170,375
1506578858179,381
1506578858187,387
1506578858195,402
1506578858203,414
1506578858211,430
1506578858220,447
1506578858228,460
1506578858236,477
1506578858244,486
1506578858252,499
1506578858260,507
1506578858269,510
1506578858277,515
1506578858285,512
1506578858293,510
1506578858301,505
1506578858305,496
1506578858314,491
1506578858322,479
1506578858330,470
1506578858338,461
1506578858346,448
1506578858355,443
1506578858363,432
1506578858371,424
1506578858379,419
1506578858388,412
1506578858396,409
1506578858404,405
1506578858412,404
1506578858420,405
1506578858428,402
1506578858436,406
1506578858445,406
1506578858453,408
1506578858461,413
1506578858465,413
1506578858473,419
1506578858481,419
1506578858490,422
1506578858498,426
1506578858506,425
1506578858514,429
1506578858522,427
1506578858531,429
1506578858539,431
1506578858547,427
1506578858555,430
1506578858563,427
1506578858572,428
1506578858580,432
1506578858588,435
1506578858597,448
1506578858605,463
1506578858613,489
1506578858621,523
1506578858625,561
1506578858633,611
1506578858642,659
1506578858650,709
1506578858658,755
1506578858666,789
1506578858674,820
1506578858682,835
1506578858691,840
1506578858699,834
1506578858707,815
1506578858715,791
1506578858723,754
1506578858732,717
1506578858740,677
1506578858748,632
1506578858756,593
1506578858764,552
1506578858773,516
1506578858781,486
1506578858785,455
1506578858793,436
1506578858801,416
1506578858809,404
1506578858818,396
1506578858826,390
1506578858834,393
1506578858842,394
1506578858850,400
1506578858859,411
1506578858867,419
1506578858875,434
1506578858883,445
1506578858891,458
1506578858899,472
1506578858908,479
1506578858916,491
1506578858924,496
1506578858932,501
1506578858940,505
1506578858944,501
1506578858953,502
1506578858961,497
1506578858969,490
1506578858977,484
1506578858985,473
1506578858994,466
1506578859002,456
1506578859010,447
1506578859018,440
1506578859026,430
1506578859035,425
1506578859043,416
1506578859051,413
1506578859059,411
1506578859068,404
1506578859075,405
1506578859084,402
1506578859092,402
1506578859100,404
1506578859104,402
1506578859112,406
1506578859120,407
1506578859129,408
1506578859137,413
1506578859145,412
1506578859153,419
1506578859161,419
1506578859170,422
1506578859178,427
1506578859186,426
1506578859194,431
1506578859202,430
1506578859211,431
1506578859219,434
1506578859227,432
1506578859235,435
1506578859243,432
1506578859252,431
1506578859260,432
1506578859268,429
1506578859272,433
1506578859280,434
1506578859289,442
1506578859296,458
1506578859305,476
1506578859313,509
1506578859322,546
1506578859330,592
1506578859338,644
1506578859346,692
1506578859354,746
1506578859362,789
1506578859371,823
1506578859379,851
1506578859387,860
1506578859395,863
1506578859403,851
1506578859412,829
1506578859420,802
1506578859428,762
1506578859432,724
1506578859440,680
1506578859449,636
1506578859457,596
1506578859465,554
1506578859473,522
1506578859481,491
1506578859489,465
1506578859497,447
1506578859506,428
1506578859514,419
1506578859522,411
1506578859530,407
1506578859538,408
1506578859547,408
1506578859555,416
1506578859563,423
1506578859571,431
1506578859579,446
1506578859587,452
1506578859592,466
1506578859600,475
1506578859608,484
1506578859616,494
1506578859624,497
1506578859632,504
1506578859641,504
1506578859649,503
1506578859657,502
1506578859665,494
1506578859673,492
1506578859682,484
1506578859690,475
1506578859698,469
1506578859706,456
1506578859714,451
1506578859722,442
1506578859731,433
1506578859739,428
1506578859747,421
