time,value
1506576487219,59
1506576487227,71
1506576487235,144
1506576487243,295
1506576487251,520
1506576487259,807
1506576487267,1142
1506576487275,1480
1506576487283,1797
1506576487291,2075
1506576487299,2315
1506576487307,2526
1506576487315,2710
1506576487323,2872
1506576487331,3014
1506576487339,3138
1506576487347,3245
1506576487355,3341
1506576487363,3424
1506576487371,3496
1506576487379,3561
1506576487387,3617
1506576487395,3665
1506576487403,3709
1506576487411,3747
1506576487419,3780
1506576487427,3810
1506576487435,3834
1506576487443,3857
1506576487451,3877
1506576487459,3894
1506576487467,3910
1506576487475,3922
1506576487483,3935
1506576487491,3944
1506576487499,3954
1506576487507,3940
1506576487515,3893
1506576487523,3801
1506576487531,3678
1506576487539,3529
1506576487547,3351
1506576487555,3130
1506576487563,2854
1506576487572,2539
1506576487580,2231
1506576487587,1956
1506576487596,1714
1506576487604,1501
1506576487612,1316
1506576487620,1153
1506576487628,1011
1506576487636,887
1506576487644,778
1506576487652,682
1506576487660,598
1506576487668,526
1506576487676,461
1506576487684,405
1506576487692,356
1506576487700,313
1506576487708,276
1506576487716,243
1506576487724,215
1506576487732,200
1506576487740,227
1506576487748,319
1506576487756,481
1506576487764,695
1506576487772,940
1506576487780,1195
1506576487788,1451
1506576487796,1710
1506576487804,1972
1506576487812,2218
1506576487820,2440
1506576487828,2632
1506576487836,2778
1506576487844,2849
1506576487852,2851
1506576487860,2816
1506576487868,2782
1506576487876,2797
1506576487884,2887
1506576487892,3014
1506576487900,3138
1506576487908,3247
1506576487916,3342
1506576487924,3426
1506576487932,3499
1506576487940,3563
1506576487948,3619
1506576487956,3668
1506576487964,3711
1506576487972,3750
1506576487980,3783
1506576487988,3812
1506576487996,3837
1506576488004,3860
1506576488012,3879
1506576488020,3896
1506576488028,3912
1506576488036,3924
1506576488044,3936
1506576488052,3946
1506576488060,3956
1506576488068,3963
1506576488076,3970
1506576488084,3976
1506576488092,3982
1506576488100,3986
1506576488108,3990
1506576488116,3994
1506576488124,3997
1506576488132,4000
1506576488140,4003
1506576488148,4005
1506576488156,4007
1506576488164,4009
1506576488172,4010
1506576488180,4011
1506576488188,4012
1506576488196,4013
1506576488204,4014
1506576488212,4016
1506576488220,4016
1506576488228,4017
1506576488236,4017
1506576488244,4018
1506576488252,4018
1506576488260,4019
1506576488268,4019
1506576488276,4019
1506576488284,3985
1506576488292,3897
1506576488300,3746
1506576488308,3545
1506576488316,3310
1506576488324,3051
1506576488332,2776
1506576488340,2494
1506576488348,2214
1506576488356,1945
1506576488364,1705
1506576488372,1494
1506576488380,1310
1506576488388,1149
