time,value
1506578156583,2303
1506578156591,2324
1506578156599,2332
1506578156607,2338
1506578156615,2345
1506578156623,2355
1506578156631,2368
1506578156639,2387
1506578156647,2412
1506578156655,2441
1506578156663,2479
1506578156671,2522
1506578156679,2569
1506578156687,2619
1506578156695,2670
1506578156703,2721
1506578156711,2766
1506578156719,2804
1506578156727,2834
1506578156735,2852
1506578156743,2860
1506578156751,2854
1506578156759,2832
1506578156767,2798
1506578156775,2752
1506578156783,2695
1506578156792,2636
1506578156800,2572
1506578156808,2507
1506578156816,2441
1506578156823,2379
1506578156831,2321
1506578156840,2273
1506578156848,2234
1506578156855,2205
1506578156864,2188
1506578156872,2182
1506578156880,2186
1506578156888,2199
1506578156896,2214
1506578156904,2226
1506578156912,2238
1506578156920,2251
1506578156928,2266
1506578156936,2285
1506578156944,2312
1506578156952,2347
1506578156960,2386
1506578156968,2422
1506578156976,2444
1506578156984,2451
1506578156992,2435
1506578157000,2401
1506578157008,2348
1506578157016,2288
1506578157024,2227
1506578157032,2178
1506578157040,2149
1506578157048,2149
1506578157056,2182
1506578157064,2246
1506578157072,2333
1506578157080,2435
1506578157088,2541
1506578157096,2642
1506578157104,2730
1506578157112,2796
1506578157120,2836
1506578157128,2845
1506578157136,2824
1506578157144,2776
1506578157152,2701
1506578157160,2609
1506578157168,2505
1506578157176,2395
1506578157184,2287
1506578157192,2185
1506578157200,2097
1506578157208,2025
1506578157216,1972
1506578157224,1936
1506578157232,1913
1506578157240,1901
1506578157248,1893
1506578157256,1886
1506578157264,1876
1506578157272,1861
1506578157280,1836
1506578157288,1804
1506578157296,1766
1506578157304,1723
1506578157312,1678
1506578157320,1634
1506578157328,1591
1506578157336,1552
1506578157344,1519
1506578157352,1493
1506578157360,1475
1506578157368,1461
1506578157376,1453
1506578157384,1452
1506578157392,1460
1506578157400,1476
1506578157408,1500
1506578157416,1532
1506578157424,1573
1506578157432,1618
1506578157440,1665
1506578157448,1712
1506578157456,1755
1506578157464,1795
1506578157472,1823
1506578157480,1843
1506578157488,1855
1506578157496,1861
1506578157504,1867
1506578157512,1872
1506578157520,1879
1506578157528,1888
1506578157536,1901
1506578157544,1920
1506578157552,1944
1506578157560,1973
1506578157568,2009
1506578157576,2046
1506578157584,2082
1506578157592,2116
1506578157600,2149
1506578157608,2177
1506578157616,2197
1506578157624,2211
1506578157632,2216
1506578157640,2216
1506578157648,2212
1506578157656,2206
1506578157664,2201
1506578157672,2194
1506578157680,2186
1506578157688,2178
1506578157697,2168
1506578157705,2156
1506578157713,2144
1506578157721,2131
1506578157729,2119
1506578157737,2112
1506578157745,2107
1506578157753,2107
1506578157761,2112
1506578157769,2120
1506578157777,2133
1506578157785,2151
1506578157793,2171
1506578157801,2190
1506578157809,2213
1506578157817,2232
1506578157825,2251
1506578157833,2266
1506578157841,2278
1506578157849,2286
1506578157857,2292
1506578157865,2295
1506578157872,2299
1506578157881,2301
1506578157889,2304
1506578157897,2302
1506578157905,2296
1506578157913,2283
1506578157921,2273
1506578157929,2269
1506578157937,2271
1506578157945,2283
1506578157953,2300
1506578157961,2318
1506578157969,2326
1506578157977,2322
1506578157985,2300
1506578157993,2263
1506578158001,2209
1506578158009,2142
1506578158017,2065
1506578158025,1990
1506578158033,1924
1506578158041,1877
1506578158049,1859
1506578158057,1873
1506578158065,1915
1506578158073,1980
1506578158081,2060
1506578158089,2146
1506578158097,2231
1506578158105,2301
1506578158113,2354
1506578158121,2383
1506578158129,2388
1506578158137,2373
1506578158145,2338
1506578158153,2289
1506578158161,2228
1506578158169,2159
1506578158177,2084
1506578158185,2006
1506578158193,1928
1506578158201,1856
1506578158209,1792
1506578158217,1740
1506578158225,1701
1506578158233,1674
1506578158241,1658
1506578158249,1653
1506578158257,1652
1506578158265,1653
1506578158273,1652
1506578158281,1647
1506578158289,1638
1506578158297,1625
1506578158305,1610
1506578158313,1591
1506578158321,1570
1506578158329,1546
1506578158337,1518
1506578158345,1492
1506578158353,1468
1506578158362,1448
1506578158370,1436
1506578158378,1432
1506578158386,1438
1506578158394,1459
1506578158402,1493
1506578158410,1539
1506578158418,1592
1506578158426,1650
1506578158434,1709
1506578158442,1765
1506578158450,1817
1506578158458,1860
1506578158466,1893
1506578158474,1917
1506578158482,1931
1506578158490,1935
1506578158498,1932
1506578158506,1927
1506578158514,1920
1506578158522,1917
1506578158530,1923
1506578158538,1936
1506578158546,1960
1506578158554,1996
1506578158562,2040
1506578158570,2090
1506578158578,2144
1506578158586,2193
1506578158594,2235
1506578158602,2269
1506578158610,2291
1506578158618,2300
1506578158626,2299
1506578158634,2285
1506578158642,2263
1506578158650,2233
1506578158658,2195
1506578158666,2153
1506578158674,2108
1506578158682,2064
1506578158690,2025
1506578158698,1995
1506578158706,1976
1506578158714,1966
1506578158722,1970
1506578158730,1984
1506578158738,2010
1506578158746,2046
1506578158754,2086
1506578158762,2128
1506578158770,2167
1506578158778,2202
1506578158786,2227
1506578158794,2245
1506578158802,2252
1506578158810,2245
1506578158818,2226
1506578158826,2195
1506578158834,2152
1506578158842,2102
1506578158850,2047
1506578158858,1988
1506578158866,1933
1506578158874,1885
1506578158882,1849
1506578158890,1827
1506578158898,1817
1506578158906,1821
1506578158914,1840
1506578158922,1873
1506578158930,1918
1506578158938,1971
1506578158946,2024
1506578158954,2075
1506578158962,2118
1506578158970,2152
1506578158978,2177
1506578158986,2193
1506578158994,2205
1506578159002,2213
1506578159010,2215
1506578159019,2204
1506578159026,2178
1506578159034,2131
1506578159042,2065
1506578159050,1979
1506578159058,1880
1506578159066,1777
1506578159074,1681
1506578159082,1605
1506578159090,1560
1506578159098,1554
1506578159106,1591
1506578159114,1667
1506578159122,1775
1506578159130,1909
1506578159138,2056
1506578159146,2206
