time,value
1506578156582,486
1506578156590,477
1506578156599,473
1506578156607,471
1506578156616,462
1506578156624,462
1506578156632,456
1506578156640,454
1506578156648,453
1506578156656,448
1506578156664,450
1506578156672,445
1506578156677,446
1506578156685,449
1506578156693,445
1506578156701,450
1506578156710,447
1506578156718,449
1506578156726,454
1506578156734,452
1506578156742,459
1506578156750,458
1506578156759,462
1506578156767,466
1506578156775,464
1506578156783,472
1506578156791,469
1506578156800,471
1506578156808,474
1506578156816,470
1506578156824,473
1506578156832,470
1506578156837,470
1506578156845,471
1506578156853,466
1506578156861,469
1506578156869,465
1506578156877,465
1506578156885,468
1506578156894,462
1506578156902,465
1506578156910,461
1506578156918,461
1506578156926,462
1506578156935,457
1506578156943,461
1506578156951,457
1506578156959,457
1506578156967,459
1506578156976,454
1506578156984,459
1506578156992,456
1506578156997,456
1506578157005,459
1506578157013,454
1506578157021,459
1506578157029,457
1506578157038,458
1506578157046,462
1506578157054,463
1506578157062,476
1506578157070,487
1506578157078,508
1506578157087,537
1506578157095,565
1506578157103,605
1506578157111,640
1506578157119,676
1506578157128,712
1506578157136,736
1506578157144,761
1506578157152,772
1506578157156,778
1506578157164,777
1506578157172,763
1506578157181,752
1506578157189,728
1506578157197,704
1506578157205,681
1506578157213,650
1506578157222,628
1506578157230,602
1506578157238,581
1506578157246,565
1506578157254,545
1506578157262,536
1506578157271,521
1506578157279,510
1506578157287,502
1506578157295,488
1506578157304,483
1506578157312,472
1506578157316,465
1506578157324,463
1506578157332,457
1506578157340,461
1506578157348,460
1506578157357,463
1506578157365,470
1506578157373,470
1506578157381,479
1506578157389,481
1506578157398,486
1506578157406,491
1506578157414,489
1506578157422,493
1506578157430,490
1506578157439,488
1506578157447,488
1506578157455,481
1506578157463,480
1506578157471,474
1506578157475,469
1506578157484,467
1506578157492,459
1506578157500,459
1506578157508,452
1506578157516,448
1506578157524,447
1506578157533,440
1506578157541,444
1506578157549,440
1506578157557,438
1506578157565,441
1506578157574,438
1506578157582,443
1506578157590,442
1506578157598,444
1506578157606,449
1506578157614,446
1506578157623,453
1506578157631,453
1506578157639,454
1506578157643,460
1506578157651,457
1506578157659,463
1506578157668,462
1506578157676,462
1506578157684,466
1506578157693,463
1506578157701,467
1506578157709,464
1506578157718,463
1506578157726,467
1506578157734,461
1506578157742,466
1506578157750,462
1506578157758,459
1506578157766,461
1506578157775,455
1506578157783,457
1506578157791,454
1506578157799,452
1506578157803,454
1506578157811,449
1506578157820,452
1506578157828,449
1506578157836,448
1506578157844,451
1506578157852,447
1506578157861,451
1506578157868,451
1506578157877,452
1506578157885,456
1506578157893,453
1506578157901,458
1506578157909,459
1506578157918,459
1506578157926,463
1506578157934,460
1506578157942,465
1506578157951,463
1506578157959,462
1506578157963,466
1506578157971,461
1506578157979,464
1506578157987,462
1506578157995,460
1506578158003,462
1506578158011,458
1506578158020,460
1506578158028,459
1506578158036,460
1506578158044,468
1506578158053,472
1506578158061,489
1506578158069,509
1506578158077,535
1506578158085,572
1506578158093,609
1506578158102,655
1506578158110,696
1506578158118,735
1506578158122,772
1506578158130,795
1506578158138,815
1506578158147,823
1506578158155,821
1506578158163,816
1506578158171,796
1506578158179,777
1506578158188,751
1506578158196,721
1506578158204,696
1506578158212,664
1506578158220,640
1506578158228,614
1506578158237,591
1506578158245,577
1506578158253,558
1506578158262,548
1506578158270,536
1506578158278,524
1506578158282,517
1506578158290,504
1506578158298,498
1506578158307,489
1506578158315,483
1506578158323,482
1506578158331,474
1506578158339,476
1506578158348,476
1506578158356,475
1506578158364,483
1506578158373,481
1506578158381,489
1506578158389,491
1506578158397,493
1506578158405,498
1506578158414,495
1506578158422,499
1506578158430,497
1506578158438,492
1506578158442,492
1506578158450,484
1506578158459,483
1506578158467,478
1506578158475,471
1506578158483,469
1506578158491,460
1506578158499,458
1506578158508,454
1506578158516,450
1506578158524,451
1506578158532,445
1506578158540,446
1506578158549,445
1506578158557,443
1506578158565,446
1506578158573,442
1506578158581,446
1506578158589,446
1506578158598,446
1506578158602,452
1506578158610,449
1506578158618,455
1506578158626,456
1506578158634,456
1506578158643,462
1506578158651,459
1506578158659,464
1506578158667,465
1506578158676,464
1506578158684,468
1506578158692,465
1506578158700,468
1506578158708,467
1506578158716,465
1506578158725,469
1506578158733,464
1506578158741,465
1506578158749,463
1506578158758,460
1506578158762,462
1506578158770,457
1506578158778,458
1506578158786,456
1506578158794,454
1506578158803,456
1506578158811,450
1506578158819,453
1506578158827,451
1506578158835,448
1506578158844,451
1506578158852,446
1506578158859,448
1506578158868,449
1506578158876,447
1506578158884,451
1506578158892,448
1506578158900,452
1506578158909,452
1506578158917,451
1506578158921,456
1506578158929,453
1506578158938,456
1506578158946,457
1506578158954,455
1506578158962,459
1506578158970,455
1506578158978,458
1506578158986,459
1506578158994,457
1506578159003,461
1506578159011,458
1506578159019,462
1506578159027,461
1506578159035,459
1506578159044,462
1506578159052,458
1506578159060,460
1506578159068,460
1506578159076,458
1506578159081,462
1506578159089,461
1506578159097,468
1506578159105,477
1506578159113,490
1506578159121,515
1506578159130,540
1506578159138,580
1506578159147,622
1506578159155,663
1506578159162,711
1506578159171,749
1506578159179,786
1506578159187,813
1506578159195,828
