time,value
1506578454025,617
1506578454033,634
1506578454041,655
1506578454050,669
1506578454058,678
1506578454066,687
1506578454074,683
1506578454082,681
1506578454091,671
1506578454095,656
1506578454103,644
1506578454111,620
1506578454119,602
1506578454127,581
1506578454136,558
1506578454144,542
1506578454152,519
1506578454160,506
1506578454168,492
1506578454177,478
1506578454185,473
1506578454193,463
1506578454201,462
1506578454210,459
1506578454218,458
1506578454226,463
1506578454234,461
1506578454242,465
1506578454250,467
1506578454254,468
1506578454263,478
1506578454271,476
1506578454279,481
1506578454287,483
1506578454295,484
1506578454303,490
1506578454312,490
1506578454320,496
1506578454328,498
1506578454336,499
1506578454344,505
1506578454353,504
1506578454361,509
1506578454369,511
1506578454377,509
1506578454385,512
1506578454394,508
1506578454402,508
1506578454410,507
1506578454414,502
1506578454422,502
1506578454430,495
1506578454439,493
1506578454447,489
1506578454455,482
1506578454463,483
1506578454471,475
1506578454480,474
1506578454488,472
1506578454496,466
1506578454504,468
1506578454512,464
1506578454520,465
1506578454529,466
1506578454537,465
1506578454545,471
1506578454554,468
1506578454562,473
1506578454570,476
1506578454578,474
1506578454582,481
1506578454590,479
1506578454599,483
1506578454607,485
1506578454615,484
1506578454623,489
1506578454631,487
1506578454640,490
1506578454648,491
1506578454656,489
1506578454664,494
1506578454672,490
1506578454681,492
1506578454689,492
1506578454697,489
1506578454705,493
1506578454713,488
1506578454722,489
1506578454730,489
1506578454738,486
1506578454742,489
1506578454750,484
1506578454759,485
1506578454766,485
1506578454775,480
1506578454783,483
1506578454791,477
1506578454799,477
1506578454807,477
1506578454816,474
1506578454824,476
1506578454832,472
1506578454840,474
1506578454848,475
1506578454857,475
1506578454865,485
1506578454873,490
1506578454881,504
1506578454889,521
1506578454897,536
1506578454902,558
1506578454910,578
1506578454918,600
1506578454926,621
1506578454934,636
1506578454942,654
1506578454951,661
1506578454959,668
1506578454967,671
1506578454975,664
1506578454983,659
1506578454992,644
1506578455000,630
1506578455008,613
1506578455016,591
1506578455024,573
1506578455032,550
1506578455041,530
1506578455049,513
1506578455057,493
1506578455061,484
1506578455069,468
1506578455078,460
1506578455086,456
1506578455094,449
1506578455102,449
1506578455110,446
1506578455118,446
1506578455127,447
1506578455135,446
1506578455143,452
1506578455152,452
1506578455160,457
1506578455168,463
1506578455176,463
1506578455184,472
1506578455193,476
1506578455201,481
1506578455209,488
1506578455217,490
1506578455221,498
1506578455229,500
1506578455238,505
1506578455246,509
1506578455254,509
1506578455262,513
1506578455270,511
1506578455278,512
1506578455287,514
1506578455295,508
1506578455303,508
1506578455311,503
1506578455319,499
1506578455328,496
1506578455336,489
1506578455344,488
1506578455352,480
1506578455360,476
1506578455368,473
1506578455377,465
1506578455381,465
1506578455389,461
1506578455397,458
1506578455405,458
1506578455413,454
1506578455422,456
1506578455430,454
1506578455438,455
1506578455446,458
1506578455454,457
1506578455463,463
1506578455471,463
1506578455479,465
1506578455487,470
1506578455495,469
1506578455504,475
1506578455512,476
1506578455520,478
1506578455528,483
1506578455536,482
1506578455540,486
1506578455549,486
1506578455557,488
1506578455565,490
1506578455573,487
1506578455581,490
1506578455589,488
1506578455598,488
1506578455606,489
1506578455614,485
1506578455622,486
1506578455630,485
1506578455639,485
1506578455647,486
1506578455655,482
1506578455663,486
1506578455671,483
1506578455680,482
1506578455688,483
1506578455696,479
1506578455700,481
1506578455708,478
1506578455716,477
1506578455725,478
1506578455733,474
1506578455741,477
1506578455749,476
1506578455757,480
1506578455765,488
1506578455774,493
1506578455782,508
1506578455790,523
1506578455799,542
1506578455807,565
1506578455815,585
1506578455823,609
1506578455831,629
1506578455840,649
1506578455848,668
1506578455856,676
1506578455860,686
1506578455868,686
1506578455877,682
1506578455885,676
1506578455893,661
1506578455901,649
1506578455909,628
1506578455917,607
1506578455926,588
1506578455934,564
1506578455942,547
1506578455950,526
1506578455958,509
1506578455967,497
1506578455975,481
1506578455983,474
1506578455991,466
1506578455999,461
1506578456008,462
1506578456016,457
1506578456020,461
1506578456028,461
1506578456036,462
1506578456045,467
1506578456053,466
1506578456061,473
1506578456069,474
1506578456077,476
1506578456085,483
1506578456093,482
1506578456102,489
1506578456110,492
1506578456118,495
1506578456126,500
1506578456134,499
1506578456143,505
1506578456151,506
1506578456159,508
1506578456167,512
1506578456175,509
1506578456183,512
1506578456188,510
1506578456196,506
1506578456204,507
1506578456212,500
1506578456220,500
1506578456229,495
1506578456237,490
1506578456245,488
1506578456253,481
1506578456261,480
1506578456269,475
1506578456278,471
1506578456286,471
1506578456294,464
1506578456302,465
1506578456310,463
1506578456319,461
1506578456327,464
1506578456335,461
1506578456343,464
1506578456347,464
1506578456356,465
1506578456364,470
1506578456372,468
1506578456380,474
1506578456388,475
1506578456397,476
1506578456405,482
1506578456413,481
1506578456421,486
1506578456429,487
1506578456438,488
1506578456446,492
1506578456454,489
1506578456462,492
1506578456470,492
1506578456479,491
1506578456487,494
1506578456495,490
1506578456503,492
1506578456507,491
