time,value
1506653328159,374
1506653328167,378
1506653328176,383
1506653328184,385
1506653328192,401
1506653328200,413
1506653328209,439
1506653328217,473
1506653328226,508
1506653328234,559
1506653328242,604
1506653328250,657
1506653328254,709
1506653328262,750
1506653328271,796
1506653328279,823
1506653328287,846
1506653328295,861
1506653328304,860
1506653328312,859
1506653328320,842
1506653328328,822
1506653328336,799
1506653328344,764
1506653328353,737
1506653328361,701
1506653328369,668
1506653328377,638
1506653328385,603
1506653328393,579
1506653328402,549
1506653328410,527
1506653328418,506
1506653328422,482
1506653328430,469
1506653328438,449
1506653328447,438
1506653328454,429
1506653328463,417
1506653328471,417
1506653328479,408
1506653328487,409
1506653328495,413
1506653328503,412
1506653328511,421
1506653328520,424
1506653328528,431
1506653328536,440
1506653328544,443
1506653328553,455
1506653328561,456
1506653328569,461
1506653328577,466
1506653328581,462
1506653328590,468
1506653328598,462
1506653328606,459
1506653328614,457
1506653328622,447
1506653328631,446
1506653328639,437
1506653328647,431
1506653328655,427
1506653328663,417
1506653328672,417
1506653328679,409
1506653328687,405
1506653328696,404
1506653328704,397
1506653328712,400
1506653328720,396
1506653328729,396
1506653328737,398
1506653328742,393
1506653328750,400
1506653328758,396
1506653328766,398
1506653328774,402
1506653328783,398
1506653328791,405
1506653328799,403
1506653328807,404
1506653328815,407
1506653328823,402
1506653328832,408
1506653328840,406
1506653328848,406
1506653328856,409
1506653328864,405
1506653328872,410
1506653328881,407
1506653328889,406
1506653328897,409
1506653328901,404
1506653328909,408
1506653328918,404
1506653328926,403
1506653328934,405
1506653328942,399
1506653328950,402
1506653328959,397
1506653328967,397
1506653328975,397
1506653328983,393
1506653328991,400
1506653329000,403
1506653329008,413
1506653329016,433
1506653329024,453
1506653329032,489
1506653329041,526
1506653329049,570
1506653329056,621
1506653329061,667
1506653329069,720
1506653329077,762
1506653329086,799
1506653329094,832
1506653329102,848
1506653329110,862
1506653329118,861
1506653329126,853
1506653329134,840
1506653329142,815
1506653329150,793
1506653329158,760
1506653329167,728
1506653329175,699
1506653329183,661
1506653329191,635
1506653329199,605
1506653329207,576
1506653329215,555
1506653329220,529
1506653329228,512
1506653329236,492
1506653329245,476
1506653329253,465
1506653329261,450
1506653329269,447
1506653329277,439
1506653329286,435
1506653329294,437
1506653329302,433
1506653329310,439
1506653329318,441
1506653329326,446
1506653329335,454
1506653329343,457
1506653329351,467
1506653329359,470
1506653329368,474
1506653329375,480
1506653329380,478
1506653329388,483
1506653329396,481
1506653329405,479
1506653329413,478
1506653329421,469
1506653329430,467
1506653329438,458
1506653329446,451
1506653329453,448
1506653329462,436
1506653329470,435
1506653329478,427
1506653329486,420
1506653329494,419
1506653329503,411
1506653329512,411
1506653329520,406
1506653329528,403
1506653329536,405
1506653329541,399
1506653329548,402
1506653329557,401
1506653329565,399
1506653329573,403
1506653329581,401
1506653329589,405
1506653329597,404
1506653329605,405
1506653329613,409
1506653329622,405
1506653329630,411
1506653329638,410
1506653329646,409
1506653329654,414
1506653329662,410
1506653329670,413
1506653329678,412
1506653329687,411
1506653329695,415
1506653329699,410
1506653329707,415
1506653329715,413
1506653329724,411
1506653329733,414
1506653329741,407
1506653329748,411
1506653329757,407
1506653329765,403
1506653329773,406
1506653329781,401
1506653329789,406
1506653329797,409
1506653329806,418
1506653329815,438
1506653329823,455
1506653329831,489
1506653329839,524
1506653329847,563
1506653329855,613
1506653329859,657
1506653329867,705
1506653329876,748
1506653329885,783
1506653329893,816
1506653329901,834
1506653329909,850
1506653329917,853
1506653329926,846
1506653329934,837
1506653329942,814
1506653329950,791
1506653329958,763
1506653329966,731
1506653329974,703
1506653329982,667
1506653329991,639
1506653329999,609
1506653330007,580
1506653330015,560
1506653330019,533
1506653330027,515
1506653330036,495
1506653330044,476
1506653330052,466
1506653330061,450
1506653330070,444
1506653330078,438
1506653330085,432
1506653330094,434
1506653330102,431
1506653330110,437
1506653330118,442
1506653330126,446
1506653330134,458
1506653330142,460
1506653330150,470
1506653330158,476
1506653330167,478
1506653330175,485
1506653330179,485
1506653330187,489
1506653330196,488
1506653330204,484
1506653330212,485
1506653330220,477
1506653330228,475
1506653330237,469
1506653330244,461
1506653330254,458
1506653330262,448
1506653330269,443
1506653330278,437
1506653330286,429
1506653330294,429
1506653330302,420
1506653330310,420
1506653330318,417
1506653330326,412
1506653330335,415
1506653330343,408
1506653330347,409
1506653330355,409
1506653330363,405
1506653330371,409
1506653330379,405
1506653330388,407
1506653330396,407
1506653330404,405
1506653330413,411
1506653330421,406
1506653330429,411
1506653330438,412
1506653330446,409
1506653330453,414
1506653330462,412
1506653330469,413
1506653330478,415
1506653330486,413
1506653330494,417
1506653330502,414
1506653330507,416
1506653330515,416
1506653330523,413
1506653330531,416
1506653330540,412
1506653330548,413
1506653330556,412
1506653330564,409
1506653330573,413
1506653330581,410
1506653330589,417
1506653330598,425
1506653330605,437
1506653330613,462
1506653330622,486
1506653330631,522
1506653330638,562
1506653330646,602
1506653330654,651
1506653330662,692
1506653330666,735
1506653330675,772
1506653330683,799
1506653330691,825
1506653330699,835
1506653330707,843
1506653330715,841
1506653330724,828
1506653330732,817
1506653330740,792
1506653330748,768
1506653330757,740
1506653330765,707
1506653330774,681
1506653330781,648
1506653330789,622
1506653330797,596
1506653330806,569
1506653330814,550
1506653330822,525
1506653330826,508
1506653330835,493
1506653330843,475
1506653330851,471
1506653330859,461
1506653330867,456
1506653330875,455
1506653330883,451
1506653330892,455
1506653330900,455
1506653330908,461
1506653330916,467
1506653330924,470
1506653330933,484
1506653330941,487
1506653330949,496
1506653330958,504
1506653330967,504
1506653330975,510
1506653330983,508
1506653330986,509
1506653330994,506
1506653331002,500
1506653331010,499
1506653331018,490
1506653331027,486
1506653331035,482
1506653331044,471
1506653331052,471
1506653331060,461
1506653331068,455
1506653331076,449
1506653331084,439
1506653331092,439
1506653331101,431
1506653331109,428
1506653331117,426
1506653331126,420
1506653331134,424
1506653331143,419
1506653331146,420
1506653331153,422
1506653331161,420
1506653331170,423
1506653331179,422
1506653331187,424
1506653331195,425
1506653331203,423
1506653331211,430
1506653331219,430
1506653331228,433
1506653331236,436
1506653331244,433
1506653331252,438
1506653331260,435
1506653331268,435
1506653331276,434
1506653331285,431
1506653331293,435
1506653331301,433
1506653331305,434
1506653331313,436
1506653331321,442
1506653331330,455
1506653331338,460
1506653331346,474
1506653331354,495
1506653331362,515
1506653331370,548
1506653331378,575
1506653331387,615
1506653331395,659
1506653331403,694
1506653331411,737
1506653331420,771
1506653331428,805
1506653331436,833
1506653331445,845
1506653331452,858
1506653331460,857
1506653331464,850
1506653331473,838
1506653331481,816
1506653331489,796
1506653331497,765
1506653331506,736
1506653331514,706
1506653331522,671
1506653331530,645
1506653331539,612
1506653331547,584
1506653331554,560
1506653331562,531
1506653331571,512
1506653331579,487
1506653331587,470
1506653331595,454
1506653331603,439
1506653331612,433
1506653331619,423
1506653331624,420
1506653331633,421
1506653331641,418
1506653331649,426
1506653331657,429
1506653331665,433
1506653331673,443
1506653331681,447
1506653331690,457
1506653331698,460
1506653331706,467
1506653331714,474
1506653331723,473
1506653331731,480
1506653331739,478
1506653331747,476
1506653331756,477
1506653331764,471
1506653331772,471
1506653331780,464
1506653331785,460
1506653331793,457
1506653331801,447
1506653331809,446
1506653331817,438
1506653331826,433
1506653331834,430
1506653331842,423
1506653331850,422
1506653331858,416
1506653331867,412
1506653331875,411
1506653331883,406
1506653331891,408
1506653331899,404
1506653331907,404
1506653331916,407
1506653331924,404
1506653331932,409
1506653331940,407
1506653331944,406
1506653331953,410
1506653331961,408
1506653331969,413
1506653331977,412
1506653331985,413
1506653331993,416
1506653332001,416
1506653332010,421
1506653332018,421
1506653332026,423
1506653332034,432
1506653332043,440
1506653332051,459
1506653332059,480
1506653332067,508
1506653332075,545
1506653332083,579
1506653332092,623
1506653332100,662
1506653332108,700
1506653332112,738
1506653332120,763
1506653332128,789
1506653332136,802
1506653332145,808
1506653332153,811
1506653332161,799
1506653332169,788
1506653332177,768
1506653332186,744
1506653332194,721
1506653332202,690
1506653332210,665
1506653332218,636
1506653332226,607
1506653332235,584
1506653332243,555
1506653332251,535
1506653332259,513
1506653332267,495
1506653332271,481
1506653332280,464
1506653332288,455
1506653332296,444
1506653332304,435
1506653332312,433
1506653332320,425
1506653332328,428
1506653332338,426
1506653332346,426
1506653332354,433
1506653332362,434
1506653332370,442
1506653332378,447
1506653332386,451
1506653332395,462
1506653332403,465
1506653332411,476
1506653332419,476
1506653332427,473
1506653332432,479
1506653332440,473
1506653332449,470
1506653332457,468
1506653332465,461
1506653332473,454
1506653332481,442
1506653332489,438
1506653332497,430
1506653332506,423
1506653332513,421
1506653332522,412
1506653332530,412
1506653332538,407
1506653332546,404
1506653332555,405
1506653332563,400
1506653332571,403
1506653332579,402
1506653332587,401
1506653332591,405
1506653332601,401
1506653332608,406
1506653332617,405
1506653332624,405
1506653332633,409
1506653332641,406
1506653332649,409
1506653332657,408
1506653332665,407
1506653332673,414
1506653332681,414
1506653332689,414
1506653332698,411
1506653332706,414
1506653332714,424
1506653332722,425
1506653332730,440
1506653332739,458
1506653332747,482
1506653332751,517
1506653332760,549
1506653332768,591
1506653332776,630
1506653332784,669
1506653332792,709
1506653332800,737
1506653332809,769
1506653332817,788
1506653332825,793
1506653332833,801
1506653332842,794
1506653332848,782
1506653332858,761
1506653332866,736
1506653332874,714
1506653332882,682
1506653332890,657
1506653332898,628
1506653332906,599
1506653332911,577
1506653332919,549
1506653332927,531
1506653332936,510
1506653332943,490
1506653332952,477
