time,value
1506652693844,496
1506652693852,504
1506652693860,503
1506652693868,506
1506652693876,508
1506652693880,505
1506652693888,508
1506652693897,502
1506652693905,502
1506652693914,501
1506652693922,495
1506652693930,497
1506652693938,490
1506652693946,488
1506652693954,487
1506652693962,480
1506652693971,482
1506652693979,476
1506652693987,475
1506652693995,475
1506652694004,470
1506652694012,474
1506652694020,469
1506652694028,470
1506652694036,472
1506652694040,466
1506652694049,472
1506652694057,469
1506652694065,470
1506652694073,473
1506652694081,470
1506652694089,476
1506652694097,473
1506652694106,475
1506652694115,478
1506652694122,475
1506652694131,480
1506652694139,477
1506652694147,479
1506652694155,481
1506652694163,477
1506652694171,483
1506652694180,480
1506652694188,481
1506652694196,483
1506652694202,480
1506652694209,485
1506652694217,483
1506652694225,483
1506652694233,485
1506652694241,480
1506652694249,485
1506652694258,481
1506652694266,481
1506652694274,484
1506652694282,480
1506652694290,484
1506652694298,480
1506652694307,482
1506652694315,485
1506652694323,480
1506652694331,486
1506652694339,482
1506652694347,483
1506652694355,489
1506652694360,487
1506652694368,496
1506652694376,499
1506652694384,506
1506652694392,515
1506652694401,519
1506652694409,531
1506652694417,536
1506652694425,543
1506652694433,550
1506652694441,549
1506652694449,555
1506652694458,551
1506652694466,549
1506652694474,549
1506652694482,540
1506652694491,538
1506652694500,529
1506652694508,523
1506652694516,518
1506652694520,505
1506652694529,503
1506652694536,492
1506652694545,486
1506652694554,484
1506652694561,474
1506652694569,474
1506652694577,468
1506652694585,467
1506652694594,467
1506652694602,462
1506652694610,467
1506652694617,466
1506652694626,469
1506652694634,474
1506652694642,473
1506652694650,481
1506652694658,483
1506652694667,486
1506652694675,492
1506652694679,491
1506652694687,498
1506652694695,499
1506652694704,501
1506652694712,506
1506652694720,502
1506652694728,508
1506652694737,504
1506652694745,504
1506652694753,506
1506652694761,500
1506652694769,504
1506652694778,500
1506652694786,498
1506652694794,498
1506652694802,493
1506652694810,496
1506652694818,491
1506652694827,490
1506652694835,492
1506652694843,486
1506652694847,490
1506652694855,486
1506652694864,484
1506652694872,486
1506652694880,481
1506652694888,485
1506652694896,482
1506652694906,482
1506652694914,485
1506652694921,480
1506652694930,486
1506652694937,483
1506652694946,482
1506652694954,487
1506652694962,482
1506652694970,488
1506652694978,486
1506652694987,486
1506652694995,489
1506652695003,486
1506652695008,491
1506652695016,488
1506652695024,489
1506652695032,492
1506652695040,488
1506652695048,492
1506652695056,491
1506652695064,490
1506652695074,494
1506652695081,489
1506652695089,494
1506652695098,491
1506652695106,490
1506652695114,493
1506652695122,488
1506652695130,492
1506652695138,490
1506652695146,489
1506652695154,492
1506652695162,487
1506652695167,489
1506652695175,488
1506652695183,488
1506652695191,494
1506652695199,492
