time,value
1506651574500,1835
1506651574508,1776
1506651574516,1718
1506651574524,1667
1506651574532,1628
1506651574540,1606
1506651574548,1600
1506651574556,1612
1506651574564,1641
1506651574572,1682
1506651574580,1733
1506651574588,1792
1506651574596,1855
1506651574604,1915
1506651574612,1971
1506651574620,2019
1506651574628,2054
1506651574636,2075
1506651574644,2081
1506651574652,2070
1506651574660,2048
1506651574668,2017
1506651574676,1981
1506651574684,1946
1506651574692,1917
1506651574700,1895
1506651574708,1884
1506651574716,1883
1506651574724,1894
1506651574732,1913
1506651574740,1936
1506651574748,1962
1506651574756,1985
1506651574764,2008
1506651574772,2028
1506651574780,2043
1506651574788,2056
1506651574796,2059
1506651574804,2057
1506651574812,2049
1506651574820,2039
1506651574828,2026
1506651574836,2012
1506651574844,2001
1506651574852,1993
1506651574860,1988
1506651574868,1989
1506651574876,2001
1506651574884,2028
1506651574893,2067
1506651574901,2117
1506651574908,2172
1506651574916,2220
1506651574924,2241
1506651574932,2231
1506651574940,2190
1506651574948,2126
1506651574956,2044
1506651574965,1955
1506651574972,1861
1506651574980,1771
1506651574988,1694
1506651574997,1639
1506651575005,1617
1506651575013,1632
1506651575021,1684
1506651575029,1767
1506651575037,1872
1506651575045,1993
1506651575053,2119
1506651575061,2244
1506651575069,2358
1506651575077,2450
1506651575085,2514
1506651575093,2543
1506651575101,2539
1506651575109,2496
1506651575117,2420
1506651575125,2318
1506651575133,2196
1506651575141,2067
1506651575149,1940
1506651575157,1825
1506651575165,1727
1506651575173,1649
1506651575181,1592
1506651575189,1556
1506651575197,1539
1506651575205,1537
1506651575213,1537
1506651575220,1531
1506651575229,1513
1506651575236,1481
1506651575245,1436
1506651575252,1380
1506651575261,1320
1506651575268,1262
1506651575277,1213
1506651575285,1177
1506651575293,1157
1506651575301,1159
1506651575309,1183
1506651575317,1227
1506651575325,1291
1506651575333,1368
1506651575341,1453
1506651575349,1542
1506651575357,1623
1506651575365,1693
1506651575373,1748
1506651575382,1785
1506651575390,1801
1506651575398,1797
1506651575406,1778
1506651575414,1746
1506651575422,1706
1506651575430,1664
1506651575438,1623
1506651575446,1589
1506651575454,1567
1506651575462,1556
1506651575470,1559
1506651575478,1576
1506651575486,1605
1506651575494,1641
1506651575501,1679
1506651575510,1717
1506651575517,1748
1506651575526,1771
1506651575533,1785
1506651575541,1790
1506651575549,1786
1506651575558,1775
1506651575566,1761
1506651575574,1750
1506651575582,1745
1506651575590,1752
1506651575598,1771
1506651575606,1800
1506651575613,1837
1506651575621,1882
1506651575629,1931
1506651575637,1984
1506651575645,2043
1506651575653,2103
1506651575661,2163
1506651575669,2213
1506651575677,2245
1506651575685,2244
1506651575693,2208
1506651575701,2139
1506651575709,2049
1506651575717,1949
1506651575725,1852
1506651575733,1764
1506651575741,1691
1506651575749,1643
1506651575757,1626
1506651575766,1651
1506651575773,1717
1506651575781,1822
1506651575789,1957
1506651575797,2108
1506651575806,2263
1506651575813,2406
1506651575821,2526
1506651575829,2612
1506651575837,2660
1506651575845,2667
1506651575853,2629
1506651575861,2555
1506651575869,2451
1506651575877,2327
1506651575885,2198
1506651575894,2074
1506651575902,1965
1506651575909,1879
1506651575917,1818
1506651575925,1785
1506651575933,1773
1506651575941,1780
1506651575949,1801
1506651575957,1828
1506651575965,1860
1506651575974,1881
1506651575982,1882
1506651575991,1857
1506651575998,1806
1506651576006,1738
1506651576014,1660
1506651576022,1583
1506651576030,1512
1506651576038,1454
1506651576046,1415
1506651576054,1397
1506651576062,1405
1506651576070,1437
1506651576078,1492
