time,value
1506651574500,481
1506651574508,479
1506651574512,473
1506651574520,479
1506651574528,476
1506651574536,480
1506651574545,486
1506651574553,487
1506651574561,497
1506651574569,498
1506651574577,503
1506651574586,509
1506651574594,507
1506651574602,514
1506651574610,509
1506651574618,510
1506651574626,510
1506651574635,501
1506651574643,501
1506651574651,492
1506651574659,486
1506651574667,482
1506651574671,472
1506651574680,470
1506651574688,461
1506651574696,458
1506651574704,456
1506651574712,446
1506651574721,450
1506651574729,445
1506651574737,445
1506651574745,447
1506651574753,443
1506651574762,450
1506651574770,448
1506651574778,451
1506651574786,456
1506651574794,454
1506651574802,461
1506651574811,460
1506651574819,462
1506651574827,468
1506651574831,464
1506651574839,470
1506651574848,468
1506651574856,470
1506651574864,473
1506651574872,471
1506651574880,475
1506651574889,472
1506651574897,472
1506651574905,474
1506651574913,468
1506651574921,471
1506651574929,466
1506651574938,462
1506651574946,463
1506651574954,456
1506651574962,458
1506651574970,453
1506651574979,452
1506651574986,452
1506651574991,448
1506651574999,456
1506651575008,460
1506651575016,472
1506651575024,495
1506651575032,516
1506651575040,552
1506651575048,587
1506651575057,626
1506651575065,668
1506651575073,699
1506651575081,734
1506651575090,754
1506651575098,768
1506651575106,780
1506651575114,772
1506651575122,767
1506651575130,749
1506651575139,726
1506651575147,705
1506651575151,673
1506651575159,650
1506651575167,622
1506651575175,598
1506651575184,580
1506651575192,557
1506651575200,548
1506651575208,535
1506651575216,525
1506651575224,522
1506651575232,511
1506651575241,510
1506651575249,504
1506651575257,499
1506651575265,498
1506651575274,491
1506651575282,493
1506651575290,489
1506651575299,488
1506651575306,492
1506651575310,489
1506651575319,494
1506651575327,494
1506651575335,494
1506651575343,498
1506651575351,494
1506651575359,497
1506651575367,494
1506651575376,491
1506651575385,491
1506651575393,482
1506651575401,481
1506651575409,474
1506651575418,468
1506651575426,467
1506651575434,459
1506651575442,459
1506651575450,455
1506651575458,450
1506651575466,451
1506651575471,445
1506651575479,448
1506651575487,445
1506651575495,446
1506651575503,448
1506651575512,451
1506651575520,457
1506651575528,456
1506651575536,456
1506651575545,460
1506651575552,460
1506651575561,463
1506651575569,462
1506651575577,462
1506651575585,465
1506651575593,456
1506651575602,457
1506651575610,454
1506651575618,451
1506651575626,455
1506651575634,451
1506651575638,454
1506651575646,453
1506651575654,452
1506651575663,454
1506651575671,451
1506651575679,455
1506651575687,451
1506651575696,448
1506651575704,449
1506651575712,444
1506651575720,445
1506651575728,442
1506651575736,440
1506651575745,444
1506651575753,442
1506651575761,450
1506651575769,456
1506651575777,468
1506651575785,491
1506651575794,513
1506651575798,550
1506651575806,586
1506651575814,623
1506651575822,667
1506651575830,699
1506651575838,731
1506651575847,751
1506651575855,763
1506651575863,772
1506651575871,764
1506651575879,757
1506651575888,738
1506651575896,715
1506651575905,692
1506651575912,660
1506651575920,635
1506651575929,608
1506651575937,582
1506651575945,566
1506651575953,547
1506651575957,536
1506651575966,524
1506651575974,515
1506651575983,513
1506651575991,505
1506651575999,503
1506651576007,497
1506651576015,490
1506651576023,490
1506651576031,482
1506651576039,482
1506651576048,480
1506651576056,479
1506651576064,482
1506651576072,479
1506651576080,483
1506651576088,483
1506651576097,482
1506651576105,487
1506651576113,483
1506651576117,486
1506651576126,484
1506651576134,478
1506651576142,479
1506651576151,472
1506651576159,471
1506651576167,466
1506651576175,460
1506651576183,461
1506651576192,453
1506651576200,453
1506651576208,451
1506651576216,444
1506651576225,446
1506651576232,439
1506651576241,440
1506651576249,439
1506651576257,437
1506651576265,441
1506651576273,438
1506651576279,442
1506651576286,443
1506651576294,441
1506651576302,448
1506651576311,445
1506651576319,449
1506651576326,450
1506651576334,448
1506651576342,453
1506651576350,450
1506651576359,453
1506651576368,453
1506651576376,451
1506651576384,456
1506651576392,452
1506651576400,455
1506651576408,454
1506651576416,452
1506651576425,456
1506651576432,451
1506651576437,453
1506651576446,452
1506651576454,449
1506651576462,452
1506651576471,448
1506651576478,449
1506651576486,448
1506651576495,444
1506651576503,448
1506651576511,445
1506651576519,448
1506651576527,450
1506651576535,452
1506651576543,466
1506651576551,480
1506651576560,506
1506651576568,536
1506651576576,570
1506651576584,615
1506651576592,651
1506651576597,691
1506651576605,725
1506651576613,747
1506651576622,769
1506651576630,774
1506651576638,775
1506651576645,767
1506651576655,748
1506651576662,731
1506651576671,701
1506651576679,673
1506651576687,644
1506651576695,612
1506651576703,592
1506651576711,564
1506651576719,547
1506651576727,533
1506651576736,519
1506651576744,515
1506651576752,508
1506651576756,506
1506651576764,501
1506651576773,496
1506651576781,497
1506651576789,490
1506651576798,490
1506651576806,491
1506651576814,485
1506651576823,490
1506651576831,488
1506651576839,490
1506651576846,493
1506651576854,492
