time,value
1506651043036,2305
1506651043044,2343
1506651043052,2377
1506651043060,2398
1506651043068,2397
1506651043076,2364
1506651043084,2301
1506651043092,2219
1506651043100,2135
1506651043108,2060
1506651043116,2003
1506651043124,1973
1506651043133,1981
1506651043140,2035
1506651043147,2139
1506651043155,2289
1506651043163,2474
1506651043172,2665
1506651043179,2838
1506651043187,2988
1506651043196,3120
1506651043204,3234
1506651043212,3332
1506651043220,3412
1506651043228,3461
1506651043236,3479
1506651043244,3465
1506651043252,3421
1506651043260,3356
1506651043268,3271
1506651043276,3177
1506651043284,3082
1506651043292,2995
1506651043300,2926
1506651043308,2868
1506651043316,2822
1506651043324,2789
1506651043333,2764
1506651043341,2746
1506651043349,2726
1506651043357,2702
1506651043364,2673
1506651043372,2631
1506651043380,2585
1506651043388,2536
1506651043396,2492
1506651043404,2456
1506651043412,2424
1506651043420,2395
1506651043429,2363
1506651043436,2324
1506651043444,2278
1506651043452,2227
1506651043460,2173
1506651043468,2122
1506651043476,2076
1506651043484,2037
1506651043492,2005
1506651043501,1980
1506651043508,1961
1506651043516,1948
1506651043525,1944
1506651043533,1945
1506651043541,1953
1506651043549,1963
1506651043557,1977
1506651043565,1996
1506651043573,2015
1506651043581,2040
1506651043589,2068
1506651043597,2098
1506651043605,2134
1506651043613,2179
1506651043621,2227
1506651043629,2279
1506651043636,2334
1506651043645,2383
1506651043653,2421
1506651043661,2449
1506651043669,2459
1506651043677,2451
1506651043685,2424
1506651043693,2383
1506651043701,2335
1506651043709,2282
1506651043716,2234
1506651043725,2193
1506651043733,2165
1506651043741,2148
1506651043749,2139
1506651043757,2136
1506651043765,2138
1506651043773,2146
1506651043781,2160
1506651043789,2182
1506651043797,2206
1506651043805,2228
1506651043813,2246
1506651043821,2251
1506651043829,2237
1506651043837,2197
1506651043845,2129
1506651043854,2046
1506651043861,1966
1506651043869,1903
1506651043877,1868
1506651043885,1870
1506651043893,1913
1506651043901,2002
1506651043909,2135
1506651043917,2309
1506651043925,2504
1506651043933,2696
1506651043941,2866
1506651043949,3013
1506651043957,3142
1506651043965,3254
1506651043973,3351
1506651043981,3431
1506651043989,3478
1506651043997,3482
1506651044005,3441
1506651044013,3355
1506651044021,3238
1506651044029,3090
1506651044037,2926
1506651044044,2758
1506651044052,2598
1506651044060,2457
1506651044068,2335
1506651044076,2238
1506651044084,2170
1506651044093,2132
1506651044100,2127
1506651044108,2142
1506651044116,2169
1506651044124,2204
1506651044133,2234
1506651044141,2259
1506651044148,2274
1506651044156,2281
1506651044164,2282
1506651044172,2274
1506651044181,2255
1506651044189,2226
1506651044197,2187
1506651044205,2141
1506651044213,2093
1506651044221,2046
1506651044229,2004
1506651044237,1968
1506651044245,1939
1506651044254,1916
1506651044261,1902
1506651044269,1894
1506651044277,1891
1506651044285,1887
1506651044294,1876
1506651044301,1861
1506651044309,1845
1506651044317,1830
1506651044325,1822
1506651044333,1817
1506651044341,1819
1506651044350,1825
1506651044357,1837
1506651044366,1859
1506651044373,1884
1506651044382,1912
1506651044389,1941
1506651044398,1970
1506651044405,2000
1506651044414,2033
1506651044422,2068
1506651044430,2102
1506651044438,2139
1506651044445,2176
1506651044454,2210
1506651044462,2240
1506651044470,2266
1506651044478,2284
1506651044486,2299
1506651044494,2313
1506651044501,2324
1506651044509,2330
1506651044517,2336
1506651044525,2344
1506651044533,2349
1506651044541,2355
1506651044549,2355
1506651044557,2354
1506651044565,2350
1506651044573,2347
1506651044581,2349
1506651044589,2357
1506651044597,2372
1506651044605,2388
1506651044613,2396
1506651044621,2387
1506651044630,2351
1506651044638,2281
1506651044645,2185
1506651044653,2080
1506651044661,1991
1506651044669,1931
1506651044677,1906
1506651044685,1916
1506651044693,1959
1506651044701,2041
1506651044709,2161
1506651044717,2323
1506651044725,2513
1506651044734,2704
1506651044742,2873
1506651044749,3019
1506651044757,3146
1506651044765,3257
1506651044773,3350
1506651044781,3407
1506651044789,3405
1506651044797,3344
1506651044805,3234
1506651044813,3084
1506651044822,2907
1506651044830,2720
1506651044838,2542
1506651044846,2388
1506651044855,2268
1506651044862,2182
1506651044870,2127
1506651044878,2097
1506651044886,2097
1506651044894,2124
1506651044902,2179
1506651044910,2249
1506651044918,2328
1506651044926,2401
1506651044934,2460
1506651044942,2503
1506651044950,2524
1506651044958,2533
1506651044966,2532
1506651044974,2518
1506651044982,2491
1506651044990,2452
1506651044998,2398
1506651045006,2333
1506651045014,2254
1506651045022,2168
1506651045030,2077
1506651045038,1988
1506651045046,1902
1506651045054,1830
1506651045063,1775
1506651045071,1740
1506651045079,1725
1506651045086,1730
1506651045095,1749
1506651045102,1781
1506651045111,1827
1506651045119,1885
1506651045127,1953
1506651045135,2034
1506651045142,2121
1506651045151,2209
1506651045158,2295
1506651045166,2372
1506651045174,2436
1506651045182,2484
1506651045190,2518
1506651045199,2535
1506651045206,2541
1506651045215,2531
1506651045222,2516
1506651045230,2492
1506651045239,2469
1506651045246,2447
1506651045254,2429
1506651045262,2419
1506651045271,2412
1506651045278,2420
1506651045287,2438
1506651045295,2467
1506651045303,2506
1506651045311,2550
1506651045318,2605
1506651045327,2668
1506651045336,2736
1506651045343,2806
1506651045350,2867
1506651045358,2913
1506651045366,2932
1506651045374,2915
1506651045382,2857
1506651045390,2758
1506651045398,2638
1506651045406,2520
1506651045414,2429
1506651045422,2383
1506651045431,2380
1506651045439,2419
1506651045446,2489
1506651045454,2587
1506651045462,2712
1506651045470,2855
1506651045478,2998
1506651045486,3128
1506651045494,3242
1506651045502,3341
1506651045510,3427
1506651045518,3503
1506651045527,3555
1506651045535,3574
1506651045543,3547
1506651045550,3476
1506651045558,3360
1506651045566,3210
1506651045574,3031
1506651045582,2838
1506651045590,2648
1506651045598,2474
1506651045606,2326
1506651045614,2209
1506651045622,2124
1506651045631,2074
1506651045639,2059
1506651045647,2083
1506651045655,2139
1506651045663,2222
1506651045671,2316
1506651045679,2411
1506651045687,2500
1506651045695,2575
1506651045703,2632
1506651045711,2674
1506651045719,2697
1506651045727,2697
1506651045735,2675
1506651045743,2628
1506651045751,2562
1506651045759,2481
1506651045767,2390
1506651045775,2293
1506651045783,2197
