time,value
1506652078580,1949
1506652078588,1890
1506652078596,1832
1506652078604,1789
1506652078612,1761
1506652078620,1757
1506652078628,1776
1506652078636,1816
1506652078644,1877
1506652078652,1951
1506652078660,2033
1506652078668,2118
1506652078676,2198
1506652078684,2273
1506652078692,2329
1506652078700,2371
1506652078708,2397
1506652078716,2406
1506652078724,2408
1506652078732,2401
1506652078740,2392
1506652078748,2385
1506652078756,2374
1506652078764,2366
1506652078772,2362
1506652078780,2364
1506652078788,2368
1506652078796,2371
1506652078804,2373
1506652078812,2371
1506652078820,2363
1506652078828,2350
1506652078836,2329
1506652078844,2304
1506652078852,2281
1506652078860,2260
1506652078868,2241
1506652078876,2225
1506652078884,2216
1506652078892,2209
1506652078900,2207
1506652078908,2211
1506652078916,2215
1506652078924,2220
1506652078932,2220
1506652078940,2224
1506652078948,2228
1506652078957,2236
1506652078965,2244
1506652078972,2259
1506652078980,2276
1506652078988,2300
1506652078996,2327
1506652079004,2356
1506652079012,2385
1506652079020,2415
1506652079028,2441
1506652079036,2462
1506652079044,2478
1506652079053,2486
1506652079061,2488
1506652079068,2481
1506652079076,2468
1506652079084,2458
1506652079092,2449
1506652079100,2452
1506652079108,2468
1506652079116,2497
1506652079124,2535
1506652079132,2566
1506652079140,2592
1506652079148,2600
1506652079157,2596
1506652079165,2573
1506652079172,2529
1506652079180,2475
1506652079188,2414
1506652079196,2354
1506652079205,2310
1506652079212,2287
1506652079220,2291
1506652079228,2320
1506652079236,2372
1506652079244,2442
1506652079253,2519
1506652079261,2597
1506652079268,2668
1506652079276,2727
1506652079284,2773
1506652079292,2797
1506652079300,2804
1506652079308,2785
1506652079316,2742
1506652079324,2676
1506652079332,2592
1506652079340,2497
1506652079348,2398
1506652079357,2303
1506652079365,2218
1506652079372,2148
1506652079380,2097
1506652079388,2068
1506652079396,2058
1506652079404,2065
1506652079412,2078
1506652079420,2091
1506652079428,2099
1506652079436,2100
1506652079444,2094
1506652079453,2077
1506652079461,2054
1506652079468,2026
1506652079476,1995
1506652079484,1970
1506652079492,1949
1506652079500,1940
1506652079508,1938
1506652079516,1945
1506652079525,1961
1506652079533,1982
1506652079541,2011
1506652079549,2039
1506652079557,2068
1506652079565,2101
1506652079573,2131
1506652079581,2161
1506652079589,2193
1506652079597,2224
1506652079605,2255
1506652079613,2284
1506652079621,2313
1506652079629,2337
1506652079637,2360
1506652079645,2385
1506652079653,2407
1506652079661,2428
1506652079669,2450
1506652079677,2465
1506652079685,2484
1506652079693,2495
1506652079701,2502
1506652079709,2507
1506652079717,2508
1506652079725,2509
1506652079733,2504
1506652079741,2493
1506652079749,2479
1506652079757,2458
1506652079765,2431
1506652079774,2397
1506652079782,2355
1506652079790,2311
1506652079798,2264
1506652079806,2221
1506652079814,2179
1506652079822,2140
1506652079830,2104
1506652079838,2072
1506652079846,2046
1506652079854,2027
1506652079862,2019
1506652079869,2020
1506652079877,2029
1506652079885,2045
1506652079893,2064
1506652079901,2091
1506652079909,2121
1506652079917,2149
1506652079925,2179
1506652079933,2206
1506652079941,2230
1506652079949,2255
1506652079958,2275
1506652079966,2294
1506652079973,2308
1506652079981,2316
1506652079989,2320
1506652079997,2321
1506652080005,2320
1506652080013,2314
1506652080021,2308
1506652080029,2300
1506652080037,2296
1506652080045,2301
1506652080054,2304
1506652080062,2309
1506652080069,2305
1506652080077,2292
1506652080085,2267
1506652080093,2228
1506652080101,2176
1506652080109,2107
1506652080117,2021
1506652080126,1932
1506652080133,1847
1506652080141,1778
1506652080149,1732
1506652080158,1711
1506652080166,1719
1506652080174,1749
1506652080182,1802
1506652080190,1868
1506652080198,1944
1506652080206,2026
1506652080214,2106
1506652080222,2186
1506652080230,2256
1506652080238,2316
1506652080246,2358
1506652080254,2381
1506652080262,2385
1506652080270,2371
1506652080278,2343
1506652080286,2307
1506652080294,2261
1506652080302,2220
1506652080310,2185
1506652080318,2161
1506652080326,2149
1506652080334,2148
1506652080342,2156
1506652080350,2171
1506652080358,2187
1506652080366,2207
1506652080374,2221
1506652080382,2231
1506652080390,2235
1506652080398,2228
1506652080406,2216
1506652080414,2195
1506652080422,2173
1506652080430,2156
1506652080438,2144
1506652080446,2142
1506652080454,2143
1506652080462,2151
1506652080470,2168
1506652080478,2185
1506652080486,2208
1506652080494,2224
1506652080502,2238
1506652080510,2249
1506652080518,2250
1506652080526,2249
1506652080534,2240
1506652080542,2229
1506652080550,2213
1506652080558,2196
1506652080567,2182
1506652080574,2168
1506652080582,2157
1506652080590,2149
1506652080598,2141
1506652080606,2132
1506652080614,2114
1506652080622,2092
1506652080630,2059
1506652080638,2020
1506652080646,1980
1506652080654,1938
1506652080662,1902
1506652080670,1869
1506652080678,1840
1506652080686,1816
