time,value
1506653328162,473
1506653328170,416
1506653328179,366
1506653328187,323
1506653328194,284
1506653328202,251
1506653328211,249
1506653328219,292
1506653328228,386
1506653328235,532
1506653328243,718
1506653328251,941
1506653328259,1190
1506653328268,1455
1506653328276,1727
1506653328283,1997
1506653328291,2248
1506653328299,2475
1506653328308,2672
1506653328315,2845
1506653328323,2994
1506653328331,3124
1506653328339,3238
1506653328348,3336
1506653328356,3423
1506653328364,3498
1506653328372,3564
1506653328380,3622
1506653328388,3672
1506653328396,3712
1506653328404,3726
1506653328412,3706
1506653328420,3649
1506653328428,3559
1506653328436,3443
1506653328443,3312
1506653328451,3174
1506653328459,3041
1506653328467,2911
1506653328475,2792
1506653328483,2682
1506653328491,2583
1506653328499,2493
1506653328507,2417
1506653328515,2349
1506653328523,2293
1506653328531,2248
1506653328539,2212
1506653328548,2186
1506653328556,2169
1506653328563,2158
1506653328572,2152
1506653328579,2151
1506653328587,2146
1506653328595,2136
1506653328604,2116
1506653328612,2083
1506653328619,2036
1506653328628,1972
1506653328636,1893
1506653328643,1801
1506653328651,1703
1506653328660,1604
1506653328667,1504
1506653328675,1409
1506653328683,1317
1506653328691,1235
1506653328699,1160
1506653328707,1092
1506653328715,1033
1506653328723,982
1506653328732,940
1506653328740,903
1506653328748,870
1506653328756,841
1506653328764,813
1506653328772,787
1506653328780,762
1506653328788,740
1506653328796,718
1506653328804,696
1506653328812,677
1506653328820,663
1506653328828,653
1506653328836,647
1506653328844,642
1506653328852,639
1506653328860,640
1506653328868,644
1506653328876,654
1506653328884,665
1506653328892,676
1506653328900,679
1506653328909,668
1506653328916,636
1506653328924,582
1506653328932,514
1506653328940,451
1506653328948,395
1506653328956,348
1506653328964,306
1506653328972,269
1506653328980,238
1506653328988,219
1506653328996,228
1506653329005,274
1506653329012,359
1506653329020,474
1506653329029,611
1506653329036,764
1506653329044,925
1506653329052,1093
1506653329060,1272
1506653329068,1459
1506653329076,1658
1506653329084,1870
1506653329093,2096
1506653329101,2330
1506653329109,2546
1506653329116,2734
1506653329124,2897
1506653329132,3040
1506653329140,3164
1506653329147,3272
1506653329155,3366
1506653329163,3449
1506653329171,3521
1506653329179,3584
1506653329188,3639
1506653329195,3687
1506653329203,3729
1506653329212,3765
1506653329220,3798
1506653329228,3826
1506653329236,3850
1506653329244,3872
1506653329252,3885
1506653329260,3848
1506653329268,3736
1506653329276,3543
1506653329284,3272
1506653329292,2938
1506653329300,2591
1506653329308,2262
1506653329316,1973
1506653329324,1723
1506653329332,1505
1506653329340,1314
1506653329348,1149
1506653329356,1005
1506653329364,881
1506653329372,771
1506653329380,676
1506653329388,593
1506653329396,520
1506653329405,457
1506653329413,402
1506653329421,354
1506653329429,312
1506653329436,275
1506653329444,245
1506653329452,235
1506653329460,248
1506653329468,289
1506653329476,355
1506653329484,443
1506653329492,555
1506653329501,683
1506653329509,826
1506653329517,980
1506653329525,1144
1506653329533,1319
1506653329541,1501
1506653329549,1687
1506653329557,1873
1506653329565,2057
1506653329573,2235
1506653329581,2407
1506653329589,2567
1506653329597,2715
1506653329605,2849
1506653329613,2971
1506653329621,3078
1506653329629,3168
1506653329636,3242
1506653329644,3299
1506653329652,3341
1506653329660,3370
1506653329668,3387
1506653329676,3392
1506653329684,3381
1506653329692,3354
1506653329700,3301
1506653329708,3225
1506653329716,3114
1506653329724,2971
1506653329733,2805
1506653329741,2625
1506653329748,2447
1506653329756,2284
1506653329765,2141
1506653329772,2028
1506653329781,1945
1506653329788,1897
1506653329796,1892
1506653329804,1929
1506653329813,2013
1506653329821,2140
1506653329829,2309
1506653329837,2505
1506653329844,2699
1506653329853,2869
1506653329861,3016
1506653329869,3146
1506653329877,3257
1506653329885,3355
1506653329893,3440
1506653329901,3514
1506653329909,3578
1506653329917,3635
1506653329925,3683
1506653329933,3726
1506653329941,3758
1506653329949,3777
1506653329958,3767
1506653329965,3726
1506653329973,3664
1506653329981,3581
1506653329989,3486
1506653329997,3384
1506653330005,3273
1506653330013,3160
1506653330021,3044
1506653330029,2919
1506653330037,2796
1506653330046,2674
1506653330053,2556
1506653330061,2445
1506653330069,2344
1506653330077,2252
1506653330086,2172
1506653330093,2101
1506653330101,2035
1506653330110,1975
1506653330118,1922
1506653330126,1875
1506653330133,1838
1506653330142,1816
1506653330149,1813
1506653330157,1836
1506653330165,1883
1506653330173,1954
1506653330181,2040
1506653330189,2127
1506653330198,2208
1506653330206,2277
1506653330214,2342
1506653330222,2414
1506653330230,2513
1506653330238,2658
1506653330246,2823
1506653330253,2976
1506653330261,3110
1506653330269,3227
1506653330277,3328
1506653330286,3417
1506653330294,3493
1506653330302,3561
1506653330310,3619
1506653330318,3670
1506653330326,3716
1506653330334,3754
1506653330342,3788
1506653330349,3818
1506653330357,3844
1506653330365,3866
1506653330373,3886
1506653330381,3904
1506653330389,3918
1506653330397,3932
1506653330406,3942
1506653330414,3952
1506653330421,3961
1506653330430,3969
1506653330438,3975
1506653330446,3982
1506653330454,3987
1506653330461,3992
1506653330469,3996
1506653330477,3999
1506653330485,4002
1506653330493,4005
1506653330502,4006
1506653330510,4009
1506653330518,4010
1506653330527,4012
1506653330534,4014
1506653330542,4015
1506653330550,4016
1506653330558,4017
1506653330567,4018
1506653330574,4018
1506653330582,4019
1506653330590,4019
1506653330598,4020
1506653330606,4020
1506653330614,4021
1506653330622,4021
1506653330630,4022
1506653330638,4022
1506653330646,4023
1506653330654,4022
1506653330662,4022
1506653330670,4022
1506653330678,4023
1506653330686,4023
1506653330694,4024
1506653330702,4024
1506653330710,4024
1506653330718,4023
1506653330726,4024
1506653330734,4024
1506653330742,4024
1506653330750,4024
1506653330758,4025
1506653330766,4024
1506653330774,4024
1506653330782,4024
1506653330790,4024
1506653330798,4025
1506653330806,4024
1506653330814,4024
1506653330822,4024
1506653330830,4025
1506653330838,4024
1506653330847,4024
1506653330854,4025
1506653330862,4024
1506653330870,4025
1506653330878,4025
1506653330886,4025
1506653330894,4025
1506653330902,4025
1506653330910,4025
1506653330918,4025
1506653330927,4025
1506653330935,4024
1506653330943,4024
1506653330950,4025
1506653330959,4025
1506653330967,4025
1506653330974,4025
1506653330983,4025
1506653330991,3998
1506653330999,3862
1506653331006,3573
1506653331014,3187
1506653331022,2790
1506653331030,2437
1506653331038,2127
1506653331047,1858
1506653331055,1622
1506653331063,1417
1506653331071,1240
1506653331079,1085
1506653331087,950
1506653331095,833
1506653331103,730
1506653331110,641
1506653331118,563
1506653331127,494
1506653331134,435
1506653331143,383
1506653331150,338
1506653331158,298
1506653331166,263
1506653331174,233
1506653331183,206
1506653331191,182
1506653331199,162
1506653331207,144
1506653331215,129
1506653331223,115
1506653331231,103
