time,value
1506653328159,7.399624004799762
1506653328167,-5.310040861357265
1506653328176,-18.554190685852518
1506653328184,-36.76907678948214
1506653328192,-40.8450995855589
1506653328200,-28.8450995855589
1506653328209,-2.8450995855588985
1506653328217,31.1549004144411
1506653328226,66.1549004144411
1506653328234,117.1549004144411
1506653328242,162.1549004144411
1506653328250,215.1549004144411
1506653328254,267.1549004144411
1506653328262,308.1549004144411
1506653328271,354.1549004144411
1506653328279,381.1549004144411
1506653328287,404.1549004144411
1506653328295,419.1549004144411
1506653328304,418.1549004144411
1506653328312,417.1549004144411
1506653328320,400.1549004144411
1506653328328,380.1549004144411
1506653328336,357.1549004144411
1506653328344,322.1549004144411
1506653328353,295.1549004144411
1506653328361,259.1549004144411
1506653328369,226.1549004144411
1506653328377,196.1549004144411
1506653328385,161.1549004144411
1506653328393,137.1549004144411
1506653328402,107.1549004144411
1506653328410,85.1549004144411
1506653328418,64.1549004144411
1506653328422,40.1549004144411
1506653328430,27.1549004144411
1506653328438,7.1549004144411015
1506653328447,-3.8450995855588985
1506653328454,-12.845099585558899
1506653328463,-24.8450995855589
1506653328471,-24.8450995855589
1506653328479,-33.8450995855589
1506653328487,-32.8450995855589
1506653328495,-28.8450995855589
1506653328503,-29.8450995855589
1506653328511,-20.8450995855589
1506653328520,-17.8450995855589
1506653328528,-10.845099585558899
1506653328536,-1.8450995855588985
1506653328544,2.4680508913797325
1506653328553,16.97598337318135
1506653328561,18.47741881098733
1506653328569,23.47741881098733
1506653328577,28.47741881098733
1506653328581,24.47741881098733
1506653328590,30.47741881098733
1506653328598,24.47741881098733
1506653328606,21.47741881098733
1506653328614,19.47741881098733
1506653328622,9.47741881098733
1506653328631,8.47741881098733
1506653328639,-0.5225811890126693
1506653328647,-2.5331995912511616
1506653328655,-1.8915373834926754
1506653328663,-7.2507629175971715
1506653328672,-2.7487899915090566
1506653328679,-6.505422564551168
1506653328687,-8.644927948784073
1506653328696,-9.644927948784073
1506653328704,-16.644927948784073
1506653328712,-13.644927948784073
1506653328720,-17.644927948784073
1506653328729,-17.644927948784073
1506653328737,-15.644927948784073
1506653328742,-20.644927948784073
1506653328750,-13.644927948784073
1506653328758,-17.644927948784073
1506653328766,-15.644927948784073
1506653328774,-11.644927948784073
1506653328783,-15.644927948784073
1506653328791,-8.644927948784073
1506653328799,-10.644927948784073
1506653328807,-9.644927948784073
1506653328815,-6.644927948784073
1506653328823,-11.644927948784073
1506653328832,-5.644927948784073
1506653328840,-7.644927948784073
1506653328848,-7.644927948784073
1506653328856,-4.644927948784073
1506653328864,-8.644927948784073
1506653328872,-3.6449279487840727
1506653328881,-6.644927948784073
1506653328889,-7.644927948784073
1506653328897,-4.644927948784073
1506653328901,-9.644927948784073
1506653328909,-5.644927948784073
1506653328918,-9.644927948784073
1506653328926,-10.644927948784073
1506653328934,-8.644927948784073
1506653328942,-14.644927948784073
1506653328950,-11.644927948784073
1506653328959,-16.644927948784073
1506653328967,-16.644927948784073
1506653328975,-16.644927948784073
1506653328983,-20.644927948784073
1506653328991,-25.734617253594195
1506653329000,-38.119586260953895
1506653329008,-46.969202478306954
1506653329016,-31.283820658463128
1506653329024,-11.283820658463128
1506653329032,24.716179341536872
1506653329041,61.71617934153687
1506653329049,105.71617934153687
1506653329056,156.71617934153687
1506653329061,202.71617934153687
1506653329069,255.71617934153687
1506653329077,297.7161793415369
1506653329086,334.7161793415369
1506653329094,367.7161793415369
1506653329102,383.7161793415369
1506653329110,397.7161793415369
1506653329118,396.7161793415369
1506653329126,388.7161793415369
1506653329134,375.7161793415369
