time,value
1506652694128,879
1506652694136,897
1506652694144,924
1506652694152,956
1506652694160,989
1506652694168,1021
1506652694176,1051
1506652694185,1075
1506652694193,1102
1506652694201,1134
1506652694209,1175
1506652694217,1223
1506652694225,1268
1506652694233,1299
1506652694241,1303
1506652694249,1279
1506652694257,1224
1506652694265,1146
1506652694273,1057
1506652694281,965
1506652694289,876
1506652694297,800
1506652694305,747
1506652694313,736
1506652694320,785
1506652694328,914
1506652694336,1136
1506652694344,1435
1506652694352,1758
1506652694360,2050
1506652694368,2305
1506652694376,2525
1506652694384,2716
1506652694392,2883
1506652694401,3027
1506652694409,3153
1506652694416,3262
1506652694424,3359
1506652694432,3442
1506652694440,3515
1506652694448,3578
1506652694456,3635
1506652694464,3664
1506652694472,3635
1506652694480,3529
1506652694488,3352
1506652694497,3126
1506652694506,2870
1506652694513,2612
1506652694521,2367
1506652694529,2146
1506652694537,1958
1506652694546,1805
1506652694553,1686
1506652694561,1603
1506652694569,1554
1506652694577,1539
1506652694585,1557
1506652694593,1607
1506652694601,1684
1506652694609,1778
1506652694617,1875
1506652694625,1967
1506652694633,2039
1506652694641,2082
1506652694649,2090
1506652694657,2061
1506652694665,1996
1506652694673,1902
1506652694681,1783
1506652694689,1646
1506652694697,1502
1506652694705,1361
1506652694713,1237
1506652694721,1137
1506652694729,1067
1506652694737,1028
1506652694745,1020
1506652694753,1047
1506652694761,1107
1506652694769,1201
1506652694777,1326
1506652694785,1473
1506652694793,1637
1506652694801,1808
1506652694809,1976
1506652694817,2132
1506652694825,2265
1506652694833,2369
1506652694841,2443
1506652694849,2485
1506652694857,2493
1506652694865,2472
1506652694873,2420
1506652694881,2343
1506652694889,2248
1506652694897,2141
1506652694906,2029
1506652694913,1922
1506652694922,1824
1506652694930,1740
1506652694937,1670
1506652694945,1616
1506652694953,1584
1506652694962,1572
1506652694969,1579
1506652694977,1603
1506652694985,1640
1506652694993,1687
1506652695002,1734
1506652695010,1777
1506652695017,1808
1506652695026,1831
1506652695033,1849
1506652695041,1870
1506652695050,1898
1506652695057,1931
1506652695065,1964
1506652695073,1984
1506652695081,1977
1506652695090,1943
1506652695098,1882
1506652695106,1798
1506652695114,1705
1506652695121,1609
1506652695129,1515
1506652695137,1435
1506652695145,1386
1506652695153,1386
1506652695161,1451
1506652695169,1599
1506652695177,1830
1506652695185,2094
1506652695193,2342
1506652695202,2560
1506652695211,2747
1506652695218,2910
1506652695226,3051
1506652695234,3174
1506652695242,3281
1506652695250,3375
1506652695258,3457
1506652695266,3529
1506652695274,3591
1506652695282,3645
1506652695290,3692
1506652695298,3729
1506652695306,3730
1506652695314,3665
1506652695322,3521
1506652695330,3308
1506652695338,3046
1506652695346,2753
1506652695354,2455
1506652695362,2165
1506652695370,1902
1506652695378,1674
1506652695386,1488
1506652695394,1348
1506652695402,1254
1506652695410,1209
1506652695418,1210
1506652695426,1250
1506652695434,1323
1506652695442,1415
1506652695450,1515
1506652695458,1608
1506652695466,1683
1506652695474,1732
1506652695482,1746
1506652695490,1726
1506652695498,1673
1506652695506,1589
1506652695515,1479
1506652695522,1346
1506652695531,1199
1506652695538,1056
1506652695546,924
1506652695554,809
1506652695562,709
1506652695571,631
1506652695579,582
1506652695587,569
1506652695595,596
1506652695603,661
1506652695611,761
1506652695618,891
1506652695626,1045
1506652695634,1216
1506652695642,1395
1506652695650,1575
1506652695658,1748
1506652695666,1903
1506652695674,2034
1506652695682,2135
1506652695690,2202
1506652695698,2236
1506652695707,2236
1506652695715,2208
1506652695722,2155
1506652695730,2085
1506652695738,2004
1506652695746,1913
1506652695754,1822
1506652695762,1728
1506652695770,1642
1506652695778,1570
1506652695786,1519
1506652695794,1493
1506652695803,1492
1506652695811,1513
1506652695819,1552
1506652695827,1602
1506652695835,1663
1506652695843,1729
1506652695851,1803
1506652695859,1876
1506652695867,1945
1506652695875,2003
1506652695883,2038
1506652695891,2046
1506652695899,2021
1506652695907,1964
1506652695915,1882
1506652695922,1786
1506652695930,1691
1506652695938,1607
1506652695947,1540
1506652695955,1502
1506652695963,1504
1506652695971,1560
1506652695979,1681
1506652695987,1873
1506652695995,2114
1506652696004,2358
1506652696011,2572
1506652696018,2758
1506652696026,2919
1506652696034,3059
1506652696042,3181
1506652696050,3288
1506652696058,3380
1506652696066,3461
1506652696074,3532
1506652696082,3594
1506652696090,3648
1506652696098,3694
1506652696107,3735
1506652696115,3771
1506652696122,3777
1506652696131,3725
1506652696139,3599
1506652696147,3417
1506652696155,3198
1506652696163,2966
1506652696171,2734
1506652696179,2516
1506652696187,2317
1506652696195,2143
1506652696203,1997
1506652696211,1884
1506652696219,1803
1506652696227,1756
1506652696235,1745
1506652696243,1767
1506652696251,1820
1506652696259,1891
1506652696267,1967
1506652696275,2043
1506652696283,2104
1506652696291,2140
1506652696299,2145
1506652696308,2116
1506652696315,2051
1506652696323,1954
1506652696331,1831
1506652696339,1690
1506652696347,1538
1506652696355,1385
1506652696363,1239
1506652696371,1111
1506652696380,1005
1506652696387,932
1506652696395,891
1506652696404,888
1506652696412,924
1506652696419,998
1506652696427,1108
1506652696435,1246
1506652696444,1399
1506652696451,1564
1506652696459,1730
1506652696467,1888
1506652696475,2031
1506652696484,2154
1506652696491,2252
1506652696499,2326
1506652696507,2373
1506652696516,2394
1506652696524,2385
1506652696532,2349
1506652696540,2284
1506652696548,2199
1506652696556,2097
1506652696564,1986
1506652696572,1873
1506652696579,1764
1506652696587,1663
1506652696596,1571
1506652696604,1490
1506652696612,1428
1506652696619,1387
1506652696627,1366
1506652696635,1369
1506652696644,1395
1506652696652,1448
1506652696660,1524
1506652696668,1612
1506652696676,1699
1506652696684,1765
1506652696692,1801
1506652696700,1800
1506652696708,1761
1506652696716,1698
1506652696724,1620
1506652696732,1536
1506652696739,1455
1506652696747,1384
1506652696755,1340
1506652696764,1341
1506652696771,1410
1506652696779,1560
1506652696787,1792
1506652696795,2060
1506652696804,2314
1506652696812,2535
1506652696819,2725
1506652696828,2891
1506652696835,3034
1506652696844,3159
1506652696851,3269
1506652696860,3364
1506652696868,3447
1506652696876,3520
1506652696884,3583
1506652696892,3638
1506652696900,3680
1506652696908,3682
1506652696916,3612
1506652696924,3472
1506652696932,3270
1506652696940,3027
1506652696948,2763
1506652696955,2497
1506652696964,2245
1506652696972,2019
1506652696980,1825
1506652696988,1669
1506652696996,1552
1506652697005,1476
1506652697012,1438
1506652697020,1434
1506652697028,1463
1506652697036,1523
1506652697044,1608
1506652697052,1710
1506652697060,1816
1506652697068,1913
1506652697076,1994
1506652697084,2050
1506652697092,2075
1506652697100,2061
1506652697109,2010
1506652697116,1922
1506652697124,1805
1506652697132,1669
1506652697140,1527
1506652697148,1386
1506652697156,1258
1506652697164,1148
1506652697172,1066
1506652697180,1016
1506652697188,1007
1506652697196,1038
1506652697205,1107
1506652697213,1209
1506652697220,1338
1506652697228,1486
1506652697236,1647
1506652697244,1809
1506652697252,1967
1506652697259,2112
1506652697268,2242
1506652697276,2349
1506652697284,2431
1506652697292,2486
1506652697301,2520
1506652697309,2534
1506652697317,2532
1506652697325,2516
1506652697333,2485
1506652697341,2443
1506652697349,2393
1506652697356,2338
1506652697365,2281
1506652697373,2228
1506652697381,2176
1506652697389,2125
1506652697397,2078
1506652697405,2032
1506652697412,1992
1506652697421,1964
1506652697428,1955
1506652697436,1971
1506652697444,2013
1506652697452,2074
1506652697460,2145
1506652697468,2209
1506652697477,2256
1506652697485,2275
1506652697492,2271
1506652697500,2249
1506652697509,2218
1506652697517,2187
1506652697525,2165
1506652697533,2163
1506652697541,2200
1506652697549,2287
1506652697557,2434
1506652697565,2613
1506652697573,2792
1506652697581,2949
1506652697589,3086
1506652697596,3204
1506652697605,3308
1506652697613,3399
1506652697621,3478
1506652697629,3546
1506652697637,3606
1506652697645,3659
1506652697653,3704
1506652697661,3744
1506652697669,3779
1506652697677,3810
1506652697685,3836
1506652697693,3860
1506652697701,3880
1506652697709,3883
1506652697717,3846
1506652697724,3765
1506652697732,3654
1506652697740,3525
1506652697748,3398
1506652697757,3280
1506652697765,3187
1506652697773,3116
1506652697781,3074
1506652697789,3061
1506652697797,3077
1506652697806,3122
1506652697813,3199
1506652697821,3295
1506652697829,3388
1506652697837,3470
1506652697846,3541
1506652697853,3604
1506652697861,3657
1506652697869,3704
1506652697877,3740
1506652697885,3757
1506652697893,3746
1506652697901,3704
1506652697909,3638
1506652697917,3552
1506652697925,3453
1506652697933,3345
1506652697941,3235
1506652697949,3136
1506652697957,3045
1506652697965,2970
1506652697973,2913
1506652697981,2878
1506652697989,2865
1506652697997,2878
1506652698006,2918
1506652698014,2985
1506652698021,3078
1506652698029,3184
1506652698037,3290
1506652698045,3384
1506652698053,3467
1506652698061,3538
1506652698069,3601
1506652698077,3655
1506652698085,3702
1506652698093,3744
1506652698102,3780
1506652698109,3811
1506652698118,3828
1506652698125,3828
1506652698133,3806
1506652698141,3768
1506652698150,3718
1506652698157,3660
1506652698165,3600
1506652698173,3548
1506652698181,3511
1506652698189,3489
1506652698197,3472
1506652698206,3441
1506652698214,3377
1506652698221,3276
1506652698229,3143
1506652698237,2999
1506652698245,2871
1506652698253,2780
1506652698261,2741
1506652698269,2759
1506652698277,2843
1506652698285,2970
1506652698293,3103
1506652698301,3222
1506652698310,3326
1506652698318,3416
