time,value
1506650690978,3981
1506650690986,3986
1506650690994,3991
1506650691002,3955
1506650691010,3848
1506650691018,3653
1506650691026,3362
1506650691034,2998
1506650691042,2631
1506650691050,2300
1506650691058,2012
1506650691066,1760
1506650691074,1541
1506650691082,1350
1506650691090,1183
1506650691098,1037
1506650691106,908
1506650691114,797
1506650691122,699
1506650691130,614
1506650691138,539
1506650691146,473
1506650691154,416
1506650691162,366
1506650691170,323
1506650691178,285
1506650691186,252
1506650691194,242
1506650691202,267
1506650691210,337
1506650691217,428
1506650691225,500
1506650691234,532
1506650691242,516
1506650691250,463
1506650691258,406
1506650691266,356
1506650691274,311
1506650691282,274
1506650691290,240
1506650691298,212
1506650691306,187
1506650691313,166
1506650691322,146
1506650691330,131
1506650691338,116
1506650691346,103
1506650691354,110
1506650691362,160
1506650691370,287
1506650691378,482
1506650691386,725
1506650691394,1005
1506650691402,1314
1506650691410,1631
1506650691418,1929
1506650691426,2193
1506650691434,2424
1506650691442,2625
1506650691450,2800
1506650691459,2953
1506650691466,3086
1506650691474,3203
1506650691482,3279
1506650691490,3265
1506650691498,3114
1506650691506,2837
1506650691514,2499
1506650691522,2184
1506650691530,1908
1506650691538,1668
1506650691546,1459
1506650691554,1276
1506650691562,1118
1506650691570,978
1506650691578,856
1506650691586,750
1506650691594,700
1506650691602,743
1506650691610,900
1506650691618,1144
1506650691626,1436
1506650691634,1736
1506650691642,2023
1506650691650,2276
1506650691658,2498
1506650691666,2691
1506650691674,2859
1506650691682,3005
1506650691690,3132
1506650691698,3244
1506650691706,3341
1506650691714,3426
1506650691722,3501
1506650691730,3565
1506650691739,3623
1506650691746,3672
1506650691754,3716
1506650691762,3754
1506650691770,3787
1506650691779,3816
1506650691787,3842
1506650691795,3864
1506650691803,3884
1506650691810,3901
1506650691818,3916
1506650691827,3930
1506650691835,3941
1506650691843,3951
1506650691851,3960
1506650691859,3967
1506650691867,3974
1506650691875,3981
1506650691883,3986
1506650691891,3991
1506650691899,3994
1506650691907,3999
1506650691915,4002
1506650691922,4005
1506650691931,4006
1506650691939,4009
1506650691947,4011
1506650691955,4012
1506650691963,4014
1506650691971,4014
1506650691979,4016
1506650691986,4017
1506650691994,4018
1506650692002,4009
1506650692010,3979
1506650692019,3910
1506650692027,3799
1506650692035,3650
1506650692043,3466
1506650692051,3258
1506650692059,3037
1506650692067,2806
1506650692075,2569
1506650692083,2322
1506650692091,2060
1506650692099,1808
1506650692107,1583
1506650692115,1386
1506650692123,1214
1506650692131,1064
1506650692139,932
1506650692147,817
1506650692155,720
1506650692163,636
1506650692171,579
1506650692179,545
