time,value
1506651043033,433
1506651043041,437
1506651043049,438
1506651043057,442
1506651043066,443
1506651043074,445
1506651043082,448
1506651043090,448
1506651043098,450
1506651043106,450
1506651043115,450
1506651043123,452
1506651043132,451
1506651043139,456
1506651043143,458
1506651043152,463
1506651043160,477
1506651043168,492
1506651043176,521
1506651043184,555
1506651043192,595
1506651043201,643
1506651043209,691
1506651043217,741
1506651043226,786
1506651043234,824
1506651043242,856
1506651043250,876
1506651043258,887
1506651043266,887
1506651043274,876
1506651043283,859
1506651043291,832
1506651043299,802
1506651043303,765
1506651043311,726
1506651043319,689
1506651043328,647
1506651043336,610
1506651043344,573
1506651043353,538
1506651043361,510
1506651043369,480
1506651043377,457
1506651043385,435
1506651043394,416
1506651043402,404
1506651043410,391
1506651043418,385
1506651043426,381
1506651043434,380
1506651043442,386
1506651043451,390
1506651043458,401
1506651043463,411
1506651043471,424
1506651043479,441
1506651043488,452
1506651043496,466
1506651043503,478
1506651043512,488
1506651043521,499
1506651043529,503
1506651043537,509
1506651043545,511
1506651043553,510
1506651043562,510
1506651043570,504
1506651043578,500
1506651043586,493
1506651043594,484
1506651043603,477
1506651043611,467
1506651043619,459
1506651043623,450
1506651043631,442
1506651043639,436
1506651043648,429
1506651043656,426
1506651043664,421
1506651043673,417
1506651043680,417
1506651043689,414
1506651043697,414
1506651043705,413
1506651043713,412
1506651043721,414
1506651043730,414
1506651043738,417
1506651043746,418
1506651043754,420
1506651043762,425
1506651043771,426
1506651043779,432
1506651043783,435
1506651043791,437
1506651043799,442
1506651043807,442
1506651043815,445
1506651043824,447
1506651043832,449
1506651043840,451
1506651043848,451
1506651043857,454
1506651043865,453
1506651043873,452
1506651043881,454
1506651043889,451
1506651043897,454
1506651043905,452
1506651043914,453
1506651043922,462
1506651043930,474
1506651043938,495
1506651043942,523
1506651043951,560
1506651043959,606
1506651043967,653
1506651043975,705
1506651043983,754
1506651043991,799
1506651043999,839
1506651044008,866
1506651044016,886
1506651044024,895
1506651044032,894
1506651044040,885
1506651044048,864
1506651044056,838
1506651044064,806
1506651044073,768
1506651044081,730
1506651044089,687
1506651044097,647
1506651044101,607
1506651044110,566
1506651044118,532
1506651044126,498
1506651044135,468
1506651044142,442
1506651044150,419
1506651044159,403
1506651044167,386
1506651044175,377
1506651044184,371
1506651044193,368
1506651044200,373
1506651044208,377
1506651044217,386
1506651044225,398
1506651044233,410
1506651044241,426
1506651044249,439
1506651044257,455
1506651044262,468
1506651044270,480
1506651044278,493
1506651044286,501
1506651044294,508
1506651044303,512
1506651044311,512
1506651044319,513
1506651044327,508
1506651044335,503
1506651044343,496
1506651044352,487
1506651044360,479
1506651044368,469
1506651044376,460
1506651044385,450
1506651044393,441
1506651044401,434
1506651044409,425
1506651044417,420
1506651044422,414
1506651044430,410
1506651044438,408
1506651044446,406
1506651044454,405
1506651044463,405
1506651044471,406
1506651044479,408
1506651044487,409
1506651044495,411
1506651044503,414
1506651044511,417
1506651044520,421
1506651044528,423
1506651044536,427
1506651044544,431
1506651044553,433
1506651044560,438
1506651044568,440
1506651044577,443
1506651044585,445
1506651044589,448
1506651044597,450
1506651044605,450
1506651044614,452
1506651044622,452
1506651044630,452
1506651044638,453
1506651044646,451
1506651044654,450
1506651044662,449
1506651044671,447
1506651044679,446
1506651044687,443
1506651044695,442
1506651044703,442
1506651044712,443
1506651044720,449
1506651044729,458
1506651044737,478
1506651044744,504
1506651044748,539
1506651044757,583
1506651044765,630
1506651044773,681
1506651044781,731
1506651044789,777
1506651044798,819
1506651044806,851
1506651044814,876
1506651044823,889
1506651044831,891
1506651044840,886
1506651044848,867
1506651044856,842
1506651044864,810
1506651044873,771
1506651044880,731
1506651044888,686
1506651044896,642
1506651044904,596
1506651044909,554
1506651044917,515
1506651044926,475
1506651044934,441
1506651044942,413
1506651044949,386
1506651044958,367
1506651044966,351
1506651044975,342
1506651044983,337
1506651044991,337
1506651044999,342
1506651045007,350
1506651045015,365
1506651045023,381
1506651045032,397
1506651045040,418
1506651045048,436
1506651045056,455
1506651045064,473
1506651045069,488
1506651045077,502
1506651045085,511
1506651045095,518
1506651045102,523
1506651045110,522
1506651045118,522
1506651045126,516
1506651045135,509
1506651045143,502
1506651045151,491
1506651045159,480
1506651045167,468
1506651045175,458
1506651045183,447
1506651045192,437
1506651045200,429
1506651045208,419
1506651045216,413
1506651045224,409
1506651045228,403
1506651045237,401
1506651045245,398
1506651045253,398
1506651045261,398
1506651045269,398
1506651045278,400
1506651045286,401
1506651045295,404
1506651045302,408
1506651045310,410
1506651045319,416
1506651045327,420
1506651045336,424
1506651045343,430
1506651045351,433
1506651045359,438
1506651045367,440
1506651045375,443
1506651045383,447
1506651045388,448
1506651045396,451
1506651045404,450
1506651045412,451
1506651045420,452
1506651045429,450
1506651045437,450
1506651045445,448
1506651045453,448
1506651045461,449
1506651045470,451
1506651045478,461
1506651045486,473
1506651045494,495
1506651045502,523
1506651045511,559
1506651045519,603
1506651045527,648
1506651045536,697
1506651045544,745
1506651045548,787
1506651045556,825
1506651045564,854
1506651045572,874
1506651045580,883
1506651045588,881
1506651045596,871
1506651045605,848
1506651045613,819
1506651045622,783
1506651045631,741
1506651045638,697
1506651045646,649
1506651045655,602
1506651045663,558
1506651045671,512
1506651045679,473
1506651045687,437
1506651045695,406
1506651045703,379
1506651045707,356
1506651045716,341
1506651045724,328
1506651045733,323
1506651045740,323
1506651045749,327
1506651045757,338
1506651045765,351
1506651045773,369
1506651045781,388
1506651045789,409
1506651045798,431
1506651045806,451
1506651045814,472
1506651045822,490
1506651045831,504
1506651045839,518
1506651045847,526
1506651045856,532
1506651045863,535
1506651045867,533
1506651045875,529
1506651045884,523
1506651045893,515
1506651045900,505
1506651045908,494
1506651045916,483
1506651045925,470
1506651045933,459
1506651045941,449
1506651045949,438
1506651045957,429
1506651045965,421
1506651045974,414
1506651045982,409
1506651045990,404
1506651045999,403
1506651046007,400
1506651046015,399
1506651046022,399
1506651046027,400
1506651046036,403
1506651046044,404
1506651046052,407
1506651046060,411
1506651046068,415
1506651046076,420
1506651046084,424
1506651046093,429
1506651046101,435
1506651046109,439
1506651046117,445
1506651046125,448
1506651046134,451
1506651046142,455
1506651046149,456
1506651046158,459
1506651046166,459
1506651046176,459
1506651046183,460
1506651046187,459
1506651046195,460
1506651046203,457
1506651046212,457
1506651046220,457
1506651046228,460
1506651046236,471
1506651046244,485
1506651046252,510
1506651046260,542
1506651046268,583
1506651046277,632
1506651046285,683
1506651046293,736
1506651046301,788
1506651046309,836
1506651046318,878
1506651046326,909
1506651046334,912
1506651046342,912
1506651046346,911
1506651046355,912
1506651046363,903
1506651046371,868
1506651046379,826
1506651046387,779
1506651046395,730
1506651046403,677
1506651046412,628
1506651046420,579
1506651046428,532
1506651046437,492
1506651046445,454
1506651046453,423
1506651046461,397
1506651046469,374
1506651046477,359
1506651046486,347
1506651046494,340
1506651046502,339
1506651046510,341
1506651046514,351
1506651046522,362
1506651046531,377
1506651046539,395
1506651046547,414
1506651046555,435
1506651046563,455
1506651046571,474
1506651046579,493
1506651046588,507
1506651046596,521
1506651046604,529
1506651046612,537
1506651046620,540
1506651046629,538
1506651046637,537
1506651046645,529
1506651046654,520
1506651046662,511
1506651046670,499
1506651046674,487
1506651046682,474
1506651046690,461
1506651046699,450
1506651046707,438
1506651046715,430
1506651046723,420
1506651046732,412
1506651046740,407
1506651046748,401
1506651046756,398
1506651046765,396
1506651046773,395
1506651046781,395
1506651046789,395
1506651046797,396
1506651046805,397
1506651046814,401
1506651046821,405
1506651046830,408
1506651046834,413
1506651046843,417
1506651046850,421
1506651046859,426
1506651046867,429
1506651046875,434
1506651046883,438
1506651046892,442
1506651046900,446
1506651046908,448
1506651046916,452
1506651046924,453
1506651046933,455
1506651046940,457
1506651046948,455
1506651046957,456
1506651046965,455
1506651046973,454
1506651046981,454
1506651046989,454
1506651046993,458
1506651047001,465
1506651047010,479
1506651047018,502
1506651047026,531
1506651047035,573
1506651047043,621
1506651047051,671
1506651047059,726
1506651047067,779
1506651047075,829
1506651047084,873
1506651047092,908
1506651047100,911
1506651047108,912
1506651047116,912
1506651047124,911
1506651047133,912
1506651047141,888
1506651047149,848
1506651047154,805
1506651047162,756
1506651047170,705
1506651047178,657
1506651047186,607
1506651047194,562
1506651047203,521
1506651047211,483
1506651047219,450
1506651047227,420
1506651047235,398
1506651047244,378
1506651047252,362
1506651047260,353
1506651047268,347
1506651047276,347
1506651047284,350
1506651047292,358
1506651047301,370
1506651047309,384
1506651047313,401
1506651047321,418
1506651047330,436
1506651047338,455
1506651047346,471
1506651047355,487
1506651047362,501
1506651047371,511
1506651047379,519
1506651047387,524
1506651047395,525
1506651047403,525
1506651047412,522
1506651047420,516
1506651047428,507
1506651047436,499
1506651047444,489
1506651047453,477
1506651047461,467
1506651047469,455
1506651047473,447
1506651047481,437
1506651047489,428
1506651047498,422
1506651047506,415
1506651047514,411
1506651047522,407
1506651047530,404
1506651047538,404
1506651047547,403
1506651047555,405
1506651047563,406
1506651047571,407
1506651047579,410
1506651047587,412
1506651047595,416
1506651047603,418
1506651047612,422
1506651047620,427
1506651047628,429
1506651047633,435
1506651047641,439
1506651047649,442
1506651047657,446
1506651047665,448
1506651047673,452
1506651047681,454
1506651047689,456
1506651047698,458
1506651047706,460
1506651047714,461
1506651047722,461
1506651047731,460
1506651047739,461
1506651047747,458
1506651047755,458
1506651047763,457
1506651047771,455
1506651047780,457
1506651047787,460
1506651047792,469
1506651047800,484
1506651047809,507
1506651047817,540
1506651047825,579
1506651047833,627
1506651047841,678
1506651047849,729
1506651047857,780
1506651047865,824
1506651047874,863
1506651047882,894
1506651047890,910
1506651047898,912
1506651047906,912
1506651047915,906
1506651047923,885
1506651047931,856
1506651047940,824
1506651047947,784
1506651047952,741
1506651047959,699
1506651047968,653
1506651047976,610
1506651047984,569
1506651047993,531
1506651048001,496
1506651048009,464
1506651048017,438
1506651048025,413
1506651048034,395
1506651048042,381
1506651048049,370
1506651048058,366
1506651048066,364
1506651048075,367
1506651048083,375
1506651048091,384
1506651048100,398
1506651048108,412
1506651048112,428
1506651048120,444
1506651048128,460
1506651048136,476
1506651048145,489
1506651048153,501
1506651048161,510
1506651048169,516
1506651048178,522
1506651048186,522
1506651048194,521
1506651048202,517
1506651048210,510
1506651048218,506
1506651048226,496
1506651048235,486
1506651048243,477
1506651048251,466
1506651048259,458
1506651048267,446
1506651048271,439
1506651048280,432
1506651048288,424
1506651048296,421
1506651048304,414
1506651048313,411
1506651048321,410
1506651048329,408
1506651048337,409
1506651048345,410
1506651048354,412
1506651048362,414
1506651048370,416
1506651048378,420
1506651048386,422
1506651048394,426
1506651048402,430
1506651048411,432
1506651048419,437
1506651048427,440
1506651048435,443
1506651048439,446
1506651048447,448
1506651048456,451
1506651048464,452
1506651048472,455
1506651048480,457
1506651048488,456
1506651048497,459
1506651048505,457
1506651048513,456
1506651048521,457
1506651048530,454
1506651048538,454
1506651048547,452
1506651048554,453
1506651048562,456
1506651048570,462
1506651048579,477
1506651048587,495
1506651048595,524
1506651048599,562
1506651048607,603
1506651048615,650
1506651048623,696
1506651048633,743
1506651048641,784
1506651048648,818
1506651048656,846
1506651048665,862
1506651048673,869
1506651048682,866
1506651048690,851
1506651048698,833
1506651048706,805
1506651048714,771
1506651048723,735
1506651048731,695
1506651048739,655
1506651048747,615
1506651048754,577
1506651048759,540
1506651048767,506
1506651048775,477
1506651048783,448
1506651048792,425
1506651048800,407
1506651048808,390
1506651048816,380
1506651048824,371
1506651048833,368
1506651048841,369
1506651048849,374
1506651048857,383
1506651048865,394
1506651048874,409
1506651048881,426
1506651048890,441
1506651048898,461
1506651048906,475
1506651048914,489
1506651048918,502
1506651048926,511
1506651048935,519
1506651048944,523
1506651048951,525
1506651048959,525
1506651048967,520
1506651048975,516
1506651048985,507
1506651048993,499
1506651049001,491
1506651049009,480
1506651049017,471
1506651049025,461
1506651049033,451
1506651049041,444
1506651049049,436
1506651049058,430
1506651049066,423
1506651049074,419
1506651049078,417
1506651049086,414
1506651049094,414
1506651049103,413
1506651049111,415
1506651049119,416
1506651049127,417
1506651049136,421
1506651049144,423
1506651049153,426
1506651049160,430
1506651049169,432
1506651049177,436
1506651049185,438
1506651049193,441
1506651049201,445
1506651049209,445
1506651049217,449
1506651049226,451
1506651049235,454
1506651049238,456
1506651049246,458
1506651049255,460
1506651049263,460
1506651049271,460
1506651049279,461
1506651049288,458
1506651049296,458
1506651049304,457
1506651049312,457
1506651049320,462
1506651049328,471
1506651049337,485
1506651049345,503
1506651049353,529
1506651049361,562
1506651049369,602
1506651049377,645
1506651049386,688
1506651049393,730
1506651049398,770
1506651049406,803
1506651049414,830
1506651049422,845
1506651049430,849
1506651049439,847
1506651049447,832
1506651049456,811
1506651049464,783
1506651049472,748
1506651049480,710
1506651049488,669
1506651049496,629
1506651049504,589
1506651049513,551
1506651049521,518
1506651049529,483
1506651049537,454
1506651049545,427
1506651049553,403
1506651049557,384
1506651049566,369
1506651049574,361
1506651049582,355
1506651049590,355
1506651049598,361
1506651049607,368
1506651049615,383
1506651049623,397
1506651049631,413
1506651049640,432
1506651049648,450
1506651049656,469
1506651049664,486
1506651049672,501
1506651049681,514
1506651049688,523
1506651049697,532
1506651049705,536
1506651049713,538
1506651049717,540
1506651049725,533
1506651049734,525
1506651049742,516
1506651049750,507
1506651049758,496
1506651049766,482
1506651049774,472
1506651049783,459
1506651049791,449
1506651049799,443
1506651049807,434
1506651049815,428
1506651049823,422
1506651049833,416
1506651049840,414
1506651049848,411
1506651049858,411
1506651049865,413
1506651049872,414
1506651049877,418
1506651049885,418
1506651049893,424
1506651049901,428
1506651049909,429
1506651049918,434
1506651049926,438
1506651049935,441
1506651049943,444
1506651049950,447
1506651049959,451
1506651049967,452
1506651049975,457
1506651049983,458
1506651049991,459
1506651049999,461
1506651050008,462
1506651050016,463
1506651050024,463
1506651050033,462
1506651050037,464
1506651050045,461
1506651050053,463
1506651050061,463
1506651050069,466
1506651050077,478
1506651050085,490
1506651050094,513
1506651050102,543
1506651050110,579
1506651050118,623
1506651050126,668
1506651050136,714
1506651050144,758
1506651050151,795
1506651050159,826
1506651050167,847
1506651050175,860
1506651050184,864
1506651050192,857
1506651050196,843
1506651050204,819
1506651050213,791
1506651050221,757
1506651050229,720
1506651050237,684
1506651050246,645
1506651050254,608
1506651050263,571
1506651050271,536
1506651050279,506
1506651050287,477
1506651050295,454
1506651050303,433
1506651050312,415
1506651050320,403
1506651050328,392
1506651050336,387
1506651050344,384
1506651050352,385
1506651050357,391
1506651050365,398
1506651050373,411
1506651050381,424
1506651050389,437
1506651050397,453
1506651050405,467
1506651050414,483
1506651050422,495
1506651050430,504
1506651050438,514
1506651050446,519
1506651050454,522
1506651050463,523
1506651050471,521
1506651050479,517
1506651050487,511
1506651050495,504
1506651050504,495
1506651050512,485
1506651050520,478
1506651050524,467
1506651050532,459
1506651050541,451
1506651050549,442
1506651050557,436
1506651050565,429
1506651050574,425
1506651050582,422
1506651050590,418
1506651050598,418
1506651050606,416
1506651050614,417
1506651050623,419
1506651050631,421
1506651050639,426
1506651050647,429
1506651050655,432
1506651050663,435
1506651050671,439
1506651050679,444
1506651050685,449
1506651050693,453
1506651050700,457
1506651050709,456
1506651050717,459
1506651050725,459
1506651050733,459
1506651050742,461
1506651050749,461
1506651050757,462
1506651050765,462
1506651050774,462
1506651050782,462
1506651050790,461
1506651050798,461
1506651050806,459
1506651050814,459
1506651050824,461
1506651050832,466
1506651050839,477
1506651050844,494
1506651050853,521
1506651050860,553
1506651050869,592
1506651050877,636
1506651050885,682
1506651050893,729
1506651050901,773
1506651050909,810
1506651050918,841
1506651050925,861
1506651050934,871
1506651050942,875
1506651050950,867
1506651050958,852
1506651050966,828
1506651050974,800
1506651050982,767
1506651050991,730
1506651050999,695
1506651051003,657
1506651051012,621
1506651051019,590
1506651051028,557
1506651051037,531
1506651051045,504
1506651051053,481
1506651051061,462
1506651051069,445
1506651051077,430
1506651051085,417
1506651051093,409
1506651051101,405
1506651051109,401
1506651051118,404
1506651051126,407
1506651051135,412
1506651051143,422
1506651051151,431
1506651051159,444
1506651051163,455
1506651051171,466
1506651051179,476
1506651051187,485
1506651051195,495
1506651051204,498
1506651051212,502
1506651051221,504
1506651051229,503
1506651051238,501
1506651051245,497
1506651051254,492
1506651051262,486
1506651051270,478
1506651051278,471
1506651051286,463
1506651051294,454
1506651051302,448
1506651051310,439
1506651051318,434
1506651051323,427
1506651051331,422
1506651051339,419
1506651051348,416
1506651051356,415
1506651051364,414
1506651051373,415
1506651051381,414
1506651051389,417
1506651051397,420
1506651051406,421
1506651051414,424
1506651051422,428
1506651051430,430
1506651051438,435
1506651051447,436
1506651051455,441
1506651051463,445
1506651051471,448
1506651051478,450
1506651051483,451
1506651051491,453
1506651051499,455
1506651051507,455
1506651051516,457
1506651051524,457
1506651051532,457
1506651051540,458
1506651051548,455
1506651051557,455
1506651051566,453
1506651051573,451
1506651051582,449
1506651051589,448
1506651051598,451
1506651051606,454
1506651051614,464
1506651051622,482
1506651051630,504
1506651051638,537
1506651051643,576
1506651051651,619
1506651051659,669
1506651051667,718
1506651051675,763
1506651051683,799
1506651051692,831
1506651051700,859
1506651051708,869
1506651051716,872
1506651051724,865
1506651051733,849
1506651051741,829
1506651051749,800
1506651051758,769
1506651051766,733
1506651051774,696
1506651051782,660
1506651051790,622
1506651051798,590
1506651051802,557
1506651051810,528
1506651051819,501
1506651051827,476
1506651051835,455
1506651051844,440
1506651051852,423
1506651051860,412
1506651051868,402
1506651051876,394
1506651051884,393
1506651051893,391
1506651051901,394
1506651051909,397
1506651051917,406
1506651051925,416
1506651051933,427
1506651051942,440
1506651051950,452
1506651051958,466
1506651051962,475
1506651051970,484
1506651051978,494
1506651051986,496
1506651051994,500
1506651052002,501
1506651052011,499
1506651052019,497
1506651052027,491
1506651052036,486
1506651052044,477
1506651052053,468
1506651052060,461
1506651052068,450
1506651052077,444
1506651052085,436
1506651052093,428
1506651052101,423
1506651052109,416
1506651052117,414
1506651052121,410
1506651052130,408
1506651052138,409
1506651052146,408
1506651052154,410
1506651052162,411
1506651052170,413
1506651052178,417
1506651052187,418
1506651052195,421
1506651052203,424
1506651052211,427
1506651052220,431
1506651052228,433
1506651052236,438
1506651052245,440
1506651052253,442
1506651052261,446
1506651052269,447
1506651052277,451
1506651052285,453
1506651052289,452
1506651052297,456
1506651052306,456
1506651052314,458
1506651052322,458
1506651052330,458
1506651052339,458
1506651052347,457
1506651052355,456
1506651052363,454
1506651052371,451
1506651052379,452
1506651052387,449
1506651052396,449
1506651052404,447
1506651052412,444
1506651052420,444
1506651052429,442
1506651052437,444
1506651052445,445
1506651052449,452
1506651052458,468
1506651052466,486
1506651052474,517
1506651052482,554
1506651052490,596
1506651052498,646
1506651052506,695
1506651052515,745
1506651052523,791
1506651052531,829
1506651052539,862
1506651052548,881
1506651052555,893
1506651052563,893
1506651052572,883
1506651052580,867
1506651052588,840
1506651052596,809
1506651052604,774
1506651052608,734
1506651052616,696
1506651052624,654
1506651052633,615
1506651052641,577
1506651052650,542
1506651052658,512
1506651052666,480
1506651052675,455
1506651052683,435
1506651052691,416
1506651052699,404
1506651052707,392
1506651052716,387
1506651052724,385
1506651052732,387
1506651052740,394
1506651052748,400
1506651052756,412
1506651052764,425
1506651052768,438
1506651052776,454
1506651052784,466
1506651052793,481
1506651052801,493
1506651052809,502
1506651052817,511
1506651052825,515
1506651052834,519
1506651052842,519
1506651052850,516
1506651052858,514
1506651052867,506
1506651052874,500
1506651052882,492
1506651052892,480
1506651052900,474
1506651052908,462
1506651052916,453
1506651052924,446
1506651052929,442
1506651052937,435
1506651052945,426
1506651052952,425
1506651052961,417
1506651052970,413
1506651052978,415
1506651052986,410
1506651052994,411
1506651053002,415
1506651053010,416
1506651053018,416
1506651053027,414
1506651053035,416
1506651053043,418
1506651053051,420
1506651053059,425
1506651053067,426
1506651053076,431
1506651053083,435
1506651053089,438
1506651053097,443
1506651053105,446
1506651053113,450
1506651053121,453
1506651053129,456
1506651053137,459
1506651053146,459
1506651053154,462
1506651053162,463
1506651053170,462
1506651053179,464
1506651053187,463
1506651053195,461
1506651053203,461
1506651053211,458
1506651053219,457
1506651053227,452
1506651053235,450
1506651053244,448
1506651053248,444
1506651053256,444
1506651053264,441
1506651053273,442
1506651053280,446
1506651053289,454
1506651053297,472
1506651053305,494
1506651053313,525
1506651053321,563
1506651053330,605
1506651053338,654
1506651053346,700
1506651053354,748
1506651053362,791
1506651053370,826
1506651053378,858
1506651053387,875
1506651053395,883
1506651053403,883
1506651053407,872
1506651053417,852
1506651053424,823
1506651053433,788
1506651053441,749
1506651053449,705
1506651053457,662
1506651053465,616
1506651053473,575
1506651053481,536
1506651053489,498
1506651053497,467
1506651053505,438
1506651053514,416
1506651053522,396
1506651053530,379
1506651053539,370
1506651053547,363
1506651053555,362
1506651053563,368
1506651053567,372
1506651053576,386
1506651053584,399
1506651053592,416
1506651053600,435
1506651053608,452
1506651053616,472
1506651053625,487
1506651053633,503
1506651053641,516
1506651053649,526
1506651053657,535
1506651053666,538
1506651053674,539
1506651053682,538
1506651053690,530
1506651053698,525
1506651053707,514
1506651053715,504
1506651053723,492
1506651053727,477
1506651053735,467
1506651053745,453
1506651053752,444
1506651053760,435
1506651053768,425
1506651053776,421
1506651053785,414
1506651053793,409
1506651053801,407
1506651053809,404
1506651053817,406
1506651053825,404
1506651053834,406
1506651053842,409
1506651053850,410
1506651053858,416
1506651053867,417
1506651053875,422
1506651053883,428
1506651053887,430
1506651053895,438
1506651053903,441
1506651053912,445
1506651053920,451
1506651053929,453
1506651053937,458
1506651053945,459
1506651053953,462
1506651053961,466
1506651053969,466
1506651053977,468
