time, value
1509013087422,491
1509013087430,429
1509013087438,376
1509013087446,339
1509013087454,335
1509013087462,373
1509013087470,456
1509013087478,584
1509013087486,749
1509013087494,934
1509013087502,1133
1509013087510,1345
1509013087518,1573
1509013087526,1815
1509013087534,2066
1509013087542,2312
1509013087550,2536
1509013087558,2729
1509013087566,2898
1509013087574,3043
1509013087582,3169
1509013087590,3280
1509013087598,3375
1509013087606,3458
1509013087614,3530
1509013087622,3593
1509013087630,3648
1509013087638,3696
1509013087646,3738
1509013087654,3774
1509013087662,3806
1509013087670,3833
1509013087678,3857
1509013087686,3878
1509013087694,3897
1509013087702,3913
1509013087710,3927
1509013087718,3939
1509013087726,3949
1509013087734,3958
1509013087742,3967
1509013087750,3975
1509013087758,3980
1509013087766,3985
1509013087774,3990
1509013087782,3994
1509013087790,3998
1509013087798,4001
1509013087806,4004
1509013087814,4006
1509013087822,4009
1509013087830,4010
1509013087838,4012
1509013087846,4014
1509013087854,4015
1509013087862,4012
1509013087870,3984
1509013087878,3917
1509013087886,3813
1509013087894,3679
1509013087902,3525
1509013087910,3357
1509013087918,3185
1509013087926,3015
1509013087934,2856
1509013087942,2715
1509013087950,2597
1509013087958,2503
1509013087966,2424
1509013087974,2352
1509013087982,2278
1509013087990,2198
1509013087998,2108
1509013088006,2004
1509013088014,1882
1509013088022,1748
1509013088030,1600
1509013088038,1445
1509013088046,1293
1509013088054,1152
1509013088062,1033
1509013088070,940
1509013088078,879
1509013088086,850
1509013088094,851
1509013088102,878
1509013088110,921
1509013088118,963
1509013088126,989
1509013088134,984
1509013088142,941
1509013088150,864
1509013088158,765
1509013088166,669
1509013088174,584
1509013088182,511
1509013088190,447
1509013088198,391
1509013088206,343
1509013088214,312
1509013088222,307
1509013088230,332
1509013088238,385
1509013088246,458
1509013088254,546
1509013088262,642
1509013088270,735
1509013088278,817
1509013088286,882
1509013088294,928
1509013088302,954
1509013088310,958
1509013088319,940
1509013088327,909
1509013088335,868
1509013088343,828
1509013088351,802
1509013088359,800
1509013088367,834
1509013088374,910
1509013088382,1035
1509013088390,1202
1509013088399,1404
1509013088407,1630
1509013088414,1862
1509013088422,2080
1509013088431,2269
1509013088439,2426
1509013088447,2550
1509013088455,2644
1509013088463,2713
1509013088471,2764
1509013088479,2804
1509013088487,2839
1509013088495,2870
1509013088503,2898
1509013088511,2918
1509013088519,2929
1509013088527,2932
1509013088535,2924
1509013088543,2905
1509013088551,2872
1509013088559,2829
1509013088567,2776
1509013088575,2720
1509013088583,2661
1509013088591,2603
1509013088599,2554
1509013088607,2516
1509013088615,2497
1509013088623,2494
1509013088631,2505
1509013088639,2529
1509013088647,2568
1509013088655,2622
1509013088663,2688
1509013088671,2759
1509013088679,2830
1509013088687,2899
1509013088695,2960
1509013088703,3019
1509013088711,3074
1509013088719,3135
1509013088727,3207
1509013088735,3293
1509013088743,3383
1509013088751,3465
1509013088759,3537
1509013088767,3600
1509013088775,3654
1509013088783,3701
1509013088791,3728
1509013088799,3706
1509013088807,3619
1509013088815,3493
1509013088823,3366
1509013088831,3276
1509013088839,3248
1509013088847,3288
1509013088855,3366
1509013088863,3452
1509013088871,3528
1509013088879,3592
1509013088887,3649
1509013088895,3698
1509013088903,3741
1509013088911,3777
1509013088919,3809
1509013088927,3837
1509013088935,3861
1509013088943,3882
1509013088951,3899
1509013088959,3915
1509013088967,3925
1509013088975,3913
1509013088983,3865
1509013088991,3775
1509013088999,3645
1509013089007,3485
1509013089015,3302
1509013089023,3104
1509013089031,2893
1509013089039,2677
1509013089047,2467
1509013089055,2272
1509013089063,2103
1509013089071,1967
1509013089080,1864
1509013089087,1792
1509013089095,1741
1509013089103,1701
1509013089111,1666
1509013089120,1632
1509013089127,1596
1509013089135,1548
1509013089143,1481
1509013089151,1380
1509013089159,1242
1509013089167,1090
1509013089175,951
1509013089183,829
1509013089191,724
1509013089199,633
1509013089207,553
1509013089215,484
1509013089223,424
1509013089231,372
1509013089239,326
1509013089247,287
1509013089255,252
1509013089263,222
1509013089271,196
1509013089279,172
1509013089288,153
1509013089296,135
1509013089304,120
1509013089312,107
1509013089320,96
1509013089328,85
1509013089336,77
1509013089344,70
1509013089352,63
1509013089360,56
1509013089368,52
1509013089376,47
1509013089384,43
1509013089392,40
1509013089400,37
1509013089408,34
1509013089416,32
1509013089424,30
1509013089432,28
1509013089440,26
1509013089448,26
1509013089456,24
1509013089464,23
1509013089472,22
1509013089480,24
1509013089488,35
1509013089496,66
1509013089503,120
1509013089511,192
1509013089519,278
1509013089527,370
1509013089535,466
1509013089543,565
1509013089551,667
1509013089560,767
1509013089568,861
1509013089576,943
1509013089584,1010
1509013089591,1065
1509013089600,1116
1509013089608,1171
1509013089616,1236
1509013089624,1312
1509013089632,1399
1509013089640,1494
1509013089648,1586
1509013089656,1665
1509013089664,1722
1509013089672,1749
1509013089680,1747
1509013089688,1716
1509013089696,1664
1509013089704,1608
1509013089712,1563
1509013089720,1545
1509013089728,1558
1509013089736,1600
1509013089744,1666
1509013089752,1746
1509013089760,1838
1509013089768,1934
1509013089776,2032
1509013089784,2130
1509013089792,2220
1509013089800,2290
1509013089808,2325
1509013089816,2321
1509013089824,2284
1509013089832,2232
1509013089840,2186
1509013089848,2161
1509013089856,2165
1509013089864,2199
1509013089872,2255
1509013089881,2326
1509013089888,2407
1509013089896,2490
1509013089904,2570
1509013089912,2634
1509013089920,2679
1509013089929,2696
1509013089937,2683
1509013089945,2640
1509013089953,2571
1509013089961,2492
1509013089969,2416
1509013089977,2362
1509013089985,2334
1509013089993,2336
1509013090001,2364
1509013090009,2406
1509013090017,2454
1509013090025,2502
1509013090033,2546
1509013090041,2592
1509013090049,2643
1509013090057,2705
1509013090065,2776
1509013090073,2846
1509013090081,2908
1509013090089,2957
1509013090097,2987
1509013090105,2999
1509013090113,2996
1509013090120,2985
1509013090128,2970
1509013090136,2957
1509013090145,2940
1509013090153,2912
1509013090161,2863
1509013090169,2799
1509013090177,2734
1509013090185,2686
1509013090192,2665
1509013090201,2674
1509013090209,2707
1509013090217,2754
1509013090225,2800
1509013090233,2834
1509013090241,2843
1509013090249,2819
1509013090257,2758
1509013090264,2669
1509013090272,2561
1509013090280,2441
1509013090288,2311
1509013090296,2165
1509013090304,1998
1509013090312,1802
1509013090320,1586
1509013090328,1381
1509013090336,1201
1509013090344,1046
1509013090352,912
1509013090360,795
1509013090368,693
1509013090376,606
1509013090384,530
1509013090392,464
1509013090400,406
1509013090408,356
1509013090416,312
1509013090424,275
1509013090432,241
1509013090440,212
1509013090448,187
1509013090456,165
1509013090464,146
1509013090473,130
1509013090481,115
1509013090489,103
1509013090497,92
1509013090505,82
1509013090513,73
1509013090521,66
1509013090530,60
1509013090537,54
1509013090546,50
1509013090553,45
1509013090562,41
1509013090570,39
1509013090577,35
1509013090585,33
1509013090593,30
1509013090601,29
1509013090610,27
1509013090617,26
1509013090625,25
1509013090634,23
1509013090642,23
1509013090650,21
1509013090658,20
1509013090666,20
1509013090673,20
1509013090682,19
1509013090690,18
1509013090698,21
1509013090706,32
1509013090714,58
1509013090722,97
1509013090730,145
1509013090738,200
1509013090746,266
1509013090754,337
1509013090762,413
1509013090770,488
1509013090778,556
