time, value
1509013526355,1285
1509013526363,1277
1509013526371,1302
1509013526380,1357
1509013526388,1430
1509013526396,1509
1509013526404,1586
1509013526412,1654
1509013526420,1707
1509013526428,1740
1509013526436,1754
1509013526444,1758
1509013526452,1759
1509013526460,1764
1509013526468,1774
1509013526476,1794
1509013526484,1831
1509013526492,1892
1509013526500,1983
1509013526508,2100
1509013526516,2235
1509013526524,2381
1509013526532,2522
1509013526540,2650
1509013526548,2753
1509013526556,2826
1509013526564,2867
1509013526572,2880
1509013526580,2875
1509013526588,2860
1509013526596,2845
1509013526604,2837
1509013526612,2834
1509013526620,2835
1509013526628,2829
1509013526636,2812
1509013526644,2776
1509013526652,2716
1509013526660,2629
1509013526668,2518
1509013526676,2387
1509013526684,2243
1509013526692,2089
1509013526700,1932
1509013526708,1779
1509013526716,1640
1509013526724,1525
1509013526732,1439
1509013526740,1384
1509013526748,1360
1509013526756,1365
1509013526764,1395
1509013526772,1445
1509013526780,1515
1509013526788,1597
1509013526796,1688
1509013526804,1785
1509013526812,1884
1509013526820,1988
1509013526828,2092
1509013526836,2194
1509013526844,2291
1509013526852,2380
1509013526860,2458
1509013526868,2523
1509013526876,2572
1509013526884,2606
1509013526892,2622
1509013526900,2619
1509013526908,2595
1509013526916,2546
1509013526924,2472
1509013526932,2374
1509013526940,2260
1509013526948,2136
1509013526956,2007
1509013526964,1881
1509013526972,1763
1509013526980,1660
1509013526988,1572
1509013526996,1498
1509013527004,1437
1509013527012,1391
1509013527020,1357
1509013527028,1332
1509013527036,1311
1509013527044,1292
1509013527052,1278
1509013527060,1274
1509013527068,1286
1509013527076,1314
1509013527084,1359
1509013527092,1418
1509013527100,1487
1509013527108,1556
1509013527116,1616
1509013527124,1661
1509013527132,1682
1509013527140,1681
1509013527148,1659
1509013527156,1616
1509013527164,1562
1509013527172,1500
1509013527180,1441
1509013527188,1393
1509013527196,1365
1509013527204,1360
1509013527212,1372
1509013527220,1395
1509013527228,1416
1509013527236,1429
1509013527244,1429
1509013527252,1414
1509013527260,1389
1509013527268,1353
1509013527276,1312
1509013527284,1273
1509013527292,1248
1509013527300,1248
1509013527308,1280
1509013527316,1346
1509013527324,1440
1509013527332,1554
1509013527340,1676
1509013527348,1797
1509013527356,1914
1509013527364,2020
1509013527372,2109
1509013527380,2177
1509013527388,2223
1509013527396,2247
1509013527404,2251
1509013527412,2234
1509013527420,2200
1509013527428,2151
1509013527436,2093
1509013527444,2035
1509013527452,1985
1509013527460,1954
1509013527468,1941
1509013527476,1947
1509013527484,1963
1509013527492,1978
1509013527500,1988
1509013527508,1986
1509013527516,1974
1509013527524,1954
1509013527532,1927
1509013527540,1900
1509013527548,1884
1509013527556,1883
1509013527564,1905
1509013527572,1946
1509013527580,2005
1509013527588,2071
1509013527596,2137
1509013527604,2196
1509013527612,2239
1509013527620,2264
1509013527628,2268
1509013527636,2256
1509013527644,2234
1509013527652,2207
1509013527660,2183
1509013527668,2165
1509013527676,2155
1509013527684,2150
1509013527692,2151
1509013527700,2157
1509013527708,2167
1509013527716,2183
1509013527724,2206
1509013527732,2234
1509013527740,2269
1509013527748,2308
1509013527756,2349
1509013527764,2386
1509013527772,2414
1509013527780,2425
1509013527789,2416
1509013527797,2389
1509013527805,2346
1509013527813,2295
1509013527821,2240
1509013527829,2187
1509013527837,2136
1509013527845,2088
1509013527853,2042
1509013527861,2002
1509013527869,1967
1509013527877,1942
1509013527885,1928
1509013527893,1924
1509013527901,1927
1509013527909,1930
1509013527917,1927
1509013527925,1908
1509013527933,1871
1509013527941,1819
1509013527949,1760
1509013527957,1702
1509013527965,1657
1509013527973,1628
1509013527981,1620
1509013527989,1632
1509013527997,1663
1509013528005,1712
1509013528013,1775
1509013528021,1845
1509013528029,1916
1509013528037,1986
1509013528045,2049
1509013528054,2108
1509013528061,2163
1509013528069,2211
1509013528077,2251
1509013528085,2277
1509013528094,2286
1509013528102,2275
1509013528110,2240
1509013528118,2183
1509013528126,2110
1509013528134,2024
1509013528142,1937
1509013528150,1855
1509013528158,1791
1509013528166,1754
1509013528174,1749
1509013528182,1775
1509013528190,1821
1509013528198,1881
1509013528206,1943
1509013528214,1993
1509013528222,2024
1509013528230,2029
1509013528238,2014
1509013528246,1985
1509013528254,1947
1509013528262,1907
1509013528270,1869
1509013528278,1841
1509013528286,1823
1509013528294,1816
1509013528302,1817
1509013528310,1819
1509013528318,1818
1509013528326,1812
1509013528334,1803
1509013528342,1793
1509013528350,1781
1509013528358,1771
1509013528366,1765
1509013528374,1763
1509013528382,1767
1509013528390,1776
1509013528398,1795
1509013528406,1821
1509013528414,1851
1509013528422,1880
1509013528430,1908
1509013528438,1934
1509013528446,1960
1509013528454,1987
1509013528462,2021
1509013528470,2060
1509013528478,2106
1509013528486,2151
1509013528494,2190
1509013528502,2216
1509013528510,2227
1509013528518,2221
1509013528526,2197
1509013528534,2161
1509013528542,2117
1509013528550,2077
1509013528558,2049
1509013528566,2040
1509013528574,2052
1509013528582,2085
1509013528590,2134
1509013528598,2193
1509013528606,2260
1509013528614,2328
1509013528622,2390
1509013528630,2437
1509013528638,2461
1509013528646,2456
1509013528654,2422
1509013528662,2370
1509013528670,2306
1509013528678,2240
1509013528686,2181
1509013528694,2136
1509013528702,2112
1509013528710,2108
1509013528718,2131
1509013528726,2177
1509013528734,2237
1509013528742,2302
1509013528750,2367
1509013528758,2426
1509013528766,2480
1509013528774,2519
1509013528782,2544
1509013528790,2553
1509013528798,2542
1509013528806,2505
1509013528814,2440
1509013528822,2350
1509013528830,2236
1509013528838,2106
1509013528846,1969
1509013528854,1843
1509013528862,1741
1509013528870,1675
1509013528878,1647
1509013528886,1657
1509013528894,1696
1509013528902,1758
1509013528910,1831
1509013528918,1908
1509013528926,1982
1509013528934,2045
1509013528942,2099
1509013528950,2142
1509013528958,2181
1509013528966,2215
1509013528974,2246
1509013528982,2274
1509013528990,2295
1509013528998,2308
1509013529006,2308
1509013529014,2296
1509013529022,2272
1509013529030,2239
1509013529038,2204
1509013529046,2167
1509013529054,2132
1509013529062,2103
1509013529070,2085
1509013529078,2084
1509013529086,2103
1509013529094,2141
1509013529102,2198
1509013529110,2269
1509013529118,2352
1509013529126,2444
1509013529134,2538
1509013529142,2630
1509013529150,2707
1509013529158,2760
1509013529166,2783
1509013529174,2775
1509013529182,2745
1509013529190,2700
1509013529199,2650
1509013529207,2603
1509013529215,2566
1509013529223,2542
1509013529231,2526
1509013529239,2513
1509013529247,2502
1509013529255,2489
1509013529263,2476
1509013529271,2461
1509013529279,2445
1509013529287,2422
1509013529295,2383
1509013529303,2322
1509013529311,2233
1509013529319,2124
1509013529327,2003
1509013529335,1881
1509013529343,1777
1509013529351,1702
1509013529359,1666
1509013529367,1673
1509013529375,1723
1509013529383,1812
1509013529391,1930
1509013529399,2065
1509013529407,2204
1509013529415,2337
1509013529423,2456
1509013529431,2551
1509013529439,2618
1509013529447,2652
1509013529455,2652
1509013529463,2619
1509013529471,2555
1509013529479,2467
1509013529487,2365
1509013529495,2262
1509013529503,2170
1509013529511,2095
1509013529519,2043
1509013529527,2016
1509013529535,2015
1509013529543,2033
1509013529551,2060
1509013529559,2086
1509013529567,2101
1509013529575,2100
1509013529583,2080
1509013529591,2047
1509013529599,2003
1509013529607,1952
1509013529615,1905
1509013529623,1866
1509013529631,1833
1509013529639,1812
1509013529647,1799
1509013529655,1793
1509013529663,1790
1509013529671,1784
1509013529679,1772
1509013529687,1750
1509013529695,1715
1509013529703,1671
1509013529711,1616
1509013529719,1556
1509013529727,1499
1509013529735,1449
1509013529743,1415
1509013529751,1407
1509013529759,1428
1509013529767,1477
1509013529775,1546
1509013529783,1631
1509013529791,1721
1509013529799,1806
1509013529807,1874
1509013529815,1922
1509013529823,1951
1509013529831,1964
1509013529839,1970
1509013529847,1972
1509013529855,1973
1509013529863,1979
1509013529871,1988
1509013529879,2004
1509013529887,2020
1509013529895,2037
1509013529903,2052
1509013529911,2063
1509013529919,2066
1509013529927,2063
1509013529935,2055
1509013529943,2042
1509013529951,2016
1509013529959,1972
1509013529967,1907
1509013529975,1824
1509013529983,1729
1509013529991,1634
1509013529999,1547
1509013530007,1477
1509013530015,1435
1509013530023,1429
1509013530031,1462
1509013530039,1530
1509013530047,1624
1509013530055,1731
1509013530063,1840
1509013530071,1937
1509013530079,2015
1509013530087,2068
1509013530095,2099
1509013530103,2112
1509013530111,2112
1509013530119,2106
1509013530127,2099
1509013530135,2091
1509013530143,2081
1509013530151,2071
1509013530159,2057
1509013530167,2037
1509013530175,2009
1509013530183,1978
1509013530191,1943
1509013530199,1903
1509013530207,1859
1509013530215,1809
1509013530223,1752
1509013530231,1688
1509013530239,1623
1509013530247,1559
1509013530256,1502
1509013530263,1454
1509013530271,1416
1509013530279,1390
1509013530288,1373
1509013530296,1365
1509013530304,1364
1509013530312,1366
1509013530320,1373
1509013530328,1383
1509013530336,1392
1509013530344,1400
1509013530352,1404
1509013530360,1404
1509013530368,1401
1509013530376,1398
1509013530384,1400
1509013530392,1408
1509013530400,1427
1509013530408,1458
1509013530416,1504
1509013530424,1570
1509013530432,1653
1509013530440,1753
1509013530448,1863
1509013530456,1978
1509013530464,2092
1509013530472,2198
1509013530480,2292
1509013530488,2372
1509013530496,2436
1509013530504,2484
1509013530512,2518
1509013530520,2541
1509013530528,2553
1509013530536,2556
1509013530544,2551
1509013530552,2536
1509013530560,2512
1509013530568,2480
1509013530576,2444
1509013530584,2411
1509013530592,2383
1509013530600,2359
1509013530609,2333
1509013530617,2296
1509013530625,2245
1509013530633,2179
1509013530641,2098
1509013530649,2001
1509013530657,1889
1509013530665,1769
1509013530673,1648
1509013530681,1540
1509013530689,1454
1509013530697,1398
1509013530705,1376
1509013530713,1390
1509013530721,1435
1509013530729,1502
1509013530737,1582
1509013530746,1665
1509013530753,1744
1509013530761,1810
1509013530769,1853
1509013530777,1867
1509013530785,1852
1509013530793,1811
1509013530801,1750
1509013530809,1675
1509013530817,1595
1509013530825,1520
1509013530833,1462
1509013530841,1429
1509013530849,1429
1509013530857,1461
1509013530865,1516
1509013530873,1577
1509013530881,1634
1509013530889,1677
1509013530897,1703
1509013530905,1715
1509013530913,1718
1509013530921,1721
1509013530929,1730
1509013530937,1754
1509013530945,1795
1509013530953,1851
1509013530961,1913
1509013530969,1975
1509013530977,2028
1509013530985,2063
1509013530993,2077
1509013531001,2074
1509013531009,2061
1509013531017,2048
1509013531025,2043
1509013531033,2048
1509013531041,2066
1509013531049,2092
1509013531057,2117
1509013531065,2135
1509013531073,2141
1509013531081,2137
1509013531089,2128
1509013531097,2121
1509013531105,2123
1509013531113,2134
1509013531121,2158
1509013531129,2191
1509013531137,2230
1509013531145,2267
1509013531153,2296
1509013531161,2314
1509013531169,2323
1509013531177,2325
1509013531185,2327
1509013531193,2329
1509013531201,2336
1509013531209,2346
1509013531217,2360
1509013531225,2377
1509013531233,2397
1509013531241,2422
1509013531249,2450
1509013531257,2479
1509013531265,2504
1509013531273,2518
1509013531281,2514
1509013531289,2485
1509013531297,2432
1509013531305,2355
