time,value
1509013094173,519
1509013094181,497
1509013094189,483
1509013094197,476
1509013094201,475
1509013094210,472
1509013094218,472
1509013094226,471
1509013094234,471
1509013094242,474
1509013094250,473
1509013094259,474
1509013094267,476
1509013094275,476
1509013094283,480
1509013094291,479
1509013094299,482
1509013094307,483
1509013094316,484
1509013094324,487
1509013094332,487
1509013094341,489
1509013094349,488
1509013094357,489
1509013094361,490
1509013094369,488
1509013094377,490
1509013094386,488
1509013094394,488
1509013094402,490
1509013094410,487
1509013094418,489
1509013094426,488
1509013094434,488
1509013094443,490
1509013094451,489
1509013094459,490
1509013094467,491
1509013094475,493
1509013094484,498
1509013094492,502
1509013094500,511
1509013094508,520
1509013094516,530
1509013094520,543
1509013094529,551
1509013094537,561
1509013094545,569
1509013094553,575
1509013094561,581
1509013094570,581
1509013094578,583
1509013094586,580
1509013094594,576
1509013094602,573
1509013094610,565
1509013094619,560
1509013094627,553
1509013094635,545
1509013094644,539
1509013094652,529
1509013094660,524
1509013094668,516
1509013094676,508
1509013094680,504
1509013094688,497
1509013094697,494
1509013094705,491
1509013094713,488
1509013094722,489
1509013094730,488
1509013094738,490
1509013094746,492
1509013094755,494
1509013094763,499
1509013094771,500
1509013094779,505
1509013094787,509
1509013094795,509
1509013094803,513
1509013094812,512
1509013094820,513
1509013094828,513
1509013094836,511
1509013094840,512
1509013094848,508
1509013094857,508
1509013094865,504
1509013094873,500
1509013094881,500
1509013094889,496
1509013094897,495
1509013094906,493
1509013094914,490
1509013094922,490
1509013094930,487
1509013094938,488
1509013094947,487
1509013094955,486
1509013094963,487
1509013094971,485
1509013094979,488
1509013094987,488
1509013094996,488
1509013095000,491
1509013095008,490
1509013095016,491
1509013095024,492
1509013095033,490
1509013095041,492
1509013095049,490
1509013095057,492
1509013095065,492
1509013095073,492
1509013095081,496
1509013095090,496
1509013095098,502
1509013095106,508
1509013095114,514
1509013095122,525
1509013095131,534
1509013095139,546
1509013095147,557
1509013095155,568
1509013095159,579
1509013095167,586
1509013095175,593
1509013095184,598
1509013095192,599
1509013095200,601
1509013095208,597
1509013095217,594
1509013095225,590
1509013095233,582
1509013095241,577
1509013095249,568
1509013095257,562
1509013095266,555
1509013095274,546
1509013095282,542
1509013095290,533
