time,value
1509013526683,465
1509013526683,464
1509013526684,468
1509013526684,471
1509013526684,471
1509013526685,469
1509013526685,465
1509013526685,464
1509013526686,464
1509013526686,462
1509013526686,463
1509013526687,462
1509013526687,464
1509013526687,467
1509013526688,469
1509013526688,476
1509013526688,482
1509013526688,494
1509013526689,508
1509013526689,523
1509013526689,543
1509013526690,562
1509013526690,583
1509013526690,602
1509013528251,517
1509013528260,481
1509013528268,455
1509013528276,444
1509013528284,437
1509013528292,435
1509013528296,437
1509013528304,438
1509013528313,447
1509013528321,453
1509013528329,460
1509013528337,468
1509013528345,474
1509013528354,482
1509013528362,487
1509013528370,490
1509013528378,494
1509013528386,495
1509013528395,496
1509013528403,495
1509013528411,494
1509013528419,493
1509013528427,487
1509013528436,485
1509013528444,482
1509013528452,477
1509013528456,474
1509013528464,469
1509013528472,467
1509013528481,463
1509013528489,460
1509013528497,460
1509013528505,455
1509013528513,455
1509013528521,454
1509013528530,452
1509013528538,453
1509013528546,451
1509013528554,453
1509013528562,453
1509013528571,453
1509013528579,455
1509013528587,455
1509013528595,458
1509013528603,458
1509013528611,458
1509013528616,460
1509013528624,459
1509013528632,461
1509013528640,461
1509013528648,460
1509013528657,461
1509013528665,459
1509013528673,459
1509013528681,457
1509013528689,457
1509013528697,458
1509013528706,456
1509013528714,458
1509013528722,459
1509013528730,460
1509013528738,466
1509013528746,470
1509013528755,480
1509013528763,491
1509013528771,504
1509013528775,521
1509013528783,538
1509013528792,557
1509013528800,575
1509013528808,591
1509013528816,606
1509013528824,615
1509013528833,624
1509013528841,629
1509013528849,627
1509013528857,628
1509013528865,621
1509013528873,614
1509013528882,605
1509013528890,593
1509013528898,583
1509013528906,570
1509013528914,558
1509013528923,544
1509013528931,530
1509013528939,521
1509013528943,507
1509013528951,499
1509013528959,491
1509013528967,484
1509013528976,481
1509013528984,476
1509013528992,475
1509013529000,476
1509013529008,476
1509013529017,481
1509013529025,483
1509013529033,492
1509013529041,494
1509013529049,498
1509013529058,499
1509013529066,497
1509013529074,498
1509013529082,498
1509013529090,496
1509013529098,497
1509013529103,493
1509013529111,492
1509013529119,489
1509013529127,483
1509013529135,481
1509013529144,476
1509013529152,473
1509013529160,470
1509013529169,466
1509013529177,464
1509013529184,461
1509013529194,460
1509013529202,459
1509013529210,457
1509013529218,458
1509013529226,456
1509013529235,457
1509013529243,458
1509013529251,457
1509013529259,459
1509013529263,458
1509013529272,460
1509013529280,460
1509013529288,460
1509013529296,462
1509013529304,461
1509013529312,462
1509013529321,463
1509013529329,461
1509013529337,463
1509013529345,461
1509013529354,462
1509013529362,463
1509013529370,461
1509013529378,462
1509013529386,461
1509013529394,463
1509013529402,467
1509013529411,468
1509013529419,475
1509013529423,480
1509013529431,491
1509013529440,504
1509013529448,516
1509013529456,533
1509013529464,549
1509013529472,566
1509013529480,582
1509013529488,593
1509013529497,605
1509013529505,611
1509013529513,617
1509013529521,619
1509013529529,615
1509013529538,613
1509013529546,605
1509013529554,597
1509013529562,589
1509013529570,576
1509013529578,567
1509013529583,554
1509013529591,548
1509013529599,535
1509013529607,520
1509013529615,514
1509013529624,501
1509013529632,495
1509013529640,488
1509013529648,483
1509013529656,481
1509013529664,476
1509013529673,478
1509013529681,480
1509013529689,479
1509013529697,485
1509013529705,484
1509013529714,491
1509013529722,492
1509013529730,489
1509013529738,492
1509013529742,492
1509013529751,493
1509013529759,494
1509013529767,491
1509013529775,492
1509013529783,489
1509013529792,487
1509013529799,485
1509013529808,480
1509013529816,479
1509013529824,474
1509013529832,471
1509013529840,469
1509013529849,464
1509013529857,465
1509013529865,462
1509013529873,461
1509013529881,461
1509013529889,458
1509013529898,460
1509013529902,458
1509013529910,458
1509013529918,459
1509013529926,457
1509013529934,461
1509013529943,459
1509013529951,459
1509013529959,461
1509013529967,459
1509013529975,461
1509013529984,461
1509013529992,461
1509013530000,463
1509013530008,461
1509013530016,463
1509013530025,462
1509013530033,462
1509013530041,464
1509013530049,465
1509013530057,469
1509013530061,475
1509013530070,482
1509013530078,494
1509013530086,505
1509013530094,521
